config,tokens_encoded,total_parameters,tokenizer_parameters,model_call_median_ms_b1,model_call_median_ms_b64,end_to_end_median_ms_b64,p90_ms_b64,throughput_windows_per_s_b64,peak_allocated_bytes_b64
U_B32,32,1538992,0,2.0902999967802316,1.9744500023080036,2.080850001220824,2.4354700013645925,32414.089961856804,41594368
I_B32,32,1563697,24705,2.424450001853984,2.328099999431288,2.511000002414221,2.6808399983565323,27490.228089701486,41743360
C_B32,32,1563697,24705,2.681750000192551,2.562599998782389,2.7017499996873084,2.810050005791709,24974.635148056426,41743360
H_STATIC_B32,32,1539120,128,2.173200002289377,2.1111499991093297,2.300149997608969,2.4271799993584864,30315.231048007427,41594880
R_B32,32,1563697,24705,2.6313999987905845,2.654949999850942,2.7480000026116613,2.86812000485952,24105.91536699116,41743360
DENSE_B64,64,1538992,0,1.879300001746742,1.8132500008505303,1.958049997483613,2.184200004558079,35295.739677363796,47869440
