arm,dataset,B,model_seed,status,updates_run,best_update,wall_seconds,run_key,collapsed
U,ETTm2,32,2026090601,COMPLETE,20,20,0.4,b11548203c303184,False
I,ETTm2,32,2026090601,COMPLETE,20,20,0.4,e929123369a54d20,False
H_STATIC,ETTm2,32,2026090601,COMPLETE,20,20,0.5,bbb53e7ac99bbeb2,False
C,ETTm2,32,2026090601,COMPLETE,20,20,0.4,33c91d43f28ee3cc,False
R,ETTm2,32,2026090601,COMPLETE,20,20,0.4,008e3b3ed834d0ad,False
U,weather,32,2026090601,COMPLETE,20,20,0.4,3afbead90405f9d9,False
I,weather,32,2026090601,COMPLETE,20,20,0.4,3d669a280fca350f,False
H_STATIC,weather,32,2026090601,COMPLETE,20,20,0.4,305bd614d9c33730,False
C,weather,32,2026090601,COMPLETE,20,20,0.5,adedbecd0db13674,False
R,weather,32,2026090601,COMPLETE,20,20,0.5,ac45bfce77ab9b18,False
U,electricity,32,2026090601,COMPLETE,20,20,1.0,d9908fd815027afe,False
I,electricity,32,2026090601,COMPLETE,20,20,1.0,5fa5e2bf56d1b011,False
H_STATIC,electricity,32,2026090601,COMPLETE,20,20,0.9,9677b9a5dc1e0ba3,False
C,electricity,32,2026090601,COMPLETE,20,20,1.0,1878f0fa820735b8,False
R,electricity,32,2026090601,COMPLETE,20,20,1.0,bf8326a70447d2d7,False
DENSE,ETTm2,64,2026090601,COMPLETE,20,20,0.4,725fdd02e52b1b15,False
DENSE,weather,64,2026090601,COMPLETE,20,20,0.4,ed2f6b08173eaa2e,False
DENSE,electricity,64,2026090601,COMPLETE,20,20,1.0,30534ed72e17f673,False
I,ETTm2,32,2026090602,COMPLETE,20,20,0.4,6e5203ab512d352d,False
H_STATIC,ETTm2,32,2026090602,COMPLETE,20,20,0.4,8d37c242b9b5a03a,False
C,ETTm2,32,2026090602,COMPLETE,20,20,0.4,600e6dc7c3d961b5,False
I,weather,32,2026090602,COMPLETE,20,20,0.4,4ba9ba6b26309bcc,False
H_STATIC,weather,32,2026090602,COMPLETE,20,20,0.4,8042d50ecf051145,False
C,weather,32,2026090602,COMPLETE,20,20,0.5,31ebf2f7f8e7fff4,False
I,electricity,32,2026090602,COMPLETE,20,20,1.0,0063982f04687ebd,False
H_STATIC,electricity,32,2026090602,COMPLETE,20,20,0.9,9bf9ca27df97c18b,False
C,electricity,32,2026090602,COMPLETE,20,20,1.0,37e6e48a1a2534c5,False
