condition,corpus,method,score,median_mse,oracle_mean_error_mse,coverage80,crossing,exploratory_intercept,exploratory_self_gain,exploratory_u_gain,exploratory_v_gain,val_score,lr,best_step,wall_seconds,path
Q00,0,F0,0.5310676844835602,0.9664109003434393,0.6150924358779564,0.7960205078125,0.0,0.0005557745475306028,0.14268240625359177,0.003357110155872041,0.0015876455532007894,0.5271084163377986,0.001,0,9.600466199997754,runs/peft_shift_mechanism_v1/trials/Q00_c0/F0/lr_1e-03
Q00,0,H_LIN,0.5310676844835602,0.9664109003434393,0.6150924358779564,0.7960205078125,0.0,0.0005557745475306028,0.14268240625359177,0.003357110155872041,0.0015876455532007894,0.5271084163377986,0.0003,0,6.768046099998173,runs/peft_shift_mechanism_v1/trials/Q00_c0/H_LIN/lr_3e-04
Q00,0,H_MLP,0.5310676844835602,0.9664109003434393,0.6150924358779564,0.7960205078125,0.0,0.0005557745475306028,0.14268240625359177,0.003357110155872041,0.0015876455532007894,0.5271084163377986,0.0003,0,7.052005099998496,runs/peft_shift_mechanism_v1/trials/Q00_c0/H_MLP/lr_3e-04
Q00,0,OFF_LORA,0.49969944352561846,0.8536128804213343,0.5004541124219344,0.7740478515625,0.0,-0.025217256186458543,0.7551353960891528,0.015855129059557327,0.005871766788990096,0.502719305804021,3e-05,120,47.14624200000253,runs/peft_shift_mechanism_v1/trials/Q00_c0/OFF_LORA/lr_3e-05
Q00,0,JOINT,0.5310676844835602,0.9664109003434393,0.6150924358779564,0.7960205078125,0.0,0.0005557745475306028,0.14268240625359177,0.003357110155872041,0.0015876455532007894,0.5271084163377986,3e-05,0,47.30719490000047,runs/peft_shift_mechanism_v1/trials/Q00_c0/JOINT/lr_3e-05
Q00,0,LP,0.5310676844835602,0.9664109003434393,0.6150924358779564,0.7960205078125,0.0,0.0005557745475306028,0.14268240625359177,0.003357110155872041,0.0015876455532007894,0.5271084163377986,3e-05,0,40.1842142999958,runs/peft_shift_mechanism_v1/trials/Q00_c0/LP/lr_3e-05
Q00,0,TIME,0.5310676844835602,0.9664109003434393,0.6150924358779564,0.7960205078125,0.0,0.0005557745475306028,0.14268240625359177,0.003357110155872041,0.0015876455532007894,0.5271084163377986,3e-05,0,37.78323369999998,runs/peft_shift_mechanism_v1/trials/Q00_c0/TIME/lr_3e-05
Q00,0,GROUP,0.5310676844835602,0.9664109003434393,0.6150924358779564,0.7960205078125,0.0,0.0005557745475306028,0.14268240625359177,0.003357110155872041,0.0015876455532007894,0.5271084163377986,3e-05,0,37.89265109999542,runs/peft_shift_mechanism_v1/trials/Q00_c0/GROUP/lr_3e-05
Q00,0,RAW,0.32079002341949886,0.3523555400094488,0.0024478546869344444,0.80078125,0.0,-0.019171826611042466,0.9982893476813133,0.9744604515131827,0.9800622157698693,0.32731957328982497,,,0.06588919999921927,runs/peft_shift_mechanism_v1/raw/Q00_c0/RAW
Q00,0,F0_RAW,0.34025152960824334,0.39830018529547806,0.04568443766916113,0.8021240234375,0.0,-0.01281202324035556,1.0120181921844942,0.9604211269679427,1.0164132693295564,0.3477140978851658,,,0.05830029999924591,runs/peft_shift_mechanism_v1/raw/Q00_c0/F0_RAW
