dataset,condition,regime,arm,seed,recipe,lr,best_step,val_score,score,f0_score,gain_pct_f0,fit_key
bike,FULL90,UPDATE,MLP,25000,0,0.0001,10,0.2175643599756135,0.1819068826171965,0.18379705839224364,1.0284037141733158,fits/bike/FULL90/MLP/r0_s25000
bike,FULL90,UPDATE,MLP,25001,0,0.0001,100,0.21503908357345114,0.18197835034987384,0.18379705839224364,0.9895196682030005,fits/bike/FULL90/MLP/r0_s25001
bike,FULL90,UPDATE,ALL,25000,0,0.0001,60,0.20915905294284812,0.17374368236158327,0.18379705839224364,5.4698242282013725,fits/bike/FULL90/ALL/r0_s25000
bike,FULL90,UPDATE,ALL,25001,0,0.0001,40,0.20541307342203524,0.17439902085742545,0.18379705839224364,5.113268741636613,fits/bike/FULL90/ALL/r0_s25001
bike,SPREAD30,UPDATE,MLP,25000,1,1e-05,60,0.21761252179088036,0.18262304564041315,0.18379705839224364,0.6387549192027945,fits/bike/SPREAD30/MLP/r1_s25000
bike,SPREAD30,UPDATE,MLP,25001,1,1e-05,100,0.21737828562840983,0.18281751089689088,0.18379705839224364,0.5329505836063444,fits/bike/SPREAD30/MLP/r1_s25001
bike,SPREAD30,UPDATE,ALL,25000,0,0.0001,10,0.2142365927310888,0.18142128562087462,0.18379705839224364,1.2926065259971982,fits/bike/SPREAD30/ALL/r0_s25000
bike,SPREAD30,UPDATE,ALL,25001,0,0.0001,10,0.2132987244207128,0.1808947420830943,0.18379705839224364,1.5790874644769683,fits/bike/SPREAD30/ALL/r0_s25001
bike,RECENT30,UPDATE,MLP,25000,1,1e-05,140,0.2173562981151605,0.18199133618941865,0.18379705839224364,0.9824543540688089,fits/bike/RECENT30/MLP/r1_s25000
bike,RECENT30,UPDATE,MLP,25001,1,1e-05,100,0.21753270876351755,0.18197622605645217,0.18379705839224364,0.9906754502597158,fits/bike/RECENT30/MLP/r1_s25001
bike,RECENT30,UPDATE,ALL,25000,0,0.0001,20,0.21296797360138145,0.17959698779569,0.18379705839224364,2.285167474002884,fits/bike/RECENT30/ALL/r0_s25000
bike,RECENT30,UPDATE,ALL,25001,0,0.0001,20,0.20695025220022417,0.17627250140723222,0.18379705839224364,4.093948538040891,fits/bike/RECENT30/ALL/r0_s25001
household,FULL90,UPDATE,MLP,25000,0,0.0001,140,0.43605265668691395,0.29723098256758124,0.29798754988184006,0.253892256424413,fits/household/FULL90/MLP/r0_s25000
household,FULL90,UPDATE,MLP,25001,0,0.0001,180,0.43575526811988397,0.2967020582639585,0.29798754988184006,0.4313910491868813,fits/household/FULL90/MLP/r0_s25001
household,FULL90,UPDATE,ALL,25000,0,0.0001,20,0.43205612037328356,0.29378181100226375,0.29798754988184006,1.4113807376328311,fits/household/FULL90/ALL/r0_s25000
household,FULL90,UPDATE,ALL,25001,0,0.0001,20,0.4310426935815227,0.2945569276272313,0.29798754988184006,1.1512636202314845,fits/household/FULL90/ALL/r0_s25001
household,SPREAD30,UPDATE,MLP,25000,0,0.0001,5,0.437845527274522,0.29758845171368886,0.29798754988184006,0.13393115528130445,fits/household/SPREAD30/MLP/r0_s25000
household,SPREAD30,UPDATE,MLP,25001,0,0.0001,10,0.4377018964650923,0.2977858439748318,0.29798754988184006,0.0676893739648601,fits/household/SPREAD30/MLP/r0_s25001
household,SPREAD30,UPDATE,ALL,25000,0,0.0001,40,0.43358484716212176,0.2981502688970449,0.29798754988184006,-0.05460597775623097,fits/household/SPREAD30/ALL/r0_s25000
household,SPREAD30,UPDATE,ALL,25001,0,0.0001,20,0.43126016331914513,0.29653006289142186,0.29798754988184006,0.4891100285888225,fits/household/SPREAD30/ALL/r0_s25001
household,RECENT30,UPDATE,MLP,25000,0,0.0001,5,0.4379531957150289,0.29743908934864105,0.29798754988184006,0.18405484840440228,fits/household/RECENT30/MLP/r0_s25000
household,RECENT30,UPDATE,MLP,25001,0,0.0001,5,0.43796165395726916,0.2973485309086059,0.29798754988184006,0.21444485633293708,fits/household/RECENT30/MLP/r0_s25001
household,RECENT30,UPDATE,ALL,25000,0,0.0001,10,0.435514998582298,0.29544067756487874,0.29798754988184006,0.8546908479804697,fits/household/RECENT30/ALL/r0_s25000
household,RECENT30,UPDATE,ALL,25001,0,0.0001,20,0.43352459018938894,0.2937112109234421,0.29798754988184006,1.435073029089183,fits/household/RECENT30/ALL/r0_s25001
bike,FULL90,EXPOSURE,MLP,25000,0,0.0001,15,0.21763971237546603,0.18175884010009943,0.18379705839224364,1.108950442391966,fits/bike/FULL90/MLP/r0_s25000
bike,FULL90,EXPOSURE,MLP,25001,0,0.0001,120,0.21574630168722658,0.18069853700239497,0.18379705839224364,1.6858384007626934,fits/bike/FULL90/MLP/r0_s25001
bike,FULL90,EXPOSURE,ALL,25000,0,0.0001,60,0.20915905294284812,0.17374368236158327,0.18379705839224364,5.4698242282013725,fits/bike/FULL90/ALL/r0_s25000
bike,FULL90,EXPOSURE,ALL,25001,0,0.0001,60,0.2063164512313545,0.17470726088187605,0.18379705839224364,4.945562018173838,fits/bike/FULL90/ALL/r0_s25001
bike,SPREAD30,EXPOSURE,MLP,25000,1,1e-05,60,0.21761252179088036,0.18262304564041315,0.18379705839224364,0.6387549192027945,fits/bike/SPREAD30/MLP/r1_s25000
bike,SPREAD30,EXPOSURE,MLP,25001,1,1e-05,60,0.21742012878488798,0.18250471461360382,0.18379705839224364,0.7031362688524717,fits/bike/SPREAD30/MLP/r1_s25001
bike,SPREAD30,EXPOSURE,ALL,25000,0,0.0001,10,0.2142365927310888,0.18142128562087462,0.18379705839224364,1.2926065259971982,fits/bike/SPREAD30/ALL/r0_s25000
bike,SPREAD30,EXPOSURE,ALL,25001,0,0.0001,10,0.2132987244207128,0.1808947420830943,0.18379705839224364,1.5790874644769683,fits/bike/SPREAD30/ALL/r0_s25001
bike,RECENT30,EXPOSURE,MLP,25000,1,1e-05,60,0.21763099498590613,0.18219688309603888,0.18379705839224364,0.8706207325635267,fits/bike/RECENT30/MLP/r1_s25000
bike,RECENT30,EXPOSURE,MLP,25001,1,1e-05,60,0.21759034262340698,0.1821380897081854,0.18379705839224364,0.9026089419330158,fits/bike/RECENT30/MLP/r1_s25001
bike,RECENT30,EXPOSURE,ALL,25000,0,0.0001,20,0.21296797360138145,0.17959698779569,0.18379705839224364,2.285167474002884,fits/bike/RECENT30/ALL/r0_s25000
bike,RECENT30,EXPOSURE,ALL,25001,0,0.0001,20,0.20695025220022417,0.17627250140723222,0.18379705839224364,4.093948538040891,fits/bike/RECENT30/ALL/r0_s25001
household,FULL90,EXPOSURE,MLP,25000,0,0.0001,180,0.43673087867837657,0.2979336776797356,0.29798754988184006,0.01807867547681653,fits/household/FULL90/MLP/r0_s25000
household,FULL90,EXPOSURE,MLP,25001,0,0.0001,180,0.43575526811988397,0.2967020582639585,0.29798754988184006,0.4313910491868813,fits/household/FULL90/MLP/r0_s25001
household,FULL90,EXPOSURE,ALL,25000,0,0.0001,30,0.43190058418798294,0.294850756320919,0.29798754988184006,1.0526592678670232,fits/household/FULL90/ALL/r0_s25000
household,FULL90,EXPOSURE,ALL,25001,0,0.0001,30,0.4295723266395536,0.2952266369842334,0.29798754988184006,0.9265195471090771,fits/household/FULL90/ALL/r0_s25001
household,SPREAD30,EXPOSURE,MLP,25000,0,0.0001,5,0.437845527274522,0.29758845171368886,0.29798754988184006,0.13393115528130445,fits/household/SPREAD30/MLP/r0_s25000
household,SPREAD30,EXPOSURE,MLP,25001,0,0.0001,10,0.4377018964650923,0.2977858439748318,0.29798754988184006,0.0676893739648601,fits/household/SPREAD30/MLP/r0_s25001
household,SPREAD30,EXPOSURE,ALL,25000,0,0.0001,40,0.43358484716212176,0.2981502688970449,0.29798754988184006,-0.05460597775623097,fits/household/SPREAD30/ALL/r0_s25000
household,SPREAD30,EXPOSURE,ALL,25001,0,0.0001,20,0.43126016331914513,0.29653006289142186,0.29798754988184006,0.4891100285888225,fits/household/SPREAD30/ALL/r0_s25001
household,RECENT30,EXPOSURE,MLP,25000,0,0.0001,5,0.4379531957150289,0.29743908934864105,0.29798754988184006,0.18405484840440228,fits/household/RECENT30/MLP/r0_s25000
household,RECENT30,EXPOSURE,MLP,25001,0,0.0001,5,0.43796165395726916,0.2973485309086059,0.29798754988184006,0.21444485633293708,fits/household/RECENT30/MLP/r0_s25001
household,RECENT30,EXPOSURE,ALL,25000,0,0.0001,10,0.435514998582298,0.29544067756487874,0.29798754988184006,0.8546908479804697,fits/household/RECENT30/ALL/r0_s25000
household,RECENT30,EXPOSURE,ALL,25001,0,0.0001,20,0.43352459018938894,0.2937112109234421,0.29798754988184006,1.435073029089183,fits/household/RECENT30/ALL/r0_s25001
