split,task_uid,task,label,specialist_score,n_seeds,F_FIXED,F_FAMILY_ENVELOPE,F_ENVELOPE_MODEL,F_MEAN,linear_ar,seasonal_naive,RI_vs_envelope_pct,RI_vs_fixed_pct,RI_vs_mean_pct,RI_vs_linear_ar_pct,RI_vs_naive_pct,RI_vs_envelope_seed_2026090701_pct,RI_vs_envelope_seed_2026090702_pct
development,fevbench::ETT_1D::ETT_1D,ETT_1D,S_BEST,2.700647306927233,2,1.12167625240498,1.108987734711342,chronos-2,1.1177995243209764,1.36028246036538,1.372845150946577,-143.5236407398305,-140.76887614735443,-141.60390554538665,-98.53577368055036,-96.71900396524225,-215.48772991725167,-71.55955156240938
development,fevbench::ETT_1D::ETT_1D,ETT_1D,S_ENSEMBLE,2.4822857769320406,2,1.12167625240498,1.108987734711342,chronos-2,1.1177995243209764,1.36028246036538,1.372845150946577,-123.83347436914205,-121.30144697365084,-122.06895985574349,-82.4831128282933,-80.81323849383186,-205.00364548836336,-42.66330324992075
development,fevbench::LOOP_SEATTLE_1D::LOOP_SEATTLE_1D,LOOP_SEATTLE_1D,S_BEST,1.1382429582377842,2,0.7586996747640715,0.7586996747640715,timesfm-3.0,0.7703718792133486,0.9954046352288785,1.046170375532423,-50.02549705741433,-50.02549705741433,-47.752402307322086,-14.34977475025141,-8.800916644050748,-50.677814098561925,-49.37318001626674
development,fevbench::LOOP_SEATTLE_1D::LOOP_SEATTLE_1D,LOOP_SEATTLE_1D,S_ENSEMBLE,1.0027852768093064,2,0.7586996747640715,0.7586996747640715,timesfm-3.0,0.7703718792133486,0.9954046352288785,1.046170375532423,-32.17157067071853,-32.17157067071853,-30.168987714515563,-0.7414714900067629,4.14703950119375,-28.178446225156783,-36.1646951162803
development,fevbench::australian_tourism::australian_tourism,australian_tourism,S_BEST,0.9220038184698586,2,0.7906485073204472,0.7396415106573477,chronos-2,0.7579963547272471,0.8947401071725938,0.8947401071725938,-24.655499344599857,-16.613616535441516,-21.636972621276904,-3.0471095549096328,-3.0471095549096328,-24.185308230302578,-25.125690458897132
development,fevbench::australian_tourism::australian_tourism,australian_tourism,S_ENSEMBLE,0.8784625298246033,2,0.7906485073204472,0.7396415106573477,chronos-2,0.7579963547272471,0.8947401071725938,0.8947401071725938,-18.768689583671417,-11.106581709963985,-15.892711666232744,1.8192520059739088,1.8192520059739088,-17.859652212282384,-19.67772695506045
development,fevbench::hermes::hermes,hermes,S_BEST,0.6894799721075875,2,0.6088399118007054,0.6088399118007054,timesfm-3.0,0.6264172780932569,0.9746030125485566,2.1461477995471765,-13.244870900197883,-13.244870900197883,-10.067202202066698,29.25530054492457,67.87360254251531,-13.179533272826133,-13.310208527569616
development,fevbench::hermes::hermes,hermes,S_ENSEMBLE,0.6649055676592588,2,0.6088399118007054,0.6088399118007054,timesfm-3.0,0.6264172780932569,0.9746030125485566,2.1461477995471765,-9.208603899296543,-9.208603899296543,-6.144193481245586,31.776778945044367,69.01864970345707,-8.476635354634078,-9.940572443959008
holdout,fevbench::hospital::hospital,hospital,S_BEST,0.8557907062706076,2,0.6824867925557951,0.6824867925557951,timesfm-3.0,0.6893256087672546,0.8641863736511985,0.8075125995109436,-25.393006224460294,-25.393006224460294,-24.148979145145717,0.971511196724746,-5.978619626356649,-5.135280356803349,-45.65073209211725
holdout,fevbench::hospital::hospital,hospital,S_ENSEMBLE,0.7607702490437842,2,0.6824867925557951,0.6824867925557951,timesfm-3.0,0.6893256087672546,0.8641863736511985,0.8075125995109436,-11.470325483491196,-11.470325483491196,-10.364425660073273,11.966877488530614,5.78843605604025,-2.893219708174783,-20.047431258807592
