split,label,n_tasks,n_usable,median_RI_vs_envelope_pct,mean_RI_vs_envelope_pct,median_RI_vs_fixed_pct,median_RI_vs_mean_pct,median_RI_vs_linear_ar_pct,median_RI_vs_naive_pct,wins_vs_envelope,wins_vs_fixed,wins_vs_linear_ar,wins_vs_naive,median_RI_vs_envelope_seed_2026090701_pct,median_RI_vs_envelope_seed_2026090702_pct
development,S_BEST,4,4,-37.340498201007094,-57.86237701051065,-33.31955679642792,-34.69468746429949,-8.69844215258052,-5.92401309948019,0,0,1,1,-37.43156116443225,-37.249435237581935
development,S_ENSEMBLE,4,4,-25.470130127194974,-45.995584630707135,-21.639076190341257,-23.030849690374154,0.5388902579835729,2.9831457535838295,0,0,2,3,-23.019049218719584,-27.921211035670375
holdout,S_BEST,6,6,-61.127449701964366,-79.90299879793368,-59.31380396430392,-59.78991503803209,-31.28296583931149,3.4840034118036676,0,0,3,3,-55.62151502081448,-64.63307574795465
holdout,S_ENSEMBLE,6,6,-48.47092187102543,-56.43239519013243,-47.505322654722264,-47.243850690227745,-10.77589022396772,9.051144782308112,0,1,3,4,-33.883997948978326,-49.69262433782539
