task_uid,safe_name,seed,horizon,num_windows,quantile_levels,time_limit_seconds,requested_models,started_utc,status,num_val_windows,fit_seconds,fitted_models,model_best,validation_scores,ensemble_model,ensemble_fallback,ensemble_weights,finished_utc
fevbench::restaurant::restaurant,fevbench__restaurant__restaurant,2026090701,28,8,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",1200,"['DLinear', 'DeepAR', 'DirectTabular', 'PatchTST', 'TiDE']",2026-09-07T07:50:05.845922+00:00,OK,1,371.9,"['DirectTabular', 'DeepAR', 'PatchTST', 'TiDE', 'DLinear', 'WeightedEnsemble']",TiDE,"{'WeightedEnsemble': -0.280671423743134, 'TiDE': -0.28351115385507386, 'PatchTST': -0.28555091376682146, 'DeepAR': -0.28621465837964183, 'DirectTabular': -0.2935270285775012, 'DLinear': -0.29376040898310807}",WeightedEnsemble,False,"{'DirectTabular': 0.10112359550561797, 'TiDE': 0.3707865168539326, 'PatchTST': 0.1797752808988764, 'DeepAR': 0.34831460674157305}",2026-09-07T07:58:08.788913+00:00
fevbench::restaurant::restaurant,fevbench__restaurant__restaurant,2026090702,28,8,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",1200,"['DLinear', 'DeepAR', 'DirectTabular', 'PatchTST', 'TiDE']",2026-09-07T07:58:08.788913+00:00,OK,1,386.9,"['DirectTabular', 'DeepAR', 'PatchTST', 'TiDE', 'DLinear', 'WeightedEnsemble']",TiDE,"{'WeightedEnsemble': -0.2805881850116575, 'TiDE': -0.284300380208277, 'PatchTST': -0.2846193098033233, 'DeepAR': -0.28710669909407743, 'DirectTabular': -0.2935270285775012, 'DLinear': -0.29376431218577725}",WeightedEnsemble,False,"{'DirectTabular': 0.10638297872340426, 'TiDE': 0.23404255319148937, 'PatchTST': 0.2978723404255319, 'DeepAR': 0.3617021276595745}",2026-09-07T08:06:23.215874+00:00
