task_uid,safe_name,label,seed,native_metric,native_score,n_origins,n_missing_rows,reconciliation_gap,horizon,num_windows,scored_at_utc
fevbench::australian_tourism::australian_tourism,fevbench__australian_tourism__australian_tourism,S_BEST,2026090701,SQL,0.9185260898090937,178,0,3.626101763280034e-16,8,2,2026-09-07T08:07:56.427400+00:00
fevbench::australian_tourism::australian_tourism,fevbench__australian_tourism__australian_tourism,S_BEST,2026090702,SQL,0.9254815471306235,178,0,0.0,8,2,2026-09-07T08:07:56.464024+00:00
fevbench::australian_tourism::australian_tourism,fevbench__australian_tourism__australian_tourism,S_ENSEMBLE,2026090701,SQL,0.8717389120784216,178,0,2.547145731921351e-16,8,2,2026-09-07T08:07:56.497391+00:00
fevbench::australian_tourism::australian_tourism,fevbench__australian_tourism__australian_tourism,S_ENSEMBLE,2026090702,SQL,0.885186147570785,178,0,3.7626764528747085e-16,8,2,2026-09-07T08:07:56.531105+00:00
fevbench::ETT_1D::ETT_1D,fevbench__ETT_1D__ETT_1D,S_BEST,2026090701,SQL,3.498720229301566,40,0,0.0,28,20,2026-09-07T08:08:02.846708+00:00
fevbench::ETT_1D::ETT_1D,fevbench__ETT_1D__ETT_1D,S_BEST,2026090702,SQL,1.9025743845529004,40,0,2.334149000720528e-16,28,20,2026-09-07T08:08:03.958801+00:00
fevbench::ETT_1D::ETT_1D,fevbench__ETT_1D__ETT_1D,S_ENSEMBLE,2026090701,SQL,3.3824530188884134,40,0,0.0,28,20,2026-09-07T08:08:05.081813+00:00
fevbench::ETT_1D::ETT_1D,fevbench__ETT_1D__ETT_1D,S_ENSEMBLE,2026090702,SQL,1.5821185349756683,40,0,0.0,28,20,2026-09-07T08:08:06.234602+00:00
fevbench::hermes::hermes,fevbench__hermes__hermes,S_BEST,2026090701,SQL,0.6890821705547246,10000,0,2.738975440829341e-15,52,1,2026-09-07T08:08:13.667172+00:00
fevbench::hermes::hermes,fevbench__hermes__hermes,S_BEST,2026090702,SQL,0.6898777736604502,10000,0,3.8623294746292676e-15,52,1,2026-09-07T08:08:14.713094+00:00
fevbench::hermes::hermes,fevbench__hermes__hermes,S_ENSEMBLE,2026090701,SQL,0.6604490510175269,10000,0,4.202530925416129e-15,52,1,2026-09-07T08:08:15.743652+00:00
fevbench::hermes::hermes,fevbench__hermes__hermes,S_ENSEMBLE,2026090702,SQL,0.6693620843009906,10000,0,1.2937302239220072e-14,52,1,2026-09-07T08:08:16.763894+00:00
fevbench::hospital::hospital,fevbench__hospital__hospital,S_BEST,2026090701,SQL,0.7175344027516901,3068,0,7.736374871835659e-16,12,4,2026-09-07T08:08:22.143260+00:00
fevbench::hospital::hospital,fevbench__hospital__hospital,S_BEST,2026090702,SQL,0.9940470097895253,3068,0,0.0,12,4,2026-09-07T08:08:22.334824+00:00
fevbench::hospital::hospital,fevbench__hospital__hospital,S_ENSEMBLE,2026090701,SQL,0.7022326349437094,3068,0,1.580990357581646e-16,12,4,2026-09-07T08:08:22.527029+00:00
