task_uid,chronos-2,chronos-2-synth,linear-ar-specialist,seasonal-naive,timesfm-3.0,tirex-2,split,F_FIXED,F_FAMILY_ENVELOPE,F_ENVELOPE_MODEL,F_MEAN
fevbench::ETT_1D::ETT_1D,1.108987734711342,1.148463587412412,1.36028246036538,1.372845150946577,1.12167625240498,1.1227345858466071,development,1.12167625240498,1.108987734711342,chronos-2,1.1177995243209764
fevbench::LOOP_SEATTLE_1D::LOOP_SEATTLE_1D,0.7754214314664746,0.7881454199054682,0.9954046352288785,1.046170375532423,0.7586996747640715,0.7769945314094994,development,0.7586996747640715,0.7586996747640715,timesfm-3.0,0.7703718792133486
fevbench::australian_tourism::australian_tourism,0.7396415106573477,0.731710430312865,0.8947401071725938,0.8947401071725938,0.7906485073204472,0.7436990462039466,development,0.7906485073204472,0.7396415106573477,chronos-2,0.7579963547272471
fevbench::hermes::hermes,0.6215553569758844,0.6199970562014682,0.9746030125485566,2.1461477995471765,0.6088399118007054,0.6488565655031809,development,0.6088399118007054,0.6088399118007054,timesfm-3.0,0.6264172780932569
fevbench::hospital::hospital,0.7013574151354626,0.6981335111911905,0.8641863736511985,0.8075125995109436,0.6824867925557951,0.6841326186105058,holdout,0.6824867925557951,0.6824867925557951,timesfm-3.0,0.6893256087672546
fevbench::m5_1M::m5_1M,0.9802375788001212,0.9807354889076408,1.144379538215259,1.139859357696244,0.9635744985932716,0.9752244639939504,holdout,0.9635744985932716,0.9635744985932716,timesfm-3.0,0.9730121804624478
fevbench::restaurant::restaurant,0.6858476719320662,0.6979678584257889,0.7783583051657001,0.9837597911987978,0.7001065321385589,0.6795669545392735,holdout,0.7001065321385589,0.6795669545392735,tirex-2,0.6885070528699662
fevbench::solar_1D::solar_1D,0.5974614092480928,0.6207527998877629,0.719207675369509,1.4067834914738802,0.603747856488551,0.604299694071782,holdout,0.603747856488551,0.5974614092480928,chronos-2,0.601836319936142
fevbench::us_consumption_1Y::us_consumption_1Y,3.9206293110360497,4.228488546475394,5.887698876904796,6.584622666049978,3.68586054839567,3.4402365533023107,holdout,3.68586054839567,3.4402365533023107,tirex-2,3.6822421375780103
fevbench::world_co2_emissions::world_co2_emissions,2.7523458399833345,2.8694043691117934,3.101289563769156,3.155015253046991,2.779922813854116,2.639600326147534,holdout,2.779922813854116,2.639600326147534,tirex-2,2.723956326661661
