dataset,condition,seed,method,recipe,action,selected_step,E_selected,E_final,F0,normalized_E,fit_key,selected_checkpoint
bmra,FULL90,28004,WIDE,2,WIDE,120,0.3431176881049729,0.34246476615330046,0.35272339948758413,0.9727670140496325,test/bmra/FULL90/WIDE/r2/s28004,JOINT_120
bmra,FULL90,28004,CURRENT_C,0,HEAD,15,0.347166288913216,0.36090949368758096,0.35272339948758413,0.9842451320710756,test/bmra/FULL90/TREE/r0/s28004,JOINT_15
bmra,FULL90,28004,RANDOM,0,STOP,15,0.347166288913216,0.35187897414775565,0.35272339948758413,0.9842451320710756,test/bmra/FULL90/TREE/r0/s28004,JOINT_15
bmra,FULL90,28004,HEAD_PROBE,0,STOP,15,0.347166288913216,0.35187897414775565,0.35272339948758413,0.9842451320710756,test/bmra/FULL90/TREE/r0/s28004,JOINT_15
bmra,FULL90,28004,MASKED1,0,MASKED1,15,0.347166288913216,0.35806907512442265,0.35272339948758413,0.9842451320710756,test/bmra/FULL90/TREE/r0/s28004,JOINT_15
bmra,FULL90,28004,CONSTANT,0,STOP,15,0.347166288913216,0.35187897414775565,0.35272339948758413,0.9842451320710756,test/bmra/FULL90/TREE/r0/s28004,JOINT_15
bmra,FULL90,28004,SOURCE_CONSTANT,0,STOP,15,0.347166288913216,0.35187897414775565,0.35272339948758413,0.9842451320710756,test/bmra/FULL90/TREE/r0/s28004,JOINT_15
bmra,SPREAD30,28002,FULL,0,JOINT,5,0.35312957208765816,0.37892094423202016,0.35272339948758413,1.0011515329027336,test/bmra/SPREAD30/TREE/r0/s28002,JOINT_5
bmra,SPREAD30,28002,HEAD,0,HEAD0,60,0.3482774197181605,0.3482774197181605,0.35272339948758413,0.9873952797691266,test/bmra/SPREAD30/TREE/r0/s28002,HEAD0_60
bmra,SPREAD30,28002,FIXED,0,HEAD1,5,0.35312957208765816,0.3552354558545981,0.35272339948758413,1.0011515329027336,test/bmra/SPREAD30/TREE/r0/s28002,JOINT_5
bmra,SPREAD30,28002,EARLY_STOP,0,ES2,5,0.35312957208765816,0.3566287834095405,0.35272339948758413,1.0011515329027336,test/bmra/SPREAD30/TREE/r0/s28002,JOINT_5
bmra,SPREAD30,28002,PROBE,0,HEAD,5,0.35312957208765816,0.3552354558545981,0.35272339948758413,1.0011515329027336,test/bmra/SPREAD30/TREE/r0/s28002,JOINT_5
