dataset,model_seed,arm,first_validation_update,best_update,best_update_from_fit_report,final_update,first_validation_mean_mse,best_validation_mean_mse,final_validation_mean_mse,final_over_best_ratio,best_is_first,best_is_last,last_interval_rel_change_pct,last_three_point_slope_per_update,position_label,last_interval_label,trajectory_mean,trajectory_h96,trajectory_h336,collapsed_to_constant
ETTm2,2026090601,I,600,600,600,3000,0.1843645386433036,0.1843645386433036,0.2077298127882008,1.126734101453766,True,False,4.602586235123821,-2.4270669634215082e-05,EARLY_BEST,LAST_INTERVAL_WORSENING,0.184365;0.190773;0.236855;0.198590;0.207730,0.145104;0.136545;0.157261;0.135334;0.145722,0.223625;0.245001;0.316448;0.261845;0.269737,False
ETTm2,2026090601,C,600,600,600,3000,0.18442847751903202,0.18442847751903202,0.2089516047496317,1.1329682246499542,True,False,5.147072195206746,-2.1815524982383947e-05,EARLY_BEST,LAST_INTERVAL_WORSENING,0.184428;0.193443;0.235130;0.198723;0.208952,0.145353;0.136031;0.155144;0.135331;0.145001,0.223504;0.250856;0.315116;0.262116;0.272902,False
ETTm2,2026090602,I,600,600,600,3000,0.19876247448074522,0.19876247448074522,0.23089758316870435,1.1616759339101113,True,False,1.9254318070392362,4.1832576987965326e-07,EARLY_BEST,LAST_INTERVAL_WORSENING,0.198762;0.235624;0.230396;0.226536;0.230898,0.142348;0.172319;0.154709;0.153342;0.150850,0.255177;0.298930;0.306082;0.299729;0.310946,False
ETTm2,2026090602,C,600,600,600,3000,0.19814974992521983,0.19814974992521983,0.2317935102225697,1.1697895672845753,True,False,2.0554589332411815,9.888452525764822e-07,EARLY_BEST,LAST_INTERVAL_WORSENING,0.198150;0.235538;0.230607;0.227125;0.231794,0.141484;0.172881;0.155363;0.153903;0.151050,0.254816;0.298194;0.305851;0.300347;0.312537,False
weather,2026090601,I,600,3000,3000,3000,0.4447617543793986,0.4301599826596943,0.4301599826596943,1.0,False,True,-2.814033361518753,-9.303096726056437e-06,LATE_BEST,LAST_INTERVAL_IMPROVING,0.444762;0.434005;0.441324;0.442615;0.430160,0.392619;0.389540;0.398126;0.387106;0.379217,0.496905;0.478470;0.484522;0.498124;0.481103,False
weather,2026090601,C,600,3000,3000,3000,0.4447762497059269,0.42999653180536723,0.42999653180536723,1.0,False,True,-2.8509449223147,-8.932340544109413e-06,LATE_BEST,LAST_INTERVAL_IMPROVING,0.444776;0.433792;0.440715;0.442615;0.429997,0.392680;0.389337;0.397231;0.387064;0.379059,0.496873;0.478246;0.484200;0.498166;0.480934,False
weather,2026090602,I,600,1200,1200,3000,0.44368643148237263,0.4278206578196505,0.4416803676846219,1.032396074410259,False,False,1.1653429276212244,6.3092508881503564e-06,INTERIOR_BEST,LAST_INTERVAL_WORSENING,0.443686;0.427821;0.434109;0.436593;0.441680,0.394203;0.381593;0.383738;0.388878;0.392901,0.493170;0.474049;0.484481;0.484307;0.490460,False
weather,2026090602,C,600,1200,1200,3000,0.4436628648444214,0.4277836778652315,0.44159163005208424,1.0322778845975575,False,False,1.1070349081451696,6.470873400412449e-06,INTERIOR_BEST,LAST_INTERVAL_WORSENING,0.443663;0.427784;0.433827;0.436757;0.441592,0.394133;0.381497;0.383558;0.389134;0.392772,0.493193;0.474070;0.484095;0.484379;0.490411,False
electricity,2026090601,I,600,3000,3000,3000,0.18227138392894826,0.15086977611642605,0.15086977611642605,1.0,False,True,-1.1581915806468395,-9.503652097272715e-06,LATE_BEST,LAST_INTERVAL_IMPROVING,0.182271;0.168452;0.162274;0.152638;0.150870,0.158634;0.151254;0.145209;0.136014;0.134443,0.205909;0.185650;0.179339;0.169261;0.167296,False
electricity,2026090601,C,600,3000,3000,3000,0.18227389900319468,0.15082546197324304,0.15082546197324304,1.0,False,True,-1.2375003083660019,-9.52345865268395e-06,LATE_BEST,LAST_INTERVAL_IMPROVING,0.182274;0.168403;0.162254;0.152715;0.150825,0.158618;0.151227;0.145183;0.136046;0.134394,0.205930;0.185579;0.179325;0.169384;0.167257,False
electricity,2026090602,I,600,3000,3000,3000,0.18283701318359613,0.15211988962520007,0.15211988962520007,1.0,False,True,-0.7811319148586513,-3.5723126858646015e-06,LATE_BEST,LAST_INTERVAL_IMPROVING,0.182837;0.166277;0.156407;0.153318;0.152120,0.161034;0.148317;0.140216;0.137326;0.135588,0.204640;0.184237;0.172598;0.169309;0.168652,False
electricity,2026090602,C,600,3000,3000,3000,0.1829049837315802,0.15211296767326887,0.15211296767326887,1.0,False,True,-0.7695705076073543,-3.5474233561031806e-06,LATE_BEST,LAST_INTERVAL_IMPROVING,0.182905;0.166281;0.156370;0.153293;0.152113,0.161083;0.148310;0.140152;0.137286;0.135559,0.204727;0.184253;0.172588;0.169299;0.168667,False
