dataset,horizon,C_vs_I_RI_pct,C_vs_R_RI_pct,true_query_test_mse,swapped_query_test_mse,query_swap_delta_pct,mean_abs_weight_diff_96_vs_336,mean_center_shift_samples,max_center_shift_samples
ETTm2,96,-0.01888059026291522,-0.01941088656696177,0.20641144456176597,0.20642473289021357,0.006437786662361056,0.0005098548717796803,0.008158305659890175,0.0418701171875
ETTm2,336,-0.23429066419955458,0.05032048240031228,0.2944143908096716,0.2944128984430861,-0.000506893219920368,0.0005098548717796803,0.008158305659890175,0.0418701171875
weather,96,0.029503901974403668,-0.0010477765935990035,0.16273810176656908,0.16273693560422373,-0.0007165883912252369,0.001220401143655181,0.019526749849319458,0.205352783203125
weather,336,-0.039926680126067815,-0.08339442381886109,0.26103044110175344,0.26103876637211637,0.0031893867733501224,0.001220401143655181,0.019526749849319458,0.205352783203125
electricity,96,0.03230898961337214,0.002732281663475611,0.14622586166752247,0.14621925851840048,-0.004515719070952162,0.0013487989781424403,0.021580681204795837,0.084808349609375
electricity,336,0.006960225644381257,0.0012708096859159745,0.1958343124536976,0.19585038170529173,0.008205534256378044,0.0013487989781424403,0.021580681204795837,0.084808349609375
