dataset,model_seed,best_update_I,best_update_C,same_best_update,best_val_mse_I,best_val_mse_C,final_update,position_label_I,position_label_C
ETTm2,2026090601,600,600,True,0.1843645386433036,0.18442847751903202,3000,EARLY_BEST,EARLY_BEST
ETTm2,2026090602,600,600,True,0.19876247448074522,0.19814974992521983,3000,EARLY_BEST,EARLY_BEST
weather,2026090601,3000,3000,True,0.4301599826596943,0.42999653180536723,3000,LATE_BEST,LATE_BEST
weather,2026090602,1200,1200,True,0.4278206578196505,0.4277836778652315,3000,INTERIOR_BEST,INTERIOR_BEST
electricity,2026090601,3000,3000,True,0.15086977611642605,0.15082546197324304,3000,LATE_BEST,LATE_BEST
electricity,2026090602,3000,3000,True,0.15211988962520007,0.15211296767326887,3000,LATE_BEST,LATE_BEST
