dataset,horizon,model_seed,MSE_I,MSE_C,RI_pct,sign
ETTm2,96,2026090601,0.20560608640022038,0.20641144456176597,-0.3916995725398609,I better
ETTm2,96,2026090602,0.20094838565045656,0.20021978737297438,0.3625798112902201,C better
ETTm2,336,2026090601,0.29444014163377763,0.2944143908096716,0.0087456907075123,C better
ETTm2,336,2026090602,0.35898515794698466,0.36054182324552647,-0.43362943121223463,I better
weather,96,2026090601,0.1626851803148153,0.16273810176656908,-0.03252997700919913,I better
weather,96,2026090602,0.16598964120105805,0.1658397478521497,0.09030283325137667,C better
weather,336,2026090601,0.26085489210282775,0.26103044110175344,-0.06729756820373911,I better
weather,336,2026090602,0.2524993007095415,0.2525287169970937,-0.011650047136591013,I better
electricity,96,2026090601,0.14627995268803082,0.14622586166752247,0.036977739953003574,C better
electricity,96,2026090602,0.14603095867625637,0.1459906069947733,0.02763227869546636,C better
electricity,336,2026090601,0.1958611117222721,0.1958343124536976,0.013682792024849455,C better
electricity,336,2026090602,0.1951871956670965,0.1951867770910982,0.00021444849231944119,C better
MACRO,,2026090601,,,-0.07202014917790563,I better
MACRO,,2026090602,,,0.005908315563426155,C better
