source,arm,method,seed,lr,procedure,score,val_score,best_step,trainable,path,relative_improvement_over_f0,coverage80,width80_scaled,median_mse_scaled,crossing_before_sort
bike,F0,F0,12000,0.0,SORT,0.4102237148565775,0.23328154213026553,0,0,runs\peft_external_gap_v1\forecasts\bike\F0_seed_12000,0.0,0.7838855421686748,1.740856758370045,1.108292061314602,0.0006588855421686748
bike,F0,F0,12000,0.0,QCAL,0.4116368023975271,0.23328154213026553,0,0,runs\peft_external_gap_v1\forecasts\bike\F0_seed_12000,0.0,0.8519076305220883,1.9698528005448144,1.1052335605372396,0.0006588855421686748
bike,NATIVE,OFF_LORA,12000,3e-05,SORT,0.39555194029949925,0.2271604275029,40,1206912,runs\peft_objective_alignment_v1\forecasts\bike\NATIVE,0.03576530079985208,0.8220381526104418,1.7829273608877652,1.0414910333345133,0.0005145582329317269
bike,NATIVE,OFF_LORA,12000,3e-05,QCAL,0.39712735070868127,0.2271604275029,40,1206912,runs\peft_objective_alignment_v1\forecasts\bike\NATIVE,0.03524818870503641,0.8559236947791165,1.9402274777622708,1.0364474650801248,0.0005145582329317269
bike,NORM_ALIGNED,OFF_LORA,12000,3e-05,SORT,0.39556935412723837,0.22714335779847367,40,1206912,runs\peft_objective_alignment_v1\forecasts\bike\NORM_ALIGNED,0.03572285121171647,0.8217871485943775,1.7841158065707243,1.0418397028436899,0.0006902610441767068
bike,NORM_ALIGNED,OFF_LORA,12000,3e-05,QCAL,0.39711266093849207,0.22714335779847367,40,1206912,runs\peft_objective_alignment_v1\forecasts\bike\NORM_ALIGNED,0.035283874946168504,0.8556726907630522,1.94125795115486,1.036915696809038,0.0006902610441767068
bike,RAW_ALIGNED,OFF_LORA,12000,3e-05,SORT,0.39646200132121145,0.22765094066086078,40,1206912,runs\peft_objective_alignment_v1\forecasts\bike\RAW_ALIGNED,0.03354685025993052,0.8180220883534137,1.782195532265863,1.055053449685179,0.0006463353413654619
bike,RAW_ALIGNED,OFF_LORA,12000,3e-05,QCAL,0.3979907521435244,0.22765094066086078,40,1206912,runs\peft_objective_alignment_v1\forecasts\bike\RAW_ALIGNED,0.033150705122872784,0.8571787148594378,1.9493893333755592,1.0480601537351564,0.0006463353413654619
household,F0,F0,12000,0.0,SORT,0.38064943608777235,0.44446069564016644,0,0,runs\peft_external_gap_v1\forecasts\household\F0_seed_12000,0.0,0.7330134854771784,1.7784480187679714,0.691058119863434,0.0009914658634538154
household,F0,F0,12000,0.0,QCAL,0.38172766734985697,0.44446069564016644,0,0,runs\peft_external_gap_v1\forecasts\household\F0_seed_12000,0.0,0.7760632780082988,1.8994760498547174,0.6881118386721026,0.0009914658634538154
household,NATIVE,OFF_LORA,12000,3e-05,SORT,0.37099636842323214,0.4250429200245355,80,1206912,runs\peft_objective_alignment_v1\forecasts\household\NATIVE,0.02535946923697624,0.7675051867219918,1.6304344167331186,0.6819558778365056,0.0013930722891566266
household,NATIVE,OFF_LORA,12000,3e-05,QCAL,0.3757339117010362,0.4250429200245355,80,1206912,runs\peft_objective_alignment_v1\forecasts\household\NATIVE,0.015701653721964647,0.7606327800829875,1.8411642383282198,0.664690544617463,0.0013930722891566266
household,NORM_ALIGNED,OFF_LORA,12000,3e-05,SORT,0.37101119750698897,0.4250740516462127,80,1206912,runs\peft_objective_alignment_v1\forecasts\household\NORM_ALIGNED,0.025320511912070576,0.767116182572614,1.6304517869081439,0.6819055472093596,0.0014558232931726907
household,NORM_ALIGNED,OFF_LORA,12000,3e-05,QCAL,0.3757420082718043,0.4250740516462127,80,1206912,runs\peft_objective_alignment_v1\forecasts\household\NORM_ALIGNED,0.01568044338941442,0.76024377593361,1.841516629154511,0.6647902958283617,0.0014558232931726907
household,RAW_ALIGNED,OFF_LORA,12000,3e-05,SORT,0.37054709310988765,0.42491445859797206,80,1206912,runs\peft_objective_alignment_v1\forecasts\household\RAW_ALIGNED,0.02653975553389562,0.7660788381742738,1.6133828218102497,0.6810480940566397,0.0017507530120481928
household,RAW_ALIGNED,OFF_LORA,12000,3e-05,QCAL,0.3755384108962757,0.42491445859797206,80,1206912,runs\peft_objective_alignment_v1\forecasts\household\RAW_ALIGNED,0.016213801049712095,0.7621887966804979,1.8650910865420136,0.6627146956122764,0.0017507530120481928
