cell,budget,V,step,selected_hash,checkpoint_sha256,index,key,recipe,lora_lr
bmra/s30000,L720,0.4996549762177402,30,b9de9d660616960b69cc3e46001e4c2ca179447c4b803771aca7ca64c73c840e,8f87ef845995910f8f5a7f7ddcc7f65f09fdef7f6fb2fe1d0127d64d6b283f2d,3,bmra_s30000_r3,3,0.0003
bmra/s30000,S180,0.4996549762177402,30,b9de9d660616960b69cc3e46001e4c2ca179447c4b803771aca7ca64c73c840e,53c40c5c6de6c4eda375217a0253f0fad9597a6bb0e31b3e8cc7bb7e3c5b4f4b,3,bmra_s30000_r3,3,0.0003
bmra/s30001,L720,0.5103798662197792,360,87672254123d5e4bde0ce0dd8f5da1f55398f801e2dc322ece2eac3cfe02e164,b936c9d3348aa988ba37c5de287baced4f45bd3efd041ce8cf287a6af35b7337,4,bmra_s30001_r0,0,1e-05
bmra/s30001,S180,0.5156128143544827,30,3dd0db1f1c6161a8b3aa22c79f106acbfe1ea9c994ec424c21b876b7bec8603e,4a84f28a9fd4b4687ee1e39f3dbe03888994c0217c41b7f79c63194d4c01b103,7,bmra_s30001_r3,3,0.0003
jena/s30000,L720,0.3925795779102189,4,986493a9f939b7e818335b6708254bd8006dd17315feb3dd042c85e0fd871b8c,199af34a8b4af657383e14a647e74083d3460d4f11e860f1492f84787dadfb6f,11,jena_s30000_r3,3,0.0003
jena/s30000,S180,0.3925795779102189,4,986493a9f939b7e818335b6708254bd8006dd17315feb3dd042c85e0fd871b8c,084f74b278152d85da49a786cda0fa82c112a56d60a79764f0492635d64cb3a1,11,jena_s30000_r3,3,0.0003
jena/s30001,L720,0.39192666655208985,60,1aed713ebb7944dbb8b0f789e09ffbeb60771137df542fe05bb10732aba57cac,408f2712338cd49907c17d6cf6fbaf783abba75ab45ec3b6c708dad95ff72948,13,jena_s30001_r1,1,3e-05
jena/s30001,S180,0.39192666655208985,60,1aed713ebb7944dbb8b0f789e09ffbeb60771137df542fe05bb10732aba57cac,809b854e6fa09112f347d66e9931ae9a85912270c8aefcd627d86cd4a617a23e,13,jena_s30001_r1,1,3e-05
