dataset,seed,budget,F0,HEAD,WIDE,JOINT,LORA_ONLY,G_LORA_ONLY,G_JOINT,I_LORA_ONLY,I_JOINT,H_EFFECT,case
bmra,30000,L720,0.4153250559521277,0.47632712312983105,0.4727811970060675,0.4417108788773279,0.42924626186514586,-3.351882029150386,-6.353053481136845,10.482135502544711,7.480964050558251,-3.001171451986459,C
bmra,30000,S180,0.4153250559521277,0.47632712312983105,0.4727811970060675,0.4417108788773279,0.42924626186514586,-3.351882029150386,-6.353053481136845,10.482135502544711,7.480964050558251,-3.001171451986459,C
bmra,30001,L720,0.4153250559521277,0.4962458173960124,0.483261077403291,0.43502043628022297,0.42943063288686867,-3.39627401058289,-4.742160398424274,12.961039490626609,11.615153102785223,-1.3458863878413838,C
bmra,30001,S180,0.4153250559521277,0.4845469475457163,0.4919388200814807,0.4340053847092906,0.464995071249784,-11.959311047051662,-4.497761088441554,6.487388238575802,13.948938197185909,7.461549958610107,C
jena,30000,L720,0.4753012365200762,0.5403771901313714,0.5177084265253841,0.489484614335404,0.4850827553309573,-2.0579619953224997,-2.9840818254906245,6.8642091977912845,5.938089367623158,-0.9261198301681252,C
jena,30000,S180,0.4753012365200762,0.5206084164265918,0.5177084265253841,0.489484614335404,0.4850827553309573,-2.0579619953224997,-2.9840818254906245,6.8642091977912845,5.938089367623158,-0.9261198301681252,C
jena,30001,L720,0.4753012365200762,0.5603551642709882,0.538625756575777,0.490225416226838,0.4868546946116177,-2.430765418606996,-3.1399412751436038,10.892263260916767,10.183087404380158,-0.7091758565366081,C
jena,30001,S180,0.4753012365200762,0.5038094802920154,0.538625756575777,0.490225416226838,0.4868546946116177,-2.430765418606996,-3.1399412751436038,10.892263260916767,10.183087404380158,-0.7091758565366081,C
