cell,study_number,dataset,candidate_id,method,lr,seed,procedure,score,val_score,val_recent7_score,cal_score,cal_score_is_resubstitution,eval_first41_score,eval_last42_score,coverage80,width80_scaled,best_step,trainable,new_forecast,path,selector,relative_loss_over_f0,family_oracle,family_oracle_candidate_id,family_oracle_regret_over_f0,all_oracle_candidate_id,all_oracle_regret_over_f0
s12_bike,12,bike,s12_bike__F0__lr_0e+00__seed_12000,F0,0.0,12000,SORT,0.4102237148565775,0.23328154213026553,0.23163381866331267,0.42535176053598456,False,0.4326637263513368,0.38831798934978834,0.7838855421686748,1.740856758370045,0,0,False,runs/peft_external_gap_v1/forecasts/bike/F0_seed_12000,F0,0.0,ALL,s12_bike__OFF_LORA__lr_1e-04__seed_12000,0.07725779201828231,s12_bike__OFF_LORA__lr_1e-04__seed_12000,0.07725779201828231
s12_bike,12,bike,s12_bike__OFF_LORA__lr_1e-05__seed_12000,OFF_LORA,1e-05,12000,SORT,0.39432194433081813,0.22659670556814088,0.22324304170023673,0.4042176090461621,False,0.4115025934040254,0.37755035833078254,0.822289156626506,1.7803581489011862,120,1206912,False,runs/peft_external_gap_v1/forecasts/bike/OFF_LORA_seed_12000,FIXED_LOW,-0.038763654927455704,LORA,s12_bike__OFF_LORA__lr_1e-04__seed_12000,0.03849413709082659,s12_bike__OFF_LORA__lr_1e-04__seed_12000,0.03849413709082659
s12_bike,12,bike,s12_bike__OFF_LORA__lr_1e-05__seed_12000,OFF_LORA,1e-05,12000,SORT,0.39432194433081813,0.22659670556814088,0.22324304170023673,0.4042176090461621,False,0.4115025934040254,0.37755035833078254,0.822289156626506,1.7803581489011862,120,1206912,False,runs/peft_external_gap_v1/forecasts/bike/OFF_LORA_seed_12000,LORA_V,-0.038763654927455704,LORA,s12_bike__OFF_LORA__lr_1e-04__seed_12000,0.03849413709082659,s12_bike__OFF_LORA__lr_1e-04__seed_12000,0.03849413709082659
s12_bike,12,bike,s12_bike__OFF_LORA__lr_1e-05__seed_12000,OFF_LORA,1e-05,12000,SORT,0.39432194433081813,0.22659670556814088,0.22324304170023673,0.4042176090461621,False,0.4115025934040254,0.37755035833078254,0.822289156626506,1.7803581489011862,120,1206912,False,runs/peft_external_gap_v1/forecasts/bike/OFF_LORA_seed_12000,LORA_RECENT7,-0.038763654927455704,LORA,s12_bike__OFF_LORA__lr_1e-04__seed_12000,0.03849413709082659,s12_bike__OFF_LORA__lr_1e-04__seed_12000,0.03849413709082659
s12_bike,12,bike,s12_bike__OFF_LORA__lr_1e-05__seed_12000,OFF_LORA,1e-05,12000,SORT,0.39432194433081813,0.22659670556814088,0.22324304170023673,0.4042176090461621,False,0.4115025934040254,0.37755035833078254,0.822289156626506,1.7803581489011862,120,1206912,False,runs/peft_external_gap_v1/forecasts/bike/OFF_LORA_seed_12000,ALL_V,-0.038763654927455704,ALL,s12_bike__OFF_LORA__lr_1e-04__seed_12000,0.03849413709082659,s12_bike__OFF_LORA__lr_1e-04__seed_12000,0.03849413709082659
s12_bike,12,bike,s12_bike__OFF_LORA__lr_1e-05__seed_12000,OFF_LORA,1e-05,12000,SORT,0.39432194433081813,0.22659670556814088,0.22324304170023673,0.4042176090461621,False,0.4115025934040254,0.37755035833078254,0.822289156626506,1.7803581489011862,120,1206912,False,runs/peft_external_gap_v1/forecasts/bike/OFF_LORA_seed_12000,ALL_RECENT7,-0.038763654927455704,ALL,s12_bike__OFF_LORA__lr_1e-04__seed_12000,0.03849413709082659,s12_bike__OFF_LORA__lr_1e-04__seed_12000,0.03849413709082659
s12_bike,12,bike,s12_bike__H_FULL__lr_3e-05__seed_12000,H_FULL,3e-05,12000,SORT,0.4095526087873566,0.23138377237442995,0.22623079014540765,0.4082057563497596,False,0.41852861042359685,0.40079032147578886,0.8162650602409638,1.9371667200323264,40,3653280,False,runs/peft_external_gap_v1/forecasts/bike/H_seed_12000,HEAD_V,-0.001635951420935089,HEAD,s12_bike__H_FULL__lr_3e-05__seed_12000,0.0,s12_bike__OFF_LORA__lr_1e-04__seed_12000,0.07562184059734724
s12_bike,12,bike,s12_bike__F0__lr_0e+00__seed_12000,F0,0.0,12000,QCAL,0.4116368023975271,0.23328154213026553,0.23163381866331267,0.4218320604731586,True,0.43439387864705653,0.38942156129679617,0.8519076305220883,1.9698528005448144,0,0,False,runs/peft_external_gap_v1/forecasts/bike/F0_seed_12000,F0,0.0,ALL,s12_bike__OFF_LORA__lr_1e-04__seed_12000,0.07697436706424914,s12_bike__OFF_LORA__lr_1e-04__seed_12000,0.07697436706424914
s12_bike,12,bike,s12_bike__OFF_LORA__lr_1e-05__seed_12000,OFF_LORA,1e-05,12000,QCAL,0.3958734881509772,0.22659670556814088,0.22324304170023673,0.4018365910517241,True,0.41317146101842717,0.378987371780371,0.8534136546184738,1.9322123966015883,120,1206912,False,runs/peft_external_gap_v1/forecasts/bike/OFF_LORA_seed_12000,FIXED_LOW,-0.03829422965764584,LORA,s12_bike__OFF_LORA__lr_1e-04__seed_12000,0.03868013740660334,s12_bike__OFF_LORA__lr_1e-04__seed_12000,0.03868013740660334
s12_bike,12,bike,s12_bike__OFF_LORA__lr_1e-05__seed_12000,OFF_LORA,1e-05,12000,QCAL,0.3958734881509772,0.22659670556814088,0.22324304170023673,0.4018365910517241,True,0.41317146101842717,0.378987371780371,0.8534136546184738,1.9322123966015883,120,1206912,False,runs/peft_external_gap_v1/forecasts/bike/OFF_LORA_seed_12000,LORA_V,-0.03829422965764584,LORA,s12_bike__OFF_LORA__lr_1e-04__seed_12000,0.03868013740660334,s12_bike__OFF_LORA__lr_1e-04__seed_12000,0.03868013740660334
