series,target_event,first_release,first_growth,maturity_date,mature_growth
PAYEMS,1997-04-01,1997-05-02,0.11686667009183083,1997-10-31,0.26911935259867903
PAYEMS,1997-05-01,1997-06-06,0.11336006996955916,1997-11-30,0.13387817444883154
PAYEMS,1997-06-01,1997-07-03,0.17794839273452823,1997-12-31,0.18204933479246677
PAYEMS,1997-07-01,1997-08-01,0.258550299487581,1998-01-31,0.314115826631145
PAYEMS,1997-08-01,1997-09-05,0.04001780437334901,1998-02-28,0.042460765258311994
PAYEMS,1997-09-01,1997-10-03,0.175384974088999,1998-03-31,0.24461452813113738
PAYEMS,1997-10-01,1997-11-07,0.23107664285788587,1998-04-30,0.23670575363237134
PAYEMS,1997-11-01,1997-12-05,0.3277069147333833,1998-05-31,0.3479392792195668
PAYEMS,1997-12-01,1998-01-09,0.29915934342401584,1998-06-30,0.27796483314901366
PAYEMS,1998-01-01,1998-02-06,0.2886028154769349,1998-07-31,0.282008309695847
PAYEMS,1998-02-01,1998-03-06,0.24920428344330503,1998-08-31,0.15392512018070903
PAYEMS,1998-03-01,1998-04-03,-0.028915895108205802,1998-09-30,0.065666719744506
PAYEMS,1998-04-01,1998-05-08,0.21022064854445688,1998-10-31,0.25584867722798776
PAYEMS,1998-05-01,1998-06-05,0.2361125502652328,1998-11-30,0.26156731926167964
PAYEMS,1998-06-01,1998-07-02,0.1631574910971878,1998-12-31,0.15041007479243973
PAYEMS,1998-07-01,1998-08-07,0.052467983809734164,1999-01-31,0.0937922332488128
PAYEMS,1998-08-01,1998-09-04,0.28967929368981515,1999-02-28,0.2554948624625908
PAYEMS,1998-09-01,1998-10-02,0.054669705233933996,1999-03-31,0.13620851508377996
PAYEMS,1998-10-01,1998-11-05,0.09176780227253545,1999-04-30,0.129700678548339
PAYEMS,1998-11-01,1998-12-04,0.21083144064224513,1999-05-31,0.21868631189470022
PAYEMS,1998-12-01,1999-01-08,0.2977153742298455,1999-06-30,0.27162483682268146
PAYEMS,1999-01-01,1999-02-05,0.19257303091304578,1999-07-31,0.15084618124099336
PAYEMS,1999-02-01,1999-03-05,0.21573288878435903,1999-08-31,0.27596172866992674
PAYEMS,1999-03-01,1999-04-02,0.03603462496393206,1999-09-30,0.06495971552240576
PAYEMS,1999-04-01,1999-05-07,0.18310723929140238,1999-10-31,0.2508333118214523
PAYEMS,1999-05-01,1999-06-04,0.008582920773214653,1999-11-30,0.021849736329393465
PAYEMS,1999-06-01,1999-07-02,0.20894575793750647,1999-12-31,0.21901374667123719
