method,corpus,lr,input_mode,score,val_score,relative_improvement_over_f0,median_mse,oracle_mean_error_mse,oracle_mean_error_mse_over_variance,coverage80,width80,crossing,best_step,trainable,wall,path,origin
ALIGN_ATTN,0,3e-05,aligned,0.37475262866464465,0.3835589860426941,0.3020936731218781,0.47738290285258617,0.12362830291718958,0.18978299589981956,0.74267578125,1.56059604301322,0.0,160,1179648,42.651824900000065,runs/peft_trainlag_v1/trials/Q00_c0/ALIGN_ATTN/lr_3e-05,new_gpu
ALIGN_ATTN,0,0.0001,aligned,0.3704869247293928,0.38017166935534175,0.31003774485690316,0.4624015198875492,0.10744136070369871,0.1649342653482784,0.716064453125,1.4620804142496127,0.0,80,1179648,42.82843270000012,runs/peft_trainlag_v1/trials/Q00_c0/ALIGN_ATTN/lr_1e-04,new_gpu
ALIGN_F0,0,0.001,aligned,0.4605718030721859,0.4645388656848035,0.14227159262067035,0.7318306123048244,0.3681963042757802,0.5652216851306723,0.8101806640625,2.2445324224835304,0.0,0,0,5.064852199997404,runs/peft_trainlag_v1/trials/Q00_c0/ALIGN_F0/lr_1e-03,new_gpu
ATTN,0,3e-05,raw,0.5028127208940127,0.5002887613493512,0.06360582340101602,0.8614747788905689,0.5040457950205417,0.7737655439125505,0.7520751953125,2.1742562250547053,0.0,120,1179648,42.6849183000013,runs/peft_trainlag_v1/trials/Q00_c0/ATTN/lr_3e-05,new_gpu
ATTN,0,0.0001,raw,0.5039888875560414,0.5014886510329326,0.06141543408255309,0.8630879200910706,0.5050139080180219,0.7752517034787335,0.743896484375,2.1319446197122716,0.0,40,1179648,42.667541800001345,runs/peft_trainlag_v1/trials/Q00_c0/ATTN/lr_1e-04,new_gpu
F0,0,0.001,raw,0.5369669456085747,0.5374823611605251,0.0,0.9847581488260762,0.6234399731702365,0.9570486941910398,0.7943115234375,2.512340777278723,0.0,0,0,5.433101599999645,runs/peft_trainlag_v1/trials/Q00_c0/F0/lr_1e-03,new_gpu
ALIGN_ATTN,1,3e-05,aligned,0.37315885021276873,0.3750207557249813,0.3050617858984841,0.47082102485040994,0.11645552908685405,0.17877200186114278,0.7137451171875,1.476233816297622,0.0,160,1179648,43.65853120000247,runs/peft_trainlag_v1/trials/Q00_c1/ALIGN_ATTN/lr_3e-05,new_gpu
ALIGN_ATTN,1,0.0001,aligned,0.37472777468960355,0.3774462205477438,0.30213995897847384,0.4682405779189468,0.11392886739113126,0.17489329921033644,0.677490234375,1.3500088612072076,0.0,80,1179648,44.04261650000262,runs/peft_trainlag_v1/trials/Q00_c1/ALIGN_ATTN/lr_1e-04,new_gpu
ALIGN_F0,1,0.001,aligned,0.4605718030721859,0.4645388656848035,0.14227159262067035,0.7318306123048244,0.3681963042757802,0.5652216851306723,0.8101806640625,2.2445324224835304,0.0,0,0,5.12217000000237,runs/peft_trainlag_v1/trials/Q00_c1/ALIGN_F0/lr_1e-03,new_gpu
ATTN,1,3e-05,raw,0.4967690359193791,0.4932508280053354,0.07486105060645228,0.8403089314256816,0.48518177084166797,0.7448071991086803,0.7598876953125,2.1523476262411236,0.0,120,1179648,42.34791760000371,runs/peft_trainlag_v1/trials/Q00_c1/ATTN/lr_3e-05,new_gpu
ATTN,1,0.0001,raw,0.49415048782741244,0.4912929735828559,0.07973760420697029,0.831886948274897,0.4756442906934056,0.7301661216760739,0.7686767578125,2.1871504060177074,0.0,40,1179648,42.877954099996714,runs/peft_trainlag_v1/trials/Q00_c1/ATTN/lr_1e-04,new_gpu
F0,1,0.001,raw,0.5369669456085747,0.5374823611605251,0.0,0.9847581488260762,0.6234399731702365,0.9570486941910398,0.7943115234375,2.512340777278723,0.0,0,0,5.050602099996468,runs/peft_trainlag_v1/trials/Q00_c1/F0/lr_1e-03,new_gpu
ALIGN_ATTN,2,3e-05,aligned,0.3680993173191124,0.37178484887844554,0.314484214848784,0.4528717924236352,0.09922013467019651,0.15231378225669423,0.68505859375,1.352678448223088,0.0,200,1179648,42.77495859999908,runs/peft_trainlag_v1/trials/Q00_c2/ALIGN_ATTN/lr_3e-05,new_gpu
ALIGN_ATTN,2,0.0001,aligned,0.36014871705940427,0.36478254372668306,0.32929071332085896,0.4365185124122809,0.08312145467938839,0.12760054389141018,0.7054443359375,1.382840456199034,0.0,80,1179648,43.23399010000139,runs/peft_trainlag_v1/trials/Q00_c2/ALIGN_ATTN/lr_1e-04,new_gpu
ALIGN_F0,2,0.001,aligned,0.4605718030721859,0.4645388656848035,0.14227159262067035,0.7318306123048244,0.3681963042757802,0.5652216851306723,0.8101806640625,2.2445324224835304,0.0,0,0,5.116936300000816,runs/peft_trainlag_v1/trials/Q00_c2/ALIGN_F0/lr_1e-03,new_gpu
ATTN,2,3e-05,raw,0.49206105739216466,0.4875577894570651,0.08362877563257773,0.8222931610614781,0.4644240508817987,0.7129418237126252,0.7425537109375,2.0628435617068135,0.0,160,1179648,43.82507050000277,runs/peft_trainlag_v1/trials/Q00_c2/ATTN/lr_3e-05,new_gpu
ATTN,2,0.0001,raw,0.4968561413661151,0.49563229079196186,0.07469883308552594,0.8412362026694868,0.4829583169208739,0.7413939536270517,0.770751953125,2.22058538953695,0.0,40,1179648,42.6154366999981,runs/peft_trainlag_v1/trials/Q00_c2/ATTN/lr_1e-04,new_gpu
