source,stage,method,seed,lr_or_lambda,val_score,best_step,selected_for_forecast,lr_boundary,step_boundary,trainable,fit_wall_seconds,guard_seconds,path
bike,GPU_FIT_SORT_SELECTION,F0,12000,0.0,0.21694819832532947,0,True,False,False,0,8.646228099998552,14.234,runs/peft_temporal_replication_v1/trials/bike/F0/lr_0e+00_seed_12000
bike,GPU_FIT_SORT_SELECTION,H_MLP,12000,0.0001,0.20786526803330066,200,False,True,True,589301,9.340609000006225,14.219,runs/peft_temporal_replication_v1/trials/bike/H_MLP/lr_1e-04_seed_12000
bike,GPU_FIT_SORT_SELECTION,H_MLP,12000,0.0003,0.20463104907593516,120,False,False,False,589301,9.526248499998474,14.219,runs/peft_temporal_replication_v1/trials/bike/H_MLP/lr_3e-04_seed_12000
bike,GPU_FIT_SORT_SELECTION,H_MLP,12000,0.001,0.20340005082950363,120,True,True,False,589301,9.435855700001412,14.203,runs/peft_temporal_replication_v1/trials/bike/H_MLP/lr_1e-03_seed_12000
bike,GPU_FIT_SORT_SELECTION,H_FULL,12000,3e-05,0.21108857341330906,120,False,True,False,3653280,9.681024799996521,14.203,runs/peft_temporal_replication_v1/trials/bike/H_FULL/lr_3e-05_seed_12000
bike,GPU_FIT_SORT_SELECTION,H_FULL,12000,0.0001,0.21090974666715412,80,False,False,False,3653280,9.627026800000749,14.218,runs/peft_temporal_replication_v1/trials/bike/H_FULL/lr_1e-04_seed_12000
bike,GPU_FIT_SORT_SELECTION,H_FULL,12000,0.0003,0.21218192867479418,120,False,True,False,3653280,9.94791670000268,14.219,runs/peft_temporal_replication_v1/trials/bike/H_FULL/lr_3e-04_seed_12000
bike,GPU_FIT_SORT_SELECTION,OFF_LORA,12000,1e-05,0.20632395355723424,200,False,True,True,1206912,41.75132070000109,46.563,runs/peft_temporal_replication_v1/trials/bike/OFF_LORA/lr_1e-05_seed_12000
bike,GPU_FIT_SORT_SELECTION,OFF_LORA,12000,3e-05,0.20067866735692425,160,False,False,False,1206912,41.35379280000052,46.516,runs/peft_temporal_replication_v1/trials/bike/OFF_LORA/lr_3e-05_seed_12000
bike,GPU_FIT_SORT_SELECTION,OFF_LORA,12000,0.0001,0.19849953331378575,80,True,True,False,1206912,40.934516299996176,46.532,runs/peft_temporal_replication_v1/trials/bike/OFF_LORA/lr_1e-04_seed_12000
bike,GPU_FIT_SORT_SELECTION,H_MLP,12001,0.001,0.21087592364062344,120,True,True,False,589301,9.573218000005,14.219,runs/peft_temporal_replication_v1/trials/bike/H_MLP/lr_1e-03_seed_12001
