period,dataset,condition,seed,endpoint_index,step,update_fraction,f0_v_score,wide_v_score,all_v_score,probe_g_pct_F0,final_wide_minus_all_pct_F0,same_sign,absolute_error_pct_F0,front_g_pct_F0,back_g_pct_F0,front_back_abs_gap_pct_F0,front_back_same_sign,wide_prefix_wall_seconds,all_prefix_wall_seconds,all_short_guard_seconds
P0,bike,FULL90,25000,1,15,0.08333333333333333,0.2188665054551072,0.21862397973284703,0.2131029063631994,2.5225757400234494,4.168700713271469,True,1.6461249732480194,2.644439651614907,2.6559672071716265,0.01152755555671936,True,10.113091945648193,25.336483001708984,38.64
P0,bike,FULL90,25000,2,30,0.16666666666666666,0.2188665054551072,0.2200666337832493,0.21084271260513426,4.214405104579609,4.168700713271469,True,0.0457043913081403,4.4486803875210095,3.8311969280299762,0.6174834594910332,True,11.16270399093628,34.677035093307495,38.64
P0,bike,FULL90,25001,1,15,0.08333333333333333,0.2188665054551072,0.2187465722611222,0.20977539560478037,4.098926255384455,3.910957213158088,True,0.18796904222636757,5.932592540623327,2.924138407201052,3.008454133422275,True,10.304433107376099,26.17103099822998,38.61
P0,bike,FULL90,25001,2,30,0.16666666666666666,0.2188665054551072,0.21700178616738633,0.20632403840653193,4.878657763850742,3.910957213158088,True,0.9677005506926544,6.454683461101532,4.166831688038968,2.287851773062564,True,11.515894889831543,35.452725887298584,38.61
P0,bike,SPREAD30,25000,1,5,0.08333333333333333,0.2188665054551072,0.21856593149456574,0.21461858287608976,1.8035416658514898,0.5619566998351208,True,1.2415849660163691,2.5135790937719253,1.6568616818143498,0.8567174119575756,True,9.706846952438354,18.457159996032715,26.484
P0,bike,SPREAD30,25000,2,10,0.16666666666666666,0.2188665054551072,0.21982338281031222,0.21423659273108883,2.5526016726983016,0.5619566998351208,True,1.9906449728631808,3.7470070186140685,1.950166166933816,1.7968408516802525,True,10.24684190750122,22.012841939926147,26.484
P0,bike,SPREAD30,25001,1,5,0.08333333333333333,0.2188665054551072,0.21830149228749368,0.21504789158492602,1.486568580149889,1.0322522664783274,True,0.45431631367156156,2.034277302327202,1.4365161308636691,0.5977611714635327,True,9.211945056915283,18.186830043792725,26.406
P0,bike,SPREAD30,25001,2,10,0.16666666666666666,0.2188665054551072,0.219990066310736,0.21329872442071282,3.057270858375211,1.0322522664783274,True,2.0250185918968837,4.004754712443711,2.8369333251843667,1.1678213872593446,True,9.727833032608032,21.731120824813843,26.406
P0,bike,RECENT30,25000,1,5,0.08333333333333333,0.2188665054551072,0.21932010708416705,0.21564292162400345,1.6801042500849208,1.3429969700614188,True,0.337107280023502,1.9147352329468668,1.6045566369583448,0.31017859598852193,True,9.453184127807617,19.27490496635437,26.516
P0,bike,RECENT30,25000,2,10,0.16666666666666666,0.2188665054551072,0.21931245104290126,0.2140510436317178,2.4039344897671597,1.3429969700614188,True,1.060937519705741,2.8990540982080653,2.3625797547151226,0.5364743434929427,True,9.923964023590088,22.66902804374695,26.516
P0,bike,RECENT30,25001,1,5,0.08333333333333333,0.2188665054551072,0.2190234532604253,0.21501790174187588,1.8301345426155309,3.117300124794445,True,1.2871655821789143,2.5004685924797534,1.2799347296552097,1.2205338628245437,True,9.576148986816406,17.39627695083618,24.438
P0,bike,RECENT30,25001,2,10,0.16666666666666666,0.2188665054551072,0.21857327393914472,0.2115009258063251,3.2313524255863206,3.117300124794445,True,0.11405230079187545,3.777515196274433,3.207503234582543,0.5700119616918897,True,10.086526155471802,20.972069025039673,24.438
P0,household,FULL90,25000,1,15,0.08333333333333333,0.43804830634195147,0.43806451724640816,0.43318220189880885,1.1145609461135666,0.9962341889138335,True,0.11832675719973307,1.7683244877833524,0.7412783066151832,1.0270461811681693,True,10.091363906860352,23.29453682899475,36.578
P0,household,FULL90,25000,2,30,0.16666666666666666,0.43804830634195147,0.4381579275964884,0.43190058418798283,1.4284596739476834,0.9962341889138335,True,0.43222548503384983,1.9786010307854855,1.3410978658164634,0.6375031649690222,True,11.097681045532227,32.02685499191284,36.578
P0,household,FULL90,25001,1,15,0.08333333333333333,0.43804830634195147,0.4371222407373993,0.43245054790637333,1.0664789164551947,0.8061467489515175,True,0.26033216750367716,1.6128748095632348,0.7584693468282302,0.8544054627350046,True,10.02742600440979,22.87670087814331,34.609
P0,household,FULL90,25001,2,30,0.16666666666666666,0.43804830634195147,0.4368386001857353,0.42957232663955364,1.6587836183777893,0.8061467489515175,True,0.8526368694262718,1.892069877124188,1.8565756436500975,0.03549423347409042,True,11.071922063827515,31.691588878631592,34.609
P0,household,SPREAD30,25000,1,5,0.08333333333333333,0.43804830634195147,0.4381239640312291,0.43626021609271487,0.42546630395127,-0.19681935614522791,False,0.6222856600964979,0.49559021712835377,0.4115083597751179,0.08408185735323587,True,12.724215030670166,16.90637183189392,24.469
P0,household,SPREAD30,25000,2,10,0.16666666666666666,0.43804830634195147,0.4385008457400783,0.435283423882611,0.7344901945484792,-0.19681935614522791,False,0.9313095506937071,0.8254604967747625,0.7491701262473915,0.07629037052737098,True,14.025649070739746,20.333393812179565,24.469
P0,household,SPREAD30,25001,1,5,0.08333333333333333,0.43804830634195147,0.4379817343408102,0.4366727277345251,0.2988269986057865,0.40236279627252386,True,0.10353579766673737,0.3202334860724099,0.3054067340354974,0.014826752036912527,True,9.376736879348755,17.95583701133728,24.438
P0,household,SPREAD30,25001,2,10,0.16666666666666666,0.43804830634195147,0.43776546724651155,0.43448675835696204,0.7484811245885896,0.40236279627252386,True,0.34611832831606576,0.9845114532949509,0.6243423124028503,0.3601691408921006,True,9.885225057601929,21.436028003692627,24.438
P0,household,RECENT30,25000,1,5,0.08333333333333333,0.43804830634195147,0.43843029750009016,0.4360942758998035,0.533279450340602,0.7861153218479802,True,0.2528358715073782,0.5583997825111026,0.5645350323287931,0.006135249817690536,True,9.383100986480713,23.090694189071655,30.531
P0,household,RECENT30,25000,2,10,0.16666666666666666,0.43804830634195147,0.43882626685738496,0.4355149985822979,0.7559139544993889,0.7861153218479802,True,0.030201367348591246,0.9047560627181327,0.7068281282279035,0.19792793449022916,True,9.895660161972046,26.42637610435486,30.531
P0,household,RECENT30,25001,1,5,0.08333333333333333,0.43804830634195147,0.43867041179981503,0.4358975792606978,0.6329969774960644,1.2996231790347001,True,0.6666262015386357,0.8859839593170347,0.42670977290653,0.45927418641050466,True,9.373703956604004,20.139426946640015,28.485
P0,household,RECENT30,25001,2,10,0.16666666666666666,0.43804830634195147,0.4393042269749829,0.4349084889750892,1.0034824781315912,1.2996231790347001,True,0.29614070090310896,1.4586685040811078,0.6632566955122439,0.795411808568864,True,9.843353986740112,23.759642839431763,28.485
P1,bike,FULL90,26000,1,15,0.08333333333333333,0.1379427008929462,0.13699842196895712,0.13517140688310958,1.32447391128396,4.358129501730926,True,3.033655590446966,2.3582802335166297,0.8015903886654039,1.5566898448512259,True,10.109831094741821,23.568253993988037,32.593
