period,dataset,condition,seed,wide_recipe,wide_lr,wide_best_step,f0_score,wide_score,all_score,mlp_score,wide_minus_all_pct_F0,mlp_minus_all_pct_F0,wide_gain_vs_f0_pct,all_gain_vs_f0_pct,wide_fit_guard_seconds,all_fit_guard_seconds,wide_eval_guard_seconds
P0,bike,FULL90,25000,1,1e-05,180,0.18379705839224364,0.1814056316457527,0.17374368236158327,0.18175884010009943,4.168700713271469,4.360873785809406,1.301123514929903,5.4698242282013725,22.359,46.578,16.281
P0,bike,FULL90,25001,1,1e-05,120,0.18379705839224364,0.18189548519463988,0.17470726088187605,0.18069853700239497,3.910957213158088,3.2597236174111446,1.03460480501575,4.945562018173838,22.375,46.563,14.312
P0,bike,SPREAD30,25000,1,1e-05,20,0.18379705839224364,0.1824541455046097,0.18142128562087462,0.18262304564041315,0.5619566998351208,0.6538516067944038,0.7306498261620775,1.2926065259971982,16.25,125.922,14.281
P0,bike,SPREAD30,25001,1,1e-05,40,0.18379705839224364,0.18279199138406874,0.1808947420830943,0.18250471461360382,1.0322522664783274,0.8759511956244967,0.5468351979986411,1.5790874644769683,16.235,113.547,14.265
P0,bike,RECENT30,25000,1,1e-05,60,0.18379705839224364,0.18206537672095985,0.17959698779569,0.18219688309603888,1.3429969700614188,1.4145467414393575,0.9421705039414654,2.285167474002884,16.266,121.734,14.281
P0,bike,RECENT30,25001,1,1e-05,40,0.18379705839224364,0.18200200733786215,0.17627250140723222,0.1821380897081854,3.117300124794445,3.191339596107875,0.976648413246446,4.093948538040891,16.25,115.734,16.313
P0,household,FULL90,25000,0,0.0001,120,0.29798754988184006,0.29781941017154856,0.294850756320919,0.2979336776797356,0.9962341889138335,1.0345805923902067,0.056425078953189725,1.0526592678670232,22.36,125.906,16.297
P0,household,FULL90,25001,0,0.0001,120,0.29798754988184006,0.29762885392988614,0.2952266369842334,0.2967020582639585,0.8061467489515175,0.4951284979221958,0.1203727981575596,0.9265195471090771,22.313,123.813,16.313
P0,household,SPREAD30,25000,1,1e-05,20,0.29798754988184006,0.2975637717199745,0.2981502688970449,0.29758845171368886,-0.19681935614522791,-0.18853713303753541,0.14221337838899695,-0.05460597775623097,24.454,123.859,16.313
P0,household,SPREAD30,25001,1,1e-05,20,0.29798754988184006,0.2977290539296704,0.29653006289142186,0.2977858439748318,0.40236279627252386,0.42142065462396244,0.08674723231629866,0.4891100285888225,16.25,107.609,16.282
P0,household,RECENT30,25000,1,1e-05,5,0.29798754988184006,0.2977832033516993,0.29544067756487874,0.29743908934864105,0.7861153218479802,0.6706359995760673,0.06857552613248953,0.8546908479804697,16.266,103.454,16.297
P0,household,RECENT30,25001,1,1e-05,10,0.29798754988184006,0.2975839261923441,0.2937112109234421,0.2973485309086059,1.2996231790347001,1.220628172756246,0.13544985005448296,1.435073029089183,16.234,113.656,18.344
P1,bike,FULL90,26000,1,1e-05,180,0.168012163988169,0.1659250326286431,0.15860284494337817,0.16527224020547976,4.358129501730926,3.969590715212279,1.2422501502170233,5.600379651947949,22.328,127.985,16.313
P1,bike,FULL90,26001,1,1e-05,180,0.168012163988169,0.16585208163229312,0.1571159146133218,0.16663835778769012,5.199722931719689,5.667710568288891,1.2856702185134639,6.485393150233154,22.344,128.031,16.282
P1,bike,SPREAD30,26000,1,1e-05,40,0.168012163988169,0.16721292911188504,0.16391937848252602,0.16701336707353998,1.9603048679207173,1.8415265404425258,0.47570060245176765,2.436005470372485,16.25,58.968,16.281
P1,bike,SPREAD30,26001,1,1e-05,40,0.168012163988169,0.1672320245258849,0.16316132443179418,0.16705709310108266,2.422860343836394,2.3187420343938965,0.4643351075098636,2.8871954513462574,22.437,63.063,18.344
P1,bike,RECENT30,26000,1,1e-05,40,0.168012163988169,0.16700818543222884,0.16581397675347018,0.16696118578661107,0.710787034945134,0.6828130808562602,0.597563016931839,1.3083500518769728,16.313,56.937,16.312
P1,bike,RECENT30,26001,1,1e-05,20,0.168012163988169,0.1668311342223451,0.16521528071115116,0.16680587091246807,0.9617479311246375,0.9467113353940942,0.7029430118566115,1.6646909429812489,16.25,56.922,16.312
P1,household,FULL90,26000,0,0.0001,180,0.41873548676005384,0.4131954704193516,0.40771226907909264,0.41143320282210916,1.309466599710713,0.8886119903061164,1.3230348312649214,2.6325014309756343,22.344,121.891,16.312
P1,household,FULL90,26001,0,0.0001,120,0.41873548676005384,0.4104579756109478,0.40735851993003314,0.4110951250817964,0.7401941748230081,0.8923545459867945,1.976787592843605,2.716981767666613,22.344,121.907,16.282
P1,household,SPREAD30,26000,1,1e-05,60,0.41873548676005384,0.4168926870059214,0.411977341827154,0.4168976596145659,1.1738544580493184,1.1750419878388128,0.4400868358187183,1.6139412938680366,16.25,52.907,14.281
P1,household,SPREAD30,26001,1,1e-05,60,0.41873548676005384,0.4167766642244153,0.4089834763291608,0.41619532522790514,1.8611242996274058,1.722292264872429,0.4677947290292632,2.328919028656669,16.234,56.875,14.281
P1,household,RECENT30,26000,1,1e-05,60,0.41873548676005384,0.4168859895591517,0.4095453590744924,0.41401423833701695,1.7530471423516205,1.0672320364109291,0.44168628152644984,2.1947334238780702,16.235,56.922,16.282
P1,household,RECENT30,26001,1,1e-05,60,0.41873548676005384,0.41702315918256844,0.4103626226174847,0.41520345610664494,1.590631024998464,1.1560600049964664,0.40892822118671157,1.9995592461851757,26.469,54.922,16.312
