source,stage,method,seed,lr_or_lambda,val_score,best_step,selected_for_forecast,lr_boundary,step_boundary,trainable,fit_wall_seconds,guard_seconds,path
bike,GPU_FIT_SORT_SELECTION,F0,12000,0.0,0.23328154213026553,0,True,False,False,0,6.979588599999261,10.171,runs/peft_external_gap_v1/trials/bike/F0/lr_0e+00_seed_12000
bike,GPU_FIT_SORT_SELECTION,H_MLP,12000,0.0001,0.23328154213026553,0,False,True,True,589301,8.047332900001493,12.234,runs/peft_external_gap_v1/trials/bike/H_MLP/lr_1e-04_seed_12000
bike,GPU_FIT_SORT_SELECTION,H_MLP,12000,0.0003,0.23328154213026553,0,False,False,True,589301,7.634566699998686,10.14,runs/peft_external_gap_v1/trials/bike/H_MLP/lr_3e-04_seed_12000
bike,GPU_FIT_SORT_SELECTION,H_MLP,12000,0.001,0.23328154213026553,0,False,True,True,589301,7.606328499998199,10.172,runs/peft_external_gap_v1/trials/bike/H_MLP/lr_1e-03_seed_12000
bike,GPU_FIT_SORT_SELECTION,H_FULL,12000,3e-05,0.23138377237442995,40,True,True,False,3653280,7.785343199997442,10.156,runs/peft_external_gap_v1/trials/bike/H_FULL/lr_3e-05_seed_12000
bike,GPU_FIT_SORT_SELECTION,H_FULL,12000,0.0001,0.23328154213026553,0,False,False,True,3653280,7.762662100001762,10.172,runs/peft_external_gap_v1/trials/bike/H_FULL/lr_1e-04_seed_12000
bike,GPU_FIT_SORT_SELECTION,H_FULL,12000,0.0003,0.23328154213026553,0,False,True,True,3653280,7.773811500002921,10.157,runs/peft_external_gap_v1/trials/bike/H_FULL/lr_3e-04_seed_12000
bike,GPU_FIT_SORT_SELECTION,OFF_LORA,12000,1e-05,0.22659670556814088,120,True,True,False,1206912,38.56958239999949,42.515,runs/peft_external_gap_v1/trials/bike/OFF_LORA/lr_1e-05_seed_12000
bike,GPU_FIT_SORT_SELECTION,OFF_LORA,12000,3e-05,0.2271604275029,40,False,False,False,1206912,38.00235840000096,40.453,runs/peft_external_gap_v1/trials/bike/OFF_LORA/lr_3e-05_seed_12000
bike,GPU_FIT_SORT_SELECTION,OFF_LORA,12000,0.0001,0.23100557590258725,40,False,True,False,1206912,38.09244409999519,40.437,runs/peft_external_gap_v1/trials/bike/OFF_LORA/lr_1e-04_seed_12000
bike,GPU_FIT_SORT_SELECTION,H_FULL,12001,3e-05,0.23328154213026553,0,True,True,True,3653280,8.252318799997738,12.234,runs/peft_external_gap_v1/trials/bike/H_FULL/lr_3e-05_seed_12001
bike,GPU_FIT_SORT_SELECTION,H_FULL,12002,3e-05,0.23231590614919984,40,True,True,False,3653280,7.952816900004109,12.219,runs/peft_external_gap_v1/trials/bike/H_FULL/lr_3e-05_seed_12002
bike,GPU_FIT_SORT_SELECTION,OFF_LORA,12001,1e-05,0.22551118324582622,160,True,True,False,1206912,38.722416300006444,42.5,runs/peft_external_gap_v1/trials/bike/OFF_LORA/lr_1e-05_seed_12001
bike,GPU_FIT_SORT_SELECTION,OFF_LORA,12002,1e-05,0.22616223684878128,120,True,True,False,1206912,39.61165350000374,42.531,runs/peft_external_gap_v1/trials/bike/OFF_LORA/lr_1e-05_seed_12002
household,GPU_FIT_SORT_SELECTION,F0,12000,0.0,0.44446069564016644,0,True,False,False,0,7.177981100001489,10.156,runs/peft_external_gap_v1/trials/household/F0/lr_0e+00_seed_12000
household,GPU_FIT_SORT_SELECTION,H_MLP,12000,0.0001,0.4341358490649436,120,False,True,False,589301,8.37463239999488,12.234,runs/peft_external_gap_v1/trials/household/H_MLP/lr_1e-04_seed_12000
household,GPU_FIT_SORT_SELECTION,H_MLP,12000,0.0003,0.4345197027574422,80,False,False,False,589301,7.941816399994423,12.234,runs/peft_external_gap_v1/trials/household/H_MLP/lr_3e-04_seed_12000
household,GPU_FIT_SORT_SELECTION,H_MLP,12000,0.001,0.43447919872773555,40,False,True,False,589301,8.098894299997482,12.234,runs/peft_external_gap_v1/trials/household/H_MLP/lr_1e-03_seed_12000
household,GPU_FIT_SORT_SELECTION,H_FULL,12000,3e-05,0.4307080817782504,120,True,True,False,3653280,8.232500199999777,12.218,runs/peft_external_gap_v1/trials/household/H_FULL/lr_3e-05_seed_12000
household,GPU_FIT_SORT_SELECTION,H_FULL,12000,0.0001,0.4344593221552675,40,False,False,False,3653280,8.128924700002244,12.234,runs/peft_external_gap_v1/trials/household/H_FULL/lr_1e-04_seed_12000
household,GPU_FIT_SORT_SELECTION,H_FULL,12000,0.0003,0.44100457633220425,40,False,True,False,3653280,8.500454499997431,12.25,runs/peft_external_gap_v1/trials/household/H_FULL/lr_3e-04_seed_12000
household,GPU_FIT_SORT_SELECTION,OFF_LORA,12000,1e-05,0.4273116228895526,200,False,True,True,1206912,39.1676185000033,42.547,runs/peft_external_gap_v1/trials/household/OFF_LORA/lr_1e-05_seed_12000
household,GPU_FIT_SORT_SELECTION,OFF_LORA,12000,3e-05,0.4250429200245355,80,False,False,False,1206912,39.597309699995094,42.547,runs/peft_external_gap_v1/trials/household/OFF_LORA/lr_3e-05_seed_12000
household,GPU_FIT_SORT_SELECTION,OFF_LORA,12000,0.0001,0.4204590542972432,40,True,True,False,1206912,40.184401600003184,42.547,runs/peft_external_gap_v1/trials/household/OFF_LORA/lr_1e-04_seed_12000
household,GPU_FIT_SORT_SELECTION,H_FULL,12001,3e-05,0.43029219154541315,200,True,True,True,3653280,8.214988699997775,12.218,runs/peft_external_gap_v1/trials/household/H_FULL/lr_3e-05_seed_12001
household,GPU_FIT_SORT_SELECTION,H_FULL,12002,3e-05,0.4322350064036462,160,True,True,False,3653280,8.181976300002134,12.234,runs/peft_external_gap_v1/trials/household/H_FULL/lr_3e-05_seed_12002
household,GPU_FIT_SORT_SELECTION,OFF_LORA,12001,0.0001,0.4240107368367511,40,True,True,False,1206912,38.71704669999599,42.531,runs/peft_external_gap_v1/trials/household/OFF_LORA/lr_1e-04_seed_12001
