config,tokens_encoded,total_parameters,tokenizer_parameters,model_call_median_ms_b1,model_call_median_ms_b64,end_to_end_median_ms_b64,p90_ms_b64,throughput_windows_per_s_b64,peak_allocated_bytes_b64
U_B32,32,1538992,0,2.115400002367096,2.019599996856414,2.1239999987301417,2.3609199983184226,31689.44350347519,41594368
I_B32,32,1563697,24705,2.374150000832742,2.47740000122576,2.48835000093095,3.2218400010606274,25833.53514504492,41743360
C_B32,32,1563697,24705,2.6251500021317042,2.52609999733977,2.733499997702893,2.808680001180619,25335.497433750937,41743360
H_STATIC_B32,32,1539120,128,2.172949996747775,2.062399998976616,2.1866999995836522,2.3441699959221296,31031.80761819116,41594880
R_B32,32,1563697,24705,2.5609499971324112,2.5432000002183486,2.6270500020473264,2.7879200024472084,25165.146270252135,41743360
DENSE_B64,64,1538992,0,1.9224000025133137,1.8209500012744684,1.9700000011653174,2.1630700000969227,35146.489445183506,47869440
