dataset,horizon,B,model_seed,arm,MSE,MAE,n_keys
ETTm2,96,32,2026090601,U,0.22750707674736675,0.3282257034574091,819
ETTm2,336,32,2026090601,U,0.29793700026316283,0.3711548785122545,819
ETTm2,96,32,2026090601,I,0.20560608640022038,0.3030169178399314,819
ETTm2,336,32,2026090601,I,0.29444014163377763,0.36294481838724696,819
ETTm2,96,32,2026090601,H_STATIC,0.2259951068139963,0.32697458164353266,819
ETTm2,336,32,2026090601,H_STATIC,0.2988699506572966,0.3722175264838158,819
ETTm2,96,32,2026090601,C,0.20641144456176597,0.30403985473674927,819
ETTm2,336,32,2026090601,C,0.2944143908096716,0.3633245158849799,819
ETTm2,96,32,2026090601,R,0.20637138604611388,0.30384371843299685,819
ETTm2,336,32,2026090601,R,0.29456261613908374,0.3632944195317254,819
weather,96,32,2026090601,U,0.16678935763171363,0.23663000435967807,2247
weather,336,32,2026090601,U,0.2594271732849419,0.3109672628294947,2247
weather,96,32,2026090601,I,0.1626851803148153,0.22818401872176672,2247
weather,336,32,2026090601,I,0.26085489210282775,0.3095443611742544,2247
weather,96,32,2026090601,H_STATIC,0.165302572263313,0.23482137663322233,2247
weather,336,32,2026090601,H_STATIC,0.2590212304389677,0.31009189091147726,2247
weather,96,32,2026090601,C,0.16273810176656908,0.22824644601750915,2247
weather,336,32,2026090601,C,0.26103044110175344,0.3097157728804154,2247
weather,96,32,2026090601,R,0.16273639665269568,0.22815667763695024,2247
weather,336,32,2026090601,R,0.2608129376551509,0.3094127802375435,2247
electricity,96,32,2026090601,U,0.15110984184670037,0.26628352236813563,16692
electricity,336,32,2026090601,U,0.1988878905144204,0.3061280576017081,16692
electricity,96,32,2026090601,I,0.14627995268803082,0.2597314136496928,16692
electricity,336,32,2026090601,I,0.1958611117222721,0.3016932567348005,16692
electricity,96,32,2026090601,H_STATIC,0.15023262735391005,0.2653746515512764,16692
electricity,336,32,2026090601,H_STATIC,0.19856544046263588,0.3057778593044658,16692
electricity,96,32,2026090601,C,0.14622586166752247,0.25966548506931997,16692
electricity,336,32,2026090601,C,0.1958343124536976,0.3016517690445058,16692
electricity,96,32,2026090601,R,0.14622985707909397,0.25966414198254384,16692
electricity,336,32,2026090601,R,0.1958368011667354,0.3016545799650148,16692
ETTm2,96,64,2026090601,DENSE,0.21465658396520373,0.3136876145446742,819
ETTm2,336,64,2026090601,DENSE,0.300714148796241,0.3677893705864037,819
weather,96,64,2026090601,DENSE,0.1622342910491987,0.2324820595742722,2247
weather,336,64,2026090601,DENSE,0.25659688372452094,0.31004498260172336,2247
electricity,96,64,2026090601,DENSE,0.13760608377002767,0.24983553757648688,16692
electricity,336,64,2026090601,DENSE,0.18926218204754514,0.2948365348281017,16692
ETTm2,96,32,2026090602,I,0.20094838565045656,0.29859129596906414,819
ETTm2,336,32,2026090602,I,0.35898515794698466,0.40833586542763967,819
ETTm2,96,32,2026090602,H_STATIC,0.1971899641823292,0.2986127452778535,819
ETTm2,336,32,2026090602,H_STATIC,0.34817494306055097,0.4018790262044464,819
ETTm2,96,32,2026090602,C,0.20021978737297438,0.2974061073874088,819
ETTm2,336,32,2026090602,C,0.36054182324552647,0.4086572462489795,819
weather,96,32,2026090602,I,0.16598964120105805,0.23947188928292282,2247
weather,336,32,2026090602,I,0.2524993007095415,0.3094704755347382,2247
weather,96,32,2026090602,H_STATIC,0.1761402495631723,0.25138094137092404,2247
weather,336,32,2026090602,H_STATIC,0.2616954670369241,0.3191322657408019,2247
weather,96,32,2026090602,C,0.1658397478521497,0.23923510076728743,2247
weather,336,32,2026090602,C,0.2525287169970937,0.3094746883567236,2247
electricity,96,32,2026090602,I,0.14603095867625637,0.25826545938147477,16692
electricity,336,32,2026090602,I,0.1951871956670965,0.30026057572437476,16692
electricity,96,32,2026090602,H_STATIC,0.14886668299012398,0.2617293063792815,16692
electricity,336,32,2026090602,H_STATIC,0.1972636181972156,0.30313392731687366,16692
electricity,96,32,2026090602,C,0.1459906069947733,0.25822737438770726,16692
electricity,336,32,2026090602,C,0.1951867770910982,0.30026529533173546,16692
