arm,dataset,B,model_seed,status,updates_run,best_update,wall_seconds,run_key,collapsed
U,ETTm2,32,2026090601,COMPLETE,3000,600,38.7,71b6a7ea8c8a8235,False
I,ETTm2,32,2026090601,COMPLETE,3000,600,41.8,41dbc8e224f4711f,False
H_STATIC,ETTm2,32,2026090601,COMPLETE,3000,600,40.3,a0ed6d6c6b950d0e,False
C,ETTm2,32,2026090601,COMPLETE,3000,600,44.4,f80db342e6720ef0,False
R,ETTm2,32,2026090601,COMPLETE,3000,600,44.9,6e306155d2d72a45,False
U,weather,32,2026090601,COMPLETE,3000,3000,39.8,93bfaa485794ec08,False
I,weather,32,2026090601,COMPLETE,3000,3000,42.9,0779945044978a27,False
H_STATIC,weather,32,2026090601,COMPLETE,3000,3000,40.2,54e2458f089b2ee6,False
C,weather,32,2026090601,COMPLETE,3000,3000,44.3,46af3d3019c42c67,False
R,weather,32,2026090601,COMPLETE,3000,3000,45.0,eb6a1b273fc044c3,False
U,electricity,32,2026090601,COMPLETE,3000,3000,40.9,2738c3a906155d46,False
I,electricity,32,2026090601,COMPLETE,3000,3000,44.1,f94b77bdfaed1a0f,False
H_STATIC,electricity,32,2026090601,COMPLETE,3000,3000,42.1,3f192cedd3fd12cf,False
C,electricity,32,2026090601,COMPLETE,3000,3000,46.4,57cb719ab5bf9a6e,False
R,electricity,32,2026090601,COMPLETE,3000,3000,47.0,11b68c19a3417a73,False
DENSE,ETTm2,64,2026090601,COMPLETE,3000,600,38.4,eae9e7c8d1900657,False
DENSE,weather,64,2026090601,COMPLETE,3000,3000,37.9,d325402d3de48234,False
DENSE,electricity,64,2026090601,COMPLETE,3000,3000,39.5,4c5b35ca898ccec5,False
I,ETTm2,32,2026090602,COMPLETE,3000,600,41.7,d79c991ed0a93117,False
H_STATIC,ETTm2,32,2026090602,COMPLETE,3000,600,39.6,e307f43278055531,False
C,ETTm2,32,2026090602,COMPLETE,3000,600,43.8,f600bdccbe74a4bb,False
I,weather,32,2026090602,COMPLETE,3000,1200,42.1,efc8d196710ef52f,False
H_STATIC,weather,32,2026090602,COMPLETE,3000,1200,40.1,21d7e08dd44dca67,False
C,weather,32,2026090602,COMPLETE,3000,1200,44.2,a95d198e94117ce2,False
I,electricity,32,2026090602,COMPLETE,3000,3000,44.1,54edd499b2a49ee6,False
H_STATIC,electricity,32,2026090602,COMPLETE,3000,3000,41.8,b2cd94baffe972a2,False
C,electricity,32,2026090602,COMPLETE,3000,3000,46.0,bb622db16bf00426,False
