dataset,condition,seed,fork,cap,C_S_pct_F0,C_slope_per_update,S_improvement_per_update,D_F0,D_STOP,JOINT_D_final,JOINT_D_selected,JOINT_selected_step,JOINT_gain_vs_STOP,JOINT_selection_benefit,HEAD_ONLY_D_final,HEAD_ONLY_D_selected,HEAD_ONLY_selected_step,HEAD_ONLY_gain_vs_STOP,HEAD_ONLY_selection_benefit,HEAD_ONLY_clipped_steps,MASKED_UPDATE_D_final,MASKED_UPDATE_D_selected,MASKED_UPDATE_selected_step,MASKED_UPDATE_gain_vs_STOP,MASKED_UPDATE_selection_benefit,MASKED_UPDATE_clipped_steps,U_final_pct_F0,U_selected_pct_F0,U_masked_pct_F0,clipping_control_difference_pct_F0
jena,RECENT30,27000,20,60,1.8886235611517657,0.10582054959938918,0.11773504611341398,0.30476296048937435,0.30603519321153283,0.3599165764170097,0.32080523867960564,40,-17.679767619712255,12.833363238958194,0.3228562321189826,0.30603519321153283,20,-5.519384271776118,5.519384271776118,0,0.3225251868704164,0.30603519321153283,20,-5.410760425874825,5.410760425874825,40,-12.160383347936138,-4.846404380754063,-12.269007193837432,0.10862384590129331
jena,RECENT30,27000,40,60,3.2560500345114525,0.06837132366798435,0.06283850681955816,0.30476296048937435,0.32080523867960564,0.3599165764170097,0.32080523867960564,40,-12.833363238958194,12.833363238958194,0.3336207440368198,0.32080523867960564,40,-4.205073128517849,4.205073128517849,0,0.3328536974736781,0.32080523867960564,40,-3.9533868468548796,3.9533868468548796,20,-8.628290110440343,0.0,-8.879976392103314,0.25168628166297025
bdg2,FULL90,27001,60,180,0.5018664047190896,-0.02713467994169348,-0.02396128755320862,0.21469335688337005,0.1968554119742404,0.20595381670928262,0.20096396259408822,30,-4.237860391732959,2.324177230087787,0.1969628824601221,0.20096396259408822,30,-0.050057667103367516,-1.8636254945418045,0,0.19710747482010327,0.20096396259408822,30,-0.11740598289671703,-1.7962771787484548,63,-4.1878027246295915,0.0,-4.120454408836242,-0.06734831579334952
bdg2,FULL90,27001,120,180,0.7367962258318639,0.003915497018546238,-0.004704569989203061,0.21469335688337005,0.19867299188945237,0.20595381670928262,0.20096396259408822,30,-3.3912669332314196,2.324177230087787,0.1982134082722347,0.20096396259408822,30,0.21406513172521838,-1.2811548348688508,0,0.19809110236469835,0.20096396259408822,30,0.271032850387693,-1.3381225535313255,42,-3.605332064956638,0.0,-3.6622997836191127,0.056967718662474624
bdg2,SPREAD30,27001,20,60,0.2689906520010481,0.0011795969656052674,-0.0444073675831896,0.21469335688337005,0.20581093171505505,0.2005998062577643,0.21251537414407157,5,2.42724112796915,-5.5500403269488565,0.20574589739832888,0.21251537414407157,5,0.030291722888050928,-3.153090921867757,0,0.20570068390372961,0.21251537414407157,5,0.05135129140736397,-3.17415049038707,8,2.396949405081099,0.0,2.375889836561786,0.021059568519313045
bdg2,SPREAD30,27001,40,60,0.5957547026727783,0.01633820253358651,0.020151454245127647,0.21469335688337005,0.20236106365412715,0.2005998062577643,0.21251537414407157,5,0.8203595220319893,-5.5500403269488565,0.20277745114548473,0.20277745114548473,60,-0.19394521442215934,0.0,0,0.2027259920922639,0.2027259920922639,60,-0.1699765858777862,0.0,9,1.0143047364541486,-4.535735590494707,0.9903361079097754,0.023968628544373146
bdg2,RECENT30,27001,20,60,-0.252198525964946,0.028320159650750593,0.005459833630017329,0.21469335688337005,0.20938434151769397,0.2085774070717712,0.21368097633076763,5,0.3758544081832671,-2.377143537687055,0.21075887777897967,0.21368097633076763,5,-0.6402323207570878,-1.3610568087467003,0,0.21075887777897967,0.21368097633076763,5,-0.6402323207570878,-1.3610568087467003,0,1.016086728940355,0.0,1.016086728940355,0.0
bdg2,RECENT30,27001,40,60,-0.6828182449115381,-0.021530985947329603,-0.040070710627911746,0.21469335688337005,0.20995809040403757,0.2085774070717712,0.21368097633076763,5,0.6430955071499566,-2.377143537687055,0.21077037081565286,0.21368097633076763,5,-0.3783444552765361,-1.3557035752605626,0,0.21077037081565286,0.21368097633076763,5,-0.3783444552765361,-1.3557035752605626,0,1.0214399624264927,0.0,1.0214399624264927,0.0
jena,FULL90,27001,60,180,2.5421086414741616,0.04265053505227804,0.03136457073798512,0.30476296048937435,0.2914059915107663,0.3340728756544762,0.31634902660817443,120,-14.000022862094978,5.815617822402569,0.28924198622343034,0.29174715889746217,120,0.7100617751780259,-0.8220069361477323,0,0.28974084691262414,0.29179321265031377,120,0.5463736785691875,-0.6734301748460632,120,-14.710084637273004,-8.072459878722702,-14.546396540664166,-0.16368809660883837
jena,FULL90,27001,120,180,5.020686605867523,0.04130963273988935,0.04176391860944563,0.30476296048937435,0.31634902660817443,0.3340728756544762,0.31634902660817443,120,-5.815617822402569,5.815617822402569,0.31471800436266145,0.31634902660817443,120,0.5351773203981088,-0.5351773203981088,0,0.31485272275473974,0.31634902660817443,120,0.4909730011258561,-0.4909730011258561,60,-6.350795142800678,0.0,-6.306590823528425,-0.044204319272252705
jena,SPREAD30,27001,20,60,0.9404597634199302,0.03182269980463481,0.03790188497176794,0.30476296048937435,0.30700803536687526,0.3411340339299238,0.30700803536687526,20,-11.197554488987304,11.197554488987304,0.3081623722906983,0.30700803536687526,20,-0.37876549104571977,0.37876549104571977,0,0.3091779656211554,0.30700803536687526,20,-0.7120058982219377,0.7120058982219377,40,-10.818788997941585,0.0,-10.485548590765367,-0.333240407176218
jena,SPREAD30,27001,40,60,0.7725102909617864,-0.008397473622907192,-0.046273360385178174,0.30476296048937435,0.314417770704155,0.3411340339299238,0.30700803536687526,20,-8.76624350376078,11.197554488987304,0.32166477874914967,0.30700803536687526,20,-2.377916277410405,4.80922726263693,0,0.3206659568343668,0.30700803536687526,20,-2.050178971938972,4.481489957165497,20,-6.388327226350374,0.0,-6.716064531821808,0.32773730547143304
jena,RECENT30,27001,20,60,1.2250449485220205,0.06805777448645565,0.10289912100822134,0.30476296048937435,0.3066364981734808,0.3453069585531806,0.3066364981734808,20,-12.688700857087273,12.688700857087273,0.31586643172586315,0.3066364981734808,20,-3.0285614556182705,3.0285614556182705,0,0.3160869518365518,0.3066364981734808,20,-3.100919366282521,3.100919366282521,40,-9.660139401469003,0.0,-9.587781490804751,-0.07235791066425057
jena,RECENT30,27001,40,60,1.1526431706267715,-0.003620088894762452,-0.03590080251522612,0.30476296048937435,0.32485276510010475,0.3453069585531806,0.3066364981734808,20,-6.711508977413613,12.688700857087273,0.3345873266860834,0.3066364981734808,20,-3.1941419555536927,9.171333835227351,0,0.3311124351465753,0.3066364981734808,20,-2.053947118908103,8.031138998581762,20,-3.517367021859921,0.0,-4.6575618585055105,1.1401948366455896
