dataset,condition,seed,fork,cap,C_S_pct_F0,C_slope_per_update,S_improvement_per_update,D_F0,D_STOP,JOINT_D_final,JOINT_D_selected,JOINT_selected_step,JOINT_gain_vs_STOP,JOINT_selection_benefit,HEAD_ONLY_D_final,HEAD_ONLY_D_selected,HEAD_ONLY_selected_step,HEAD_ONLY_gain_vs_STOP,HEAD_ONLY_selection_benefit,HEAD_ONLY_clipped_steps,MASKED_UPDATE_D_final,MASKED_UPDATE_D_selected,MASKED_UPDATE_selected_step,MASKED_UPDATE_gain_vs_STOP,MASKED_UPDATE_selection_benefit,MASKED_UPDATE_clipped_steps,U_final_pct_F0,U_selected_pct_F0,U_masked_pct_F0,clipping_control_difference_pct_F0
bdg2,FULL90,27000,60,180,0.40490865045801233,-0.043507296721966064,-0.04132643649216076,0.21469335688337005,0.19944901324111974,0.20600727320035273,0.1991111850126699,30,-3.0547102408928697,3.2120640749164235,0.19910040477774835,0.1991111850126699,30,0.1623750582840693,-0.005021224260515291,0,0.19878265699622177,0.1991111850126699,30,0.3103758097461586,-0.15302197572260454,82,-3.217085299176939,0.0,-3.3650860506390283,0.14800075146208924
bdg2,FULL90,27000,120,180,0.8776453607643071,0.00787894517177158,0.0030276333607835277,0.21469335688337005,0.20092986507902846,0.20600727320035273,0.1991111850126699,30,-2.364958187356729,3.2120640749164235,0.2006461457649178,0.1991111850126699,30,0.13215095158477463,0.71495493597492,0,0.2006903114629024,0.1991111850126699,30,0.11157942639846342,0.7355264611612312,45,-2.4971091389415037,0.0,-2.4765376137551924,-0.0205715251863112
bdg2,SPREAD30,27000,20,60,1.0796621698452828,0.09346202844684258,0.06112582964741202,0.21469335688337005,0.20425170582455793,0.19830356922180775,0.20425170582455793,20,2.7705266194991958,-2.7705266194991958,0.2052508134500832,0.20425170582455793,20,-0.4653649465586513,0.4653649465586513,0,0.20524891824564728,0.20425170582455793,20,-0.46448219710453387,0.46448219710453387,7,3.235891566057847,0.0,3.2350088166037296,0.00088274945411746
bdg2,SPREAD30,27000,40,60,0.10263244740483152,-0.04885148612202257,-0.056246075462103605,0.21469335688337005,0.20167559670384827,0.19830356922180775,0.20425170582455793,20,1.570624974610806,-2.7705266194991958,0.2006937807929366,0.20425170582455793,20,0.457310801398032,-1.6572124462864215,0,0.20071348612625384,0.20425170582455793,20,0.44813243947603343,-1.648034084364423,8,1.1133141732127743,0.0,1.1224925351347728,-0.00917836192199854
bdg2,RECENT30,27000,20,60,0.08644878692342603,0.04158368409537595,0.023081736888266285,0.21469335688337005,0.20818755541415018,0.20951445336416352,0.2133420633790456,5,-0.6180433196795013,-1.7828264788655694,0.20971488081065642,0.2133420633790456,5,-0.7113985354171645,-1.6894712631279063,0,0.20967987344647304,0.2133420633790456,5,-0.6950927844188237,-1.7057770141262472,1,0.09335521573766317,0.0,0.07704946473932238,0.01630575099834079
bdg2,RECENT30,27000,40,60,-0.8267356916524979,-0.0456592239287962,-0.07130949812725604,0.21469335688337005,0.20935338082935392,0.20951445336416352,0.2133420633790456,5,-0.07502446146812945,-1.7828264788655694,0.21005909053296823,0.2133420633790456,5,-0.32870588725186967,-1.5291450530818291,0,0.2100008138685327,0.2133420633790456,5,-0.3015617476839237,-1.5562891926497753,1,0.2536814257837402,0.0,0.22653728621579422,0.027144139567946
jena,FULL90,27000,60,180,3.174153933772861,0.07064471330085521,0.059694017334276046,0.30476296048937435,0.29097014999301035,0.3298443704772037,0.29097014999301035,60,-12.75555940976913,12.75555940976913,0.2830459327658087,0.29097014999301035,60,2.6001247705683506,-2.6001247705683506,1,0.28366101827311174,0.29097014999301035,60,2.3983005376250257,-2.3983005376250257,120,-15.355684180337482,0.0,-15.153859947394157,-0.2018242329433249
jena,FULL90,27000,120,180,3.4535928597162595,0.004657315432389978,-0.009492820088192263,0.30476296048937435,0.3048402034551694,0.3298443704772037,0.29097014999301035,60,-8.204463882974427,12.75555940976913,0.3052255679802906,0.29097014999301035,60,-0.1264472967785924,4.6775428235732965,0,0.3052557214452895,0.3052557214452895,180,-0.13634136820724843,0.0,60,-8.078016586195835,0.0,-8.068122514767179,-0.009894071428656039
jena,SPREAD30,27000,20,60,0.5615200931931156,-0.029157287305106704,-0.08190171773313437,0.30476296048937435,0.30203568312120443,0.31952428249197684,0.30115424741439684,10,-5.738426790017401,6.027646879424667,0.30649251782582465,0.30115424741439684,10,-1.4623938215666483,1.7516139109739142,0,0.3078874018534612,0.30115424741439684,10,-1.9200885576319182,2.209308647039184,40,-4.276032968450753,0.0,-3.8183382323854835,-0.45769473606526995
jena,SPREAD30,27000,40,60,0.24998860984834426,-0.015576574167238566,-0.02647934593859667,0.30476296048937435,0.3140057151883185,0.31952428249197684,0.30115424741439684,10,-1.8107736238015568,6.027646879424667,0.316168872948723,0.30115424741439684,10,-0.709783681366984,4.926656936990095,0,0.3185766209145028,0.30115424741439684,10,-1.4998232458578769,5.716696501480987,20,-1.1009899424345728,0.0,-0.3109503779436798,-0.7900395644908929
