kind,contrast,arm_a,arm_b,loss_a,loss_b,ri_percent,ci_lower,ci_upper,share_positive
primary,P over D,P,D,0.30717289447784424,0.3035494387149811,-1.1936954251018783,-2.2519436803157076,-0.26978374998398946,0.002
primary,P over S,P,S,0.30717289447784424,0.3010138273239136,-2.046107718268717,-3.725588325558009,-0.5554065304100679,0.001
secondary,P over P_BROKEN,P,P_BROKEN,0.30717289447784424,0.3070136308670044,-0.05187509440218807,-0.25658883864099163,0.1725914733908983,0.334
secondary,S over M,S,M,0.3010138273239136,0.2994617819786072,-0.5182782707869116,-1.2458232335138841,0.1906636801536048,0.078
secondary,M over H,M,H,0.2994617819786072,0.5511243343353271,45.66348039417144,41.70189660486584,48.80544928735028,1.0
secondary,P over MC,P,MC,0.30717289447784424,0.3065989017486572,-0.18721291104217908,-1.4812579471055802,0.8950942549425072,0.3675
