kind,contrast,seed,loss_a,loss_b,ri_percent
primary,P over D,2026090601,0.3065806031227112,0.305079311132431,-0.4920989183788066
primary,P over D,2026090602,0.3059125542640686,0.3008031249046325,-1.698595837744704
primary,P over D,2026090603,0.3090254366397857,0.3047658801078796,-1.3976487559559982
primary,P over S,2026090601,0.3065806031227112,0.3020622134208679,-1.4958473788138869
primary,P over S,2026090602,0.3059125542640686,0.2953392267227173,-3.580062038720719
primary,P over S,2026090603,0.3090254366397857,0.3056400418281555,-1.1076411295394384
secondary,P over P_BROKEN,2026090601,0.3065806031227112,0.307300329208374,0.2342093441672854
secondary,P over P_BROKEN,2026090602,0.3059125542640686,0.3057757616043091,-0.04473626655095665
secondary,P over P_BROKEN,2026090603,0.3090254366397857,0.3079647123813629,-0.3444304544571542
secondary,S over M,2026090601,0.3020622134208679,0.2993469834327698,-0.9070510605990312
secondary,S over M,2026090602,0.2953392267227173,0.2982535064220428,0.9771149832524224
secondary,S over M,2026090603,0.3056400418281555,0.3007848262786865,-1.6141823407576037
secondary,M over H,2026090601,0.2993469834327698,0.5522050857543945,45.79061454607628
secondary,M over H,2026090602,0.2982535064220428,0.5527582764625549,46.04268825593114
secondary,M over H,2026090603,0.3007848262786865,0.5484094619750977,45.1532391152754
secondary,P over MC,2026090601,0.3065806031227112,0.3043771982192993,-0.7239060337970338
secondary,P over MC,2026090602,0.3059125542640686,0.3083210289478302,0.781158097448204
secondary,P over MC,2026090603,0.3090254366397857,0.3070984482765198,-0.6274822859185609
