arm,seed,split,macro_scaled_crps,macro_crps_mw,mean_rmse_mw,median_mae_mw,coverage_90,width_90_mw,n_examples
H,2026090601,val,0.5347281694412231,14.62394905090332,34.31618118286133,23.900123596191406,0.8669286370277405,79.42867279052734,4899
H,2026090602,val,0.5335559844970703,14.603350639343262,34.32033157348633,23.995569229125977,0.8482342958450317,75.8448715209961,4899
H,2026090603,val,0.5344185829162598,14.614412307739258,34.378517150878906,23.79325294494629,0.84394770860672,75.16036987304688,4899
H,2026090601,test,0.5522050857543945,14.741497039794922,32.10113525390625,23.479318618774414,0.9029613137245178,84.41415405273438,1362
H,2026090602,test,0.5527582764625549,14.747982025146484,32.212955474853516,24.0412654876709,0.8909691572189331,81.78158569335938,1362
H,2026090603,test,0.5484094619750977,14.59789752960205,32.00079345703125,23.36916160583496,0.8828927874565125,80.47036743164062,1362
M,2026090601,val,0.27217209339141846,7.150724411010742,19.865814208984375,10.284475326538086,0.8024086356163025,33.69803237915039,4899
M,2026090602,val,0.2710554003715515,7.11579704284668,19.62303352355957,10.26680850982666,0.7963359951972961,34.60629653930664,4899
M,2026090603,val,0.2739903926849365,7.221818447113037,20.009130477905273,10.475337028503418,0.8208988308906555,35.66145706176758,4899
M,2026090601,test,0.2993469834327698,7.856789588928223,18.408666610717773,10.863086700439453,0.8363313674926758,36.306880950927734,1362
M,2026090602,test,0.29825350642204285,7.825944423675537,18.512203216552734,10.949922561645508,0.8411649465560913,37.12709045410156,1362
M,2026090603,test,0.3007848262786865,7.783633232116699,18.011505126953125,10.83202075958252,0.8524841070175171,38.998226165771484,1362
S,2026090601,val,0.2731749415397644,7.154543399810791,19.770570755004883,10.420609474182129,0.7956555485725403,33.74306106567383,4899
S,2026090602,val,0.2706696093082428,7.097781181335449,19.629528045654297,10.294745445251465,0.818959653377533,34.889625549316406,4899
S,2026090603,val,0.2769927382469177,7.205316543579102,19.7550048828125,10.598148345947266,0.7903483510017395,33.08433151245117,4899
S,2026090601,test,0.3020622134208679,7.7868876457214355,18.274341583251953,11.097264289855957,0.8300905227661133,35.94236373901367,1362
S,2026090602,test,0.2953392267227173,7.7256011962890625,18.200382232666016,10.923966407775879,0.8505261540412903,37.74956512451172,1362
S,2026090603,test,0.3056400418281555,7.818678379058838,18.15477752685547,11.380346298217773,0.8187714219093323,36.01307678222656,1362
D,2026090601,val,0.2714983820915222,7.120601177215576,19.75102996826172,10.337316513061523,0.8231441378593445,33.82765197753906,4899
D,2026090602,val,0.2705410420894623,7.097670555114746,19.522510528564453,10.341141700744629,0.809791088104248,35.96718215942383,4899
D,2026090603,val,0.2746317386627197,7.258542060852051,20.225141525268555,10.525670051574707,0.8237395286560059,35.3317985534668,4899
D,2026090601,test,0.30507931113243103,7.936930179595947,18.680877685546875,11.075366020202637,0.8381057381629944,36.81822967529297,1362
D,2026090602,test,0.30080312490463257,7.842402458190918,18.517850875854492,11.148356437683105,0.8392682075500488,38.174171447753906,1362
D,2026090603,test,0.30476588010787964,7.872187614440918,18.281944274902344,10.966315269470215,0.839451789855957,38.20318603515625,1362
P,2026090601,val,0.27184194326400757,7.137073040008545,19.777023315429688,10.332404136657715,0.8235694169998169,34.362083435058594,4899
P,2026090602,val,0.2724844515323639,7.138453960418701,19.614225387573242,10.27351188659668,0.8053174018859863,33.51752471923828,4899
P,2026090603,val,0.27502405643463135,7.27506160736084,20.173831939697266,10.49507999420166,0.7972205281257629,34.064510345458984,4899
P,2026090601,test,0.3065806031227112,7.9939470291137695,18.78058433532715,11.194544792175293,0.8297234177589417,36.83194351196289,1362
P,2026090602,test,0.3059125542640686,7.944921493530273,18.88585662841797,11.025399208068848,0.818710207939148,35.81749725341797,1362
P,2026090603,test,0.30902543663978577,7.9165802001953125,18.452241897583008,11.051898002624512,0.8100219964981079,36.6683235168457,1362
P_BROKEN,2026090601,val,0.27200499176979065,7.141219139099121,19.77042007446289,10.336067199707031,0.8249982595443726,34.48952865600586,4899
P_BROKEN,2026090602,val,0.2723501920700073,7.134090423583984,19.596166610717773,10.281394004821777,0.8016091585159302,33.50172805786133,4899
P_BROKEN,2026090603,val,0.27496057748794556,7.268246173858643,20.13477325439453,10.484029769897461,0.7961828708648682,34.06531524658203,4899
P_BROKEN,2026090601,test,0.307300329208374,8.000045776367188,18.741352081298828,11.193366050720215,0.8291727900505066,36.85172653198242,1362
P_BROKEN,2026090602,test,0.3057757616043091,7.959637641906738,18.935888290405273,11.010754585266113,0.8182819485664368,35.80185317993164,1362
P_BROKEN,2026090603,test,0.3079647123813629,7.889312267303467,18.280555725097656,11.022089004516602,0.8083088397979736,36.54121398925781,1362
MC,2026090601,val,0.27405300736427307,7.152465343475342,19.631227493286133,10.46286678314209,0.9179254174232483,48.2819709777832,4899
MC,2026090602,val,0.2752005457878113,7.191741943359375,19.515151977539062,10.561702728271484,0.8824760317802429,47.534908294677734,4899
MC,2026090603,val,0.27743783593177795,7.266533851623535,19.907808303833008,10.636577606201172,0.9181805849075317,49.38994598388672,4899
MC,2026090601,test,0.3043771982192993,7.9147047996521,18.566991806030273,11.156094551086426,0.9354503154754639,51.30670928955078,1362
MC,2026090602,test,0.3083210289478302,8.00830078125,19.043262481689453,11.429756164550781,0.9335535764694214,51.27941131591797,1362
MC,2026090603,test,0.3070984482765198,7.840271949768066,18.160717010498047,10.965856552124023,0.9374694228172302,53.38201904296875,1362
