arm,seed,split,lead_group,scaled_crps
H,2026090601,val,6-24h,0.49096035957336426
H,2026090601,val,30-48h,0.5536454916000366
H,2026090601,val,54-72h,0.5595785975456238
H,2026090602,val,6-24h,0.4893283247947693
H,2026090602,val,30-48h,0.5528181195259094
H,2026090602,val,54-72h,0.5585213899612427
H,2026090603,val,6-24h,0.4887475073337555
H,2026090603,val,30-48h,0.5544244050979614
H,2026090603,val,54-72h,0.5600839853286743
H,2026090601,test,6-24h,0.5170843005180359
H,2026090601,test,30-48h,0.5641447305679321
H,2026090601,test,54-72h,0.5753862857818604
H,2026090602,test,6-24h,0.5141618251800537
H,2026090602,test,30-48h,0.5652689337730408
H,2026090602,test,54-72h,0.5788440704345703
H,2026090603,test,6-24h,0.5104233622550964
H,2026090603,test,30-48h,0.5607099533081055
H,2026090603,test,54-72h,0.5740950107574463
M,2026090601,val,6-24h,0.24386358261108398
M,2026090601,val,30-48h,0.26760295033454895
M,2026090601,val,54-72h,0.3050497770309448
M,2026090602,val,6-24h,0.2418411374092102
M,2026090602,val,30-48h,0.26646584272384644
M,2026090602,val,54-72h,0.3048592507839203
M,2026090603,val,6-24h,0.24611757695674896
M,2026090603,val,30-48h,0.2688538730144501
M,2026090603,val,54-72h,0.30699971318244934
M,2026090601,test,6-24h,0.2684822678565979
M,2026090601,test,30-48h,0.2955400347709656
M,2026090601,test,54-72h,0.3340185880661011
M,2026090602,test,6-24h,0.2672162652015686
M,2026090602,test,30-48h,0.29496216773986816
M,2026090602,test,54-72h,0.33258211612701416
M,2026090603,test,6-24h,0.2708146572113037
M,2026090603,test,30-48h,0.29715749621391296
M,2026090603,test,54-72h,0.3343822658061981
S,2026090601,val,6-24h,0.24464279413223267
S,2026090601,val,30-48h,0.26798486709594727
S,2026090601,val,54-72h,0.30689719319343567
S,2026090602,val,6-24h,0.242434561252594
S,2026090602,val,30-48h,0.2653830051422119
S,2026090602,val,54-72h,0.30419135093688965
S,2026090603,val,6-24h,0.24784335494041443
S,2026090603,val,30-48h,0.2717607617378235
S,2026090603,val,54-72h,0.31137415766716003
S,2026090601,test,6-24h,0.2707765996456146
S,2026090601,test,30-48h,0.298781156539917
S,2026090601,test,54-72h,0.3366289436817169
S,2026090602,test,6-24h,0.2651466429233551
S,2026090602,test,30-48h,0.2920166850090027
S,2026090602,test,54-72h,0.32885438203811646
S,2026090603,test,6-24h,0.2721952795982361
S,2026090603,test,30-48h,0.301461786031723
S,2026090603,test,54-72h,0.34326305985450745
D,2026090601,val,6-24h,0.24302257597446442
D,2026090601,val,30-48h,0.2664685845375061
D,2026090601,val,54-72h,0.30500394105911255
D,2026090602,val,6-24h,0.241744726896286
D,2026090602,val,30-48h,0.2655984163284302
D,2026090602,val,54-72h,0.30427998304367065
D,2026090603,val,6-24h,0.24624672532081604
D,2026090603,val,30-48h,0.26938825845718384
D,2026090603,val,54-72h,0.30826011300086975
D,2026090601,test,6-24h,0.273250013589859
D,2026090601,test,30-48h,0.30217301845550537
D,2026090601,test,54-72h,0.33981484174728394
D,2026090602,test,6-24h,0.27007782459259033
D,2026090602,test,30-48h,0.2971332371234894
D,2026090602,test,54-72h,0.3351982831954956
D,2026090603,test,6-24h,0.27520114183425903
D,2026090603,test,30-48h,0.3014642596244812
D,2026090603,test,54-72h,0.33763211965560913
P,2026090601,val,6-24h,0.24401935935020447
P,2026090601,val,30-48h,0.2666984498500824
P,2026090601,val,54-72h,0.3048080503940582
P,2026090602,val,6-24h,0.24500715732574463
P,2026090602,val,30-48h,0.2670479416847229
P,2026090602,val,54-72h,0.30539822578430176
P,2026090603,val,6-24h,0.24825012683868408
P,2026090603,val,30-48h,0.26967668533325195
P,2026090603,val,54-72h,0.3071453869342804
P,2026090601,test,6-24h,0.27563756704330444
P,2026090601,test,30-48h,0.3037567734718323
P,2026090601,test,54-72h,0.3403474688529968
P,2026090602,test,6-24h,0.2734301686286926
P,2026090602,test,30-48h,0.3019515872001648
P,2026090602,test,54-72h,0.34235596656799316
P,2026090603,test,6-24h,0.27893710136413574
P,2026090603,test,30-48h,0.30630362033843994
P,2026090603,test,54-72h,0.34183549880981445
P_BROKEN,2026090601,val,6-24h,0.2441224753856659
P_BROKEN,2026090601,val,30-48h,0.2668904960155487
P_BROKEN,2026090601,val,54-72h,0.30500200390815735
P_BROKEN,2026090602,val,6-24h,0.24493393301963806
P_BROKEN,2026090602,val,30-48h,0.2669450640678406
P_BROKEN,2026090602,val,54-72h,0.30517148971557617
P_BROKEN,2026090603,val,6-24h,0.24807357788085938
P_BROKEN,2026090603,val,30-48h,0.26964443922042847
P_BROKEN,2026090603,val,54-72h,0.30716365575790405
P_BROKEN,2026090601,test,6-24h,0.27613818645477295
P_BROKEN,2026090601,test,30-48h,0.3045099377632141
P_BROKEN,2026090601,test,54-72h,0.341252863407135
P_BROKEN,2026090602,test,6-24h,0.2736392319202423
P_BROKEN,2026090602,test,30-48h,0.30190038681030273
P_BROKEN,2026090602,test,54-72h,0.3417876660823822
P_BROKEN,2026090603,test,6-24h,0.27896761894226074
P_BROKEN,2026090603,test,30-48h,0.30519723892211914
P_BROKEN,2026090603,test,54-72h,0.3397292494773865
MC,2026090601,val,6-24h,0.2461051195859909
MC,2026090601,val,30-48h,0.2688016891479492
MC,2026090601,val,54-72h,0.3072522282600403
MC,2026090602,val,6-24h,0.2464262992143631
MC,2026090602,val,30-48h,0.27006280422210693
MC,2026090602,val,54-72h,0.309112548828125
MC,2026090603,val,6-24h,0.25025326013565063
MC,2026090603,val,30-48h,0.2718971371650696
MC,2026090603,val,54-72h,0.31016311049461365
MC,2026090601,test,6-24h,0.27362048625946045
MC,2026090601,test,30-48h,0.3008398115634918
MC,2026090601,test,54-72h,0.33867135643959045
MC,2026090602,test,6-24h,0.2759016156196594
MC,2026090602,test,30-48h,0.30548369884490967
MC,2026090602,test,54-72h,0.34357771277427673
MC,2026090603,test,6-24h,0.2769647240638733
MC,2026090603,test,30-48h,0.30299583077430725
MC,2026090603,test,54-72h,0.34133484959602356
