condition,seed,split,n_paths,length,mean,variance,lag1_acf,min,max,freq_value_-1,freq_value_0,freq_value_1
ar_rho_neg06,36000,train,64,512,0.0034728519250008766,1.0145396046705457,-0.6070833040301424,-3.811061447261702,4.023466927648648,,,
ar_rho_neg06,36000,val,32,512,0.002127572047726284,1.0051526402106314,-0.599097833777107,-3.571601331459865,3.835924603062363,,,
ar_rho_neg06,36000,devtest,128,512,-0.004548359295321039,1.0000013862664452,-0.6032229230940185,-4.188379410874882,4.1899276403488255,,,
ar_rho_neg06,36001,train,64,512,-0.0012231625849851687,0.9904867374877154,-0.5944122123969131,-3.7438757147666966,3.7530788580166465,,,
ar_rho_neg06,36001,val,32,512,0.0007598395462853702,1.0278199568788084,-0.612786322333149,-4.667262968690129,4.002036504427939,,,
ar_rho_neg06,36001,devtest,128,512,0.002671982752037372,0.9978625378591774,-0.6011295111761881,-3.828571186615317,4.599254219623292,,,
ar_rho_zero,36000,train,64,512,-0.004248841911231431,1.0042178261719312,0.0029223988348510248,-4.426432810799403,4.454870117365677,,,
ar_rho_zero,36000,val,32,512,0.021411972646109056,0.9959014682396423,-0.0011636317664423521,-4.1605727232039476,3.840076692359242,,,
ar_rho_zero,36000,devtest,128,512,-0.0030759829999475762,0.9841089340726864,0.005447624978327249,-4.637358537194373,3.9264568674553573,,,
ar_rho_zero,36001,train,64,512,-0.005984490840915754,1.0124897722674677,-0.010849929174407134,-3.898758022313098,4.275292590979492,,,
ar_rho_zero,36001,val,32,512,0.003939700862557299,0.9945757631987794,-0.015316486792655098,-3.989158890288519,4.252307112362946,,,
ar_rho_zero,36001,devtest,128,512,0.001152701169700805,1.005871378512388,0.0038418135783470863,-4.195825466461955,4.017030771698782,,,
ar_rho_pos06,36000,train,64,512,-0.005769272188414744,1.0026808001519587,0.6065196740232063,-4.019305239143778,4.26830397041448,,,
ar_rho_pos06,36000,val,32,512,0.028449946237277306,0.9840221821349823,0.594244685258253,-3.7745175035896184,3.8400322407812904,,,
ar_rho_pos06,36000,devtest,128,512,-0.0011697004182740643,0.9777568954430793,0.589664846140637,-4.067315268718744,4.154656706701753,,,
ar_rho_pos06,36001,train,64,512,0.02166594775670203,1.037563040853708,0.6083577698779653,-4.127453165038126,3.9844523672939527,,,
ar_rho_pos06,36001,val,32,512,0.02065621727037166,0.9878255287914837,0.5924845216238428,-4.13728253928409,3.7564227841475244,,,
ar_rho_pos06,36001,devtest,128,512,-0.011112320513039455,0.9928990943966187,0.5924734808972208,-4.048234327716463,4.256146509401394,,,
markov_forward,36000,train,64,512,0.002288818359375,0.6679940288886428,-0.19731198536038067,-1.0,1.0,0.332855224609375,0.332000732421875,0.33514404296875
markov_forward,36000,val,32,512,0.00567626953125,0.6687299869954586,-0.1969919569486075,-1.0,1.0,0.33154296875,0.33123779296875,0.33721923828125
markov_forward,36000,devtest,128,512,-0.0024566650390625,0.6662384716328233,-0.20285867534057514,-1.0,1.0,0.3343505859375,0.3337554931640625,0.3318939208984375
markov_forward,36001,train,64,512,0.00115966796875,0.6664415262639523,-0.1985792317610869,-1.0,1.0,0.3326416015625,0.33355712890625,0.33380126953125
markov_forward,36001,val,32,512,0.00323486328125,0.6658220551908016,-0.19960634192001805,-1.0,1.0,0.331298828125,0.33416748046875,0.33453369140625
markov_forward,36001,devtest,128,512,0.0002899169921875,0.6680449598934501,-0.20107117660186966,-1.0,1.0,0.3338775634765625,0.3319549560546875,0.33416748046875
markov_reverse,36000,train,64,512,0.0001220703125,0.6671142429113388,-0.19600386947001758,-1.0,1.0,0.33349609375,0.3328857421875,0.3336181640625
markov_reverse,36000,val,32,512,0.00555419921875,0.6627499125897884,-0.20855886042440272,-1.0,1.0,0.32861328125,0.33721923828125,0.33416748046875
markov_reverse,36000,devtest,128,512,-0.0010528564453125,0.6673725487198681,-0.20038461585320663,-1.0,1.0,0.3342132568359375,0.3326263427734375,0.333160400390625
markov_reverse,36001,train,64,512,-0.001312255859375,0.6642133658751845,-0.19969561555454093,-1.0,1.0,0.332763671875,0.335784912109375,0.331451416015625
markov_reverse,36001,val,32,512,-0.00653076171875,0.6598084233701229,-0.2043719496056805,-1.0,1.0,0.33319091796875,0.34014892578125,0.32666015625
markov_reverse,36001,devtest,128,512,-0.0002288818359375,0.6638946009334177,-0.19931399364343702,-1.0,1.0,0.332061767578125,0.3361053466796875,0.3318328857421875
markov_balanced,36000,train,64,512,0.0009765625,0.6664419174194336,-0.19419241938933846,-1.0,1.0,0.332733154296875,0.33355712890625,0.333709716796875
markov_balanced,36000,val,32,512,0.00897216796875,0.6666065119206905,-0.19325408504504135,-1.0,1.0,0.328857421875,0.33331298828125,0.33782958984375
markov_balanced,36000,devtest,128,512,-0.0003662109375,0.6669615358114243,-0.20703269850031789,-1.0,1.0,0.3336639404296875,0.333038330078125,0.3332977294921875
markov_balanced,36001,train,64,512,0.00677490234375,0.6660917960107327,-0.20264381565565975,-1.0,1.0,0.329681396484375,0.3338623046875,0.336456298828125
markov_balanced,36001,val,32,512,-0.00909423828125,0.6691677831113338,-0.21261449580005098,-1.0,1.0,0.33917236328125,0.33074951171875,0.330078125
markov_balanced,36001,devtest,128,512,0.00286865234375,0.6667703352868557,-0.20366856580220674,-1.0,1.0,0.3319549560546875,0.333221435546875,0.3348236083984375
