condition,seed,split,predictor,mse,normalized_mse_train_var,oracle_population_mse,population_mse,population_excess_over_oracle_pct,train_examples_origins,train_transitions_full
ar_rho_neg06,36000,val,train_mean,0.9561841624185685,0.9045148443278285,0.64,,,1024,32704
ar_rho_neg06,36000,val,lag1_linear,0.5975882959140648,0.5652964206012726,0.64,0.6403930041474236,0.06140689803493249,1024,32704
ar_rho_neg06,36000,val,lag1_quadratic,0.5977651340372618,0.5654637029238224,0.64,0.6404894230846578,0.07647235697778587,1024,32704
ar_rho_neg06,36000,devtest,train_mean,0.9908061244370081,0.9372659395836024,0.64,,,1024,32704
ar_rho_neg06,36000,devtest,lag1_linear,0.6400584724786309,0.6054716364788367,0.64,0.6403930041474236,0.06140689803493249,1024,32704
ar_rho_neg06,36000,devtest,lag1_quadratic,0.6397109983704523,0.6051429388270454,0.64,0.6404894230846578,0.07647235697778587,1024,32704
ar_rho_neg06,36001,val,train_mean,1.0056036183777741,1.009958096670178,0.64,,,1024,32704
ar_rho_neg06,36001,val,lag1_linear,0.5890102371338959,0.5915607771724657,0.64,0.6419894360955377,0.3108493899277587,1024,32704
ar_rho_neg06,36001,val,lag1_quadratic,0.5897305450164585,0.5922842041418943,0.64,0.643544143287748,0.5537723887106161,1024,32704
ar_rho_neg06,36001,devtest,train_mean,1.0260143551003802,1.030457216239033,0.64,,,1024,32704
ar_rho_neg06,36001,devtest,lag1_linear,0.6583458246660845,0.6611966025968836,0.64,0.6419894360955377,0.3108493899277587,1024,32704
ar_rho_neg06,36001,devtest,lag1_quadratic,0.6603451406919716,0.6632045760878745,0.64,0.643544143287748,0.5537723887106161,1024,32704
ar_rho_zero,36000,val,train_mean,1.0130958149559242,1.0033936843628664,1.0,,,1024,32704
ar_rho_zero,36000,val,lag1_linear,1.0219040968601325,1.0121176118555044,1.0,1.0040727007366366,0.407270073663657,1024,32704
ar_rho_zero,36000,val,lag1_quadratic,1.0204022065571898,1.010630104729,1.0,1.0048019977610683,0.4801997761068266,1024,32704
