dataset,arm,model_seed,n_parameters,wall_seconds,best_update,best_val_primary
jena,R,2026090601,407041,85.34239292144775,4500,0.17602762579917908
jena,M,2026090601,411585,33.753244400024414,4500,0.18042294681072235
jena,O,2026090601,411585,35.35036540031433,4500,0.18071228762467703
jena,R,2026090602,407041,85.52901697158813,2500,0.17938774327437082
jena,M,2026090602,411585,35.449259757995605,4000,0.18383614470561346
jena,O,2026090602,411585,33.08859729766846,4000,0.18396753817796707
uci,R,2026090601,407041,85.99181389808655,2500,0.4710746620409665
uci,M,2026090601,411585,33.776912689208984,3000,0.4675163678237197
uci,O,2026090601,411585,36.34553027153015,3000,0.46705093814898996
uci,R,2026090602,407041,86.21293067932129,2000,0.46789436804429263
uci,M,2026090602,411585,34.13556241989136,3000,0.46881375097818956
uci,O,2026090602,411585,34.06799268722534,3000,0.4685111372677121
