arm,dataset,model_seed,tier,lambda,schedule_sha,n_parameters,best_update,best_val_primary,final_val_primary,wall_seconds,n_curve_points,best_is_first,best_is_last,last_interval_improving
R,jena,2026090601,FULL,100.0,b778ad300c3193b43e1f12d358621392bde1be5151ecb1d1c4fb53a892cc03ff,407041,4500,0.17602762579917908,0.179077776769797,85.34239292144775,10,False,False,False
M,jena,2026090601,FULL,,b778ad300c3193b43e1f12d358621392bde1be5151ecb1d1c4fb53a892cc03ff,411585,4500,0.18042294681072235,0.18202973157167435,33.753244400024414,10,False,False,False
O,jena,2026090601,FULL,,b778ad300c3193b43e1f12d358621392bde1be5151ecb1d1c4fb53a892cc03ff,411585,4500,0.18071228762467703,0.18232328444719315,35.35036540031433,10,False,False,False
R,jena,2026090602,FULL,100.0,9d3c7894929f0529e11469fbdfa1f79617c16f8c44680e0a88f9edecb814177b,407041,2500,0.17938774327437082,0.18222922086715698,85.52901697158813,10,False,False,False
M,jena,2026090602,FULL,,9d3c7894929f0529e11469fbdfa1f79617c16f8c44680e0a88f9edecb814177b,411585,4000,0.18383614470561346,0.18432732174793878,35.449259757995605,10,False,False,False
O,jena,2026090602,FULL,,9d3c7894929f0529e11469fbdfa1f79617c16f8c44680e0a88f9edecb814177b,411585,4000,0.18396753817796707,0.18474258730808893,33.08859729766846,10,False,False,False
R,uci,2026090601,FULL,100.0,13e5ece6111274019113b37b089c98290ae45dd3faa4a62e8a1b40fe7f1cb2be,407041,2500,0.4710746620409665,0.4754080688225404,85.99181389808655,10,False,False,False
M,uci,2026090601,FULL,,13e5ece6111274019113b37b089c98290ae45dd3faa4a62e8a1b40fe7f1cb2be,411585,3000,0.4675163678237197,0.4721866846463759,33.776912689208984,10,False,False,False
O,uci,2026090601,FULL,,13e5ece6111274019113b37b089c98290ae45dd3faa4a62e8a1b40fe7f1cb2be,411585,3000,0.46705093814898996,0.47150762381065286,36.34553027153015,10,False,False,False
R,uci,2026090602,FULL,100.0,d2c91fada98ec792e70159eb3b2869681159272c35668730ae67e1a8d21b4cb7,407041,2000,0.46789436804429263,0.4753104595623854,86.21293067932129,10,False,False,False
M,uci,2026090602,FULL,,d2c91fada98ec792e70159eb3b2869681159272c35668730ae67e1a8d21b4cb7,411585,3000,0.46881375097818956,0.4717374444955785,34.13556241989136,10,False,False,False
O,uci,2026090602,FULL,,d2c91fada98ec792e70159eb3b2869681159272c35668730ae67e1a8d21b4cb7,411585,3000,0.4685111372677121,0.4708086469852894,34.06799268722534,10,False,False,False
