dataset,operation,r,role,arm,primary
jena,END_BIN,2,SEEN,M,0.1488422373886678
jena,END_BIN,2,SEEN,O,0.1490397690018632
jena,END_BIN,2,SEEN,R,0.14758345133323464
jena,END_BIN,3,UNSEEN_INTERPOLATION,M,0.14914004093232977
jena,END_BIN,3,UNSEEN_INTERPOLATION,O,0.14979217436279876
jena,END_BIN,3,UNSEEN_INTERPOLATION,R,0.14777292564597544
jena,END_BIN,4,SEEN,M,0.14818663782812677
jena,END_BIN,4,SEEN,O,0.1484898830523246
jena,END_BIN,4,SEEN,R,0.14748636433719334
jena,END_BIN,6,UNSEEN_INTERPOLATION,M,0.14868964063551393
jena,END_BIN,6,UNSEEN_INTERPOLATION,O,0.14964165954180653
jena,END_BIN,6,UNSEEN_INTERPOLATION,R,0.14773836243269237
jena,END_BIN,8,SEEN,M,0.14742751292549225
jena,END_BIN,8,SEEN,O,0.14822406800571095
jena,END_BIN,8,SEEN,R,0.14639172021417046
jena,END_BIN,12,UNSEEN_EXTRAPOLATION,M,0.15130715878988185
jena,END_BIN,12,UNSEEN_EXTRAPOLATION,O,0.1520296177414063
jena,END_BIN,12,UNSEEN_EXTRAPOLATION,R,0.1469654404517476
jena,INTERVAL_MEAN,2,SEEN,M,0.1490821207363785
jena,INTERVAL_MEAN,2,SEEN,O,0.14922647811065093
jena,INTERVAL_MEAN,2,SEEN,R,0.14882460197598268
jena,INTERVAL_MEAN,3,UNSEEN_INTERPOLATION,M,0.15154464788796623
jena,INTERVAL_MEAN,3,UNSEEN_INTERPOLATION,O,0.15012478776790067
jena,INTERVAL_MEAN,3,UNSEEN_INTERPOLATION,R,0.15013224716507095
jena,INTERVAL_MEAN,4,SEEN,M,0.15156898352932316
jena,INTERVAL_MEAN,4,SEEN,O,0.15249439940287587
jena,INTERVAL_MEAN,4,SEEN,R,0.1512072373678886
jena,INTERVAL_MEAN,6,UNSEEN_INTERPOLATION,M,0.1560758358842477
jena,INTERVAL_MEAN,6,UNSEEN_INTERPOLATION,O,0.15672440495920945
jena,INTERVAL_MEAN,6,UNSEEN_INTERPOLATION,R,0.1533933835415866
jena,INTERVAL_MEAN,8,SEEN,M,0.15819715659773692
jena,INTERVAL_MEAN,8,SEEN,O,0.15908887861345408
jena,INTERVAL_MEAN,8,SEEN,R,0.15601830314308024
jena,INTERVAL_MEAN,12,UNSEEN_EXTRAPOLATION,M,0.18136568575967868
jena,INTERVAL_MEAN,12,UNSEEN_EXTRAPOLATION,O,0.16787911734750108
jena,INTERVAL_MEAN,12,UNSEEN_EXTRAPOLATION,R,0.1624207963468894
uci,END_BIN,2,SEEN,M,0.4390396249894066
uci,END_BIN,2,SEEN,O,0.43854488159463084
uci,END_BIN,2,SEEN,R,0.4490512556402917
uci,END_BIN,3,UNSEEN_INTERPOLATION,M,0.4405572446645162
uci,END_BIN,3,UNSEEN_INTERPOLATION,O,0.44001407703683515
uci,END_BIN,3,UNSEEN_INTERPOLATION,R,0.4517777080392807
uci,END_BIN,4,SEEN,M,0.4426798597525169
uci,END_BIN,4,SEEN,O,0.44247924038392517
uci,END_BIN,4,SEEN,R,0.4551360565121636
uci,END_BIN,6,UNSEEN_INTERPOLATION,M,0.4540692645543386
uci,END_BIN,6,UNSEEN_INTERPOLATION,O,0.45362887221740494
uci,END_BIN,6,UNSEEN_INTERPOLATION,R,0.4677299561151877
uci,END_BIN,8,SEEN,M,0.45738862542129993
uci,END_BIN,8,SEEN,O,0.4568564728273969
uci,END_BIN,8,SEEN,R,0.47018422503962376
uci,END_BIN,12,UNSEEN_EXTRAPOLATION,M,0.47283978701762813
uci,END_BIN,12,UNSEEN_EXTRAPOLATION,O,0.47260786755724965
uci,END_BIN,12,UNSEEN_EXTRAPOLATION,R,0.481723160427192
uci,INTERVAL_MEAN,2,SEEN,M,0.4422686406962523
uci,INTERVAL_MEAN,2,SEEN,O,0.4425939352422276
uci,INTERVAL_MEAN,2,SEEN,R,0.45183923320415253
uci,INTERVAL_MEAN,3,UNSEEN_INTERPOLATION,M,0.44415210300124125
uci,INTERVAL_MEAN,3,UNSEEN_INTERPOLATION,O,0.44410996861708163
uci,INTERVAL_MEAN,3,UNSEEN_INTERPOLATION,R,0.45447270744102414
uci,INTERVAL_MEAN,4,SEEN,M,0.44821939639178154
uci,INTERVAL_MEAN,4,SEEN,O,0.4482489774989119
uci,INTERVAL_MEAN,4,SEEN,R,0.45673768099063117
uci,INTERVAL_MEAN,6,UNSEEN_INTERPOLATION,M,0.4538031492654425
uci,INTERVAL_MEAN,6,UNSEEN_INTERPOLATION,O,0.45408983077470205
uci,INTERVAL_MEAN,6,UNSEEN_INTERPOLATION,R,0.4610554933626862
uci,INTERVAL_MEAN,8,SEEN,M,0.45798459515931583
uci,INTERVAL_MEAN,8,SEEN,O,0.45901983504059224
uci,INTERVAL_MEAN,8,SEEN,R,0.4653579922261157
uci,INTERVAL_MEAN,12,UNSEEN_EXTRAPOLATION,M,0.46732813742828094
uci,INTERVAL_MEAN,12,UNSEEN_EXTRAPOLATION,O,0.4671794136791396
uci,INTERVAL_MEAN,12,UNSEEN_EXTRAPOLATION,R,0.4712692106114539
