dataset,horizon,gain_pct_f0
bike,1,-0.2446815932976162
bike,2,1.2287390458603433
bike,3,1.9331077121752087
bike,4,2.464121636710837
bike,5,2.1534361954931196
bike,6,1.1339326274821842
bike,7,0.6735604864625351
bike,8,1.0320174785388951
bike,9,1.0068123618679685
bike,10,3.562739425649003
bike,11,2.682686478202216
bike,12,4.644222245362542
bike,13,6.980990637130098
bike,14,6.409336431608653
bike,15,6.7870661021773815
bike,16,7.179765126062317
bike,17,2.2843631457942197
bike,18,2.004976112421411
bike,19,2.651087155909749
bike,20,0.9115787463393624
bike,21,5.959329790659751
bike,22,3.8560562177714033
bike,23,2.54730816042071
bike,24,2.1420507280813217
bike,25,1.0037315502238997
bike,26,2.895363075801591
bike,27,3.027577971319607
bike,28,3.1737201705624414
bike,29,3.830465055828992
bike,30,1.5934790360340747
bike,31,1.6311855004608622
bike,32,3.8803786006221017
bike,33,6.5153744338305755
bike,34,4.9529034495198845
bike,35,4.616815753520363
bike,36,6.934160456753324
bike,37,8.379685090660963
bike,38,10.35483570004593
bike,39,11.351273451508924
bike,40,11.498897997128344
bike,41,7.064837421445327
bike,42,7.827145806370255
bike,43,5.71900758439535
bike,44,3.9626991259988684
bike,45,1.9551941019088308
bike,46,1.7370436771268976
bike,47,1.5890550527454628
bike,48,2.28600700157774
household,1,0.7486986364131194
household,2,0.3722544533149776
household,3,1.2843306821418594
household,4,0.5828692244258564
household,5,0.14299395465623133
household,6,-0.24446897428090844
household,7,1.8720822414036151
household,8,1.6858099220635334
household,9,-0.1328620253249218
household,10,-0.5128532455962185
household,11,0.17720775436683125
household,12,2.0285664086343274
household,13,4.417431962907032
household,14,5.679586796998597
household,15,0.19677184039050646
household,16,0.1734219897724234
household,17,-4.98451276550167
household,18,-2.1426834074102974
household,19,-2.3411985287856667
household,20,-7.548575667539957
household,21,-1.022887221068018
household,22,2.8385918683272715
household,23,1.0256857045254728
household,24,0.8872162966524719
household,25,1.8989504106260973
household,26,0.7232355891320971
household,27,0.6684644208817964
household,28,0.30662109677840427
household,29,0.19012820287601614
household,30,0.3353667520269571
household,31,1.8123385970508328
household,32,3.4333865060408657
household,33,0.7227019058335281
household,34,0.43703798693408025
household,35,-0.5573256949916648
household,36,1.4135201200108245
household,37,2.8100394363875436
household,38,4.253489216042458
household,39,-0.8249508128832038
household,40,-2.8273932945490707
household,41,-4.379513828486827
household,42,-1.0981131201263687
household,43,-3.1737871025283817
household,44,-5.9664827670849565
household,45,-0.4464683140994542
household,46,1.8520719753667616
household,47,-1.664592856696275
household,48,0.704806690447596
