key,dataset,condition,seed,family,recipe,initial_V,best_V,best_step,steps,trajectory_seconds,seconds,gradient_norm_min,gradient_norm_max,clipped_steps,forecasted
bmra/FULL90/HEAD/r0/s29000,bmra,FULL90,29000,HEAD,0,0.3906323829908134,0.38072547723560535,180,180,9.947629200003576,12.45903769999859,0.24193698167800903,1.2676727771759033,5,False
bmra/FULL90/HEAD/r1/s29000,bmra,FULL90,29000,HEAD,1,0.3906323829908134,0.37085099628200435,180,180,10.448682499991264,12.508145600004354,0.2669561803340912,1.4723100662231445,11,False
bmra/FULL90/HEAD/r2/s29000,bmra,FULL90,29000,HEAD,2,0.3906323829908134,0.3664073676130163,120,180,10.960917299991706,13.155775899998844,0.25295567512512207,2.068727731704712,39,True
bmra/FULL90/HEAD/r3/s29000,bmra,FULL90,29000,HEAD,3,0.3906323829908134,0.367146156545316,15,180,10.381436199997552,12.4497080000001,0.2797054946422577,3.5359137058258057,91,False
bmra/FULL90/WIDE/r0/s29000,bmra,FULL90,29000,WIDE,0,0.3906323829908134,0.3757455608472895,180,180,10.314482400004636,12.364054899997427,0.426156222820282,1.8781276941299438,25,False
bmra/FULL90/WIDE/r1/s29000,bmra,FULL90,29000,WIDE,1,0.3906323829908134,0.36992953420970626,120,180,9.707587700002478,11.740353299988783,0.4122885763645172,2.0585293769836426,38,False
bmra/FULL90/WIDE/r2/s29000,bmra,FULL90,29000,WIDE,2,0.3906323829908134,0.368998372085915,120,180,9.811441300000297,11.814106500009075,0.4449135363101959,2.8662450313568115,76,False
bmra/FULL90/WIDE/r3/s29000,bmra,FULL90,29000,WIDE,3,0.3906323829908134,0.36459624459784834,15,180,10.353224000005866,12.432536699998309,0.4416179955005646,4.364064693450928,111,True
bmra/FULL90/JOINT/r0/s29000,bmra,FULL90,29000,JOINT,0,0.3906323829908134,0.37533831541710283,180,180,32.957970199990086,35.42892479999864,1.8328728675842285,7.129197120666504,180,False
bmra/FULL90/JOINT/r1/s29000,bmra,FULL90,29000,JOINT,1,0.3906323829908134,0.3783419993752881,120,180,32.99718989999383,35.315956000005826,1.8616185188293457,10.060789108276367,180,False
