key,dataset,condition,seed,family,recipe,initial_V,best_V,best_step,steps,trajectory_seconds,seconds,gradient_norm_min,gradient_norm_max,clipped_steps,forecasted
bmra/FULL90/JOINT/r2/s29000,bmra,FULL90,29000,JOINT,2,0.3906323829908134,0.3764610980371048,30,180,30.655907000007574,32.92153059999691,1.8387161493301392,8.74614429473877,180,False
bmra/FULL90/JOINT/r3/s29000,bmra,FULL90,29000,JOINT,3,0.3906323829908134,0.3712761095449335,15,180,32.60153519999585,34.89042569999583,1.5881274938583374,14.480087280273438,180,True
bmra/SPREAD30/HEAD/r0/s29000,bmra,SPREAD30,29000,HEAD,0,0.3906323829908134,0.38868408497727674,60,60,3.9027682000014465,6.046083400011412,0.25627920031547546,0.9878867268562317,0,False
bmra/SPREAD30/HEAD/r1/s29000,bmra,SPREAD30,29000,HEAD,1,0.3906323829908134,0.3836159423593048,60,60,4.356053499999689,6.440936700004386,0.26508623361587524,1.0984058380126953,1,False
bmra/SPREAD30/HEAD/r2/s29000,bmra,SPREAD30,29000,HEAD,2,0.3906323829908134,0.3744067246822881,40,60,4.448268899999675,6.511770900004194,0.2834995985031128,1.4505733251571655,7,False
bmra/SPREAD30/HEAD/r3/s29000,bmra,SPREAD30,29000,HEAD,3,0.3906323829908134,0.36324095952479196,40,60,4.508747899992159,6.523576300009154,0.2894098162651062,1.9195092916488647,20,True
bmra/SPREAD30/WIDE/r0/s29000,bmra,SPREAD30,29000,WIDE,0,0.3906323829908134,0.3862258534102645,60,60,4.371938800002681,6.389512299996568,0.4313439726829529,1.7058700323104858,8,False
bmra/SPREAD30/WIDE/r1/s29000,bmra,SPREAD30,29000,WIDE,1,0.3906323829908134,0.37978712880005305,60,60,3.966917400000966,6.016307000012603,0.43785056471824646,1.8178846836090088,12,False
bmra/SPREAD30/WIDE/r2/s29000,bmra,SPREAD30,29000,WIDE,2,0.3906323829908134,0.3705738512202809,40,60,4.475759900000412,6.507177300009062,0.4943861663341522,1.9645699262619019,19,False
bmra/SPREAD30/WIDE/r3/s29000,bmra,SPREAD30,29000,WIDE,3,0.3906323829908134,0.35829493544549096,40,60,4.392572099997778,6.453208299994003,0.5021959543228149,2.759209632873535,35,True
bmra/SPREAD30/JOINT/r0/s29000,bmra,SPREAD30,29000,JOINT,0,0.3906323829908134,0.3873802875543771,60,60,12.455857499997364,14.749643800008926,2.263861656188965,6.4977898597717285,60,False
bmra/SPREAD30/JOINT/r1/s29000,bmra,SPREAD30,29000,JOINT,1,0.3906323829908134,0.3844542467684181,40,60,12.178293000004487,14.518887900005211,2.3273370265960693,6.226677417755127,60,False
bmra/SPREAD30/JOINT/r2/s29000,bmra,SPREAD30,29000,JOINT,2,0.3906323829908134,0.37790563045071557,40,60,12.22161180000694,14.503413900005398,1.9818195104599,5.742701530456543,60,True
bmra/SPREAD30/JOINT/r3/s29000,bmra,SPREAD30,29000,JOINT,3,0.3906323829908134,0.37975321637225545,10,60,12.402894600003492,14.731907699999283,2.1568710803985596,8.193670272827148,60,False
jena/FULL90/HEAD/r0/s29000,jena,FULL90,29000,HEAD,0,0.4065738872845076,0.4044628904855727,180,180,9.372055900006671,11.984165199988638,0.20320455729961395,0.7470964789390564,0,False
jena/FULL90/HEAD/r1/s29000,jena,FULL90,29000,HEAD,1,0.4065738872845076,0.40260135866885594,180,180,9.526492200006032,11.71041040000273,0.20848046243190765,0.9022942781448364,0,False
jena/FULL90/HEAD/r2/s29000,jena,FULL90,29000,HEAD,2,0.4065738872845076,0.4002583172379319,180,180,10.215975800005253,12.216680400000769,0.2355087548494339,1.160457968711853,3,False
jena/FULL90/HEAD/r3/s29000,jena,FULL90,29000,HEAD,3,0.4065738872845076,0.39652487816139304,120,180,9.976063800000702,12.033330799997202,0.23767444491386414,2.053619384765625,46,True
jena/FULL90/WIDE/r0/s29000,jena,FULL90,29000,WIDE,0,0.4065738872845076,0.4032712490632927,180,180,9.371327599990764,11.361166699993191,0.34779176115989685,1.1567766666412354,2,False
jena/FULL90/WIDE/r1/s29000,jena,FULL90,29000,WIDE,1,0.4065738872845076,0.4014752674320931,180,180,10.373928599990904,12.40091750001011,0.362131804227829,1.253614902496338,4,False
jena/FULL90/WIDE/r2/s29000,jena,FULL90,29000,WIDE,2,0.4065738872845076,0.3997459376140754,180,180,9.29309110000031,11.358408899992355,0.37117084860801697,1.3437812328338623,25,False
jena/FULL90/WIDE/r3/s29000,jena,FULL90,29000,WIDE,3,0.4065738872845076,0.3986524944473666,15,180,10.106666200008476,12.155104599994957,0.34020286798477173,2.6576614379882812,86,True
jena/FULL90/JOINT/r0/s29000,jena,FULL90,29000,JOINT,0,0.4065738872845076,0.39568406849925536,180,180,32.80527269998856,35.11995799999568,1.4828771352767944,5.11048698425293,180,False
jena/FULL90/JOINT/r1/s29000,jena,FULL90,29000,JOINT,1,0.4065738872845076,0.3908818608906518,60,180,29.857191299990518,32.126310199993895,1.2430931329727173,6.031418800354004,180,False
jena/FULL90/JOINT/r2/s29000,jena,FULL90,29000,JOINT,2,0.4065738872845076,0.39134081908154184,60,180,32.400757800001884,34.72182099999918,1.203798770904541,6.048417091369629,180,False
jena/FULL90/JOINT/r3/s29000,jena,FULL90,29000,JOINT,3,0.4065738872845076,0.3884205346014349,30,180,29.793354699999327,32.1073655999935,1.432102084159851,12.8657865524292,180,True
jena/SPREAD30/HEAD/r0/s29000,jena,SPREAD30,29000,HEAD,0,0.4065738872845076,0.40550538067901887,60,60,4.46793759999855,6.676571100004367,0.20581987500190735,0.5793144702911377,0,False
jena/SPREAD30/HEAD/r1/s29000,jena,SPREAD30,29000,HEAD,1,0.4065738872845076,0.40362109465387697,60,60,4.362254600011511,6.356762700001127,0.21709008514881134,0.6516619324684143,0,True
jena/SPREAD30/HEAD/r2/s29000,jena,SPREAD30,29000,HEAD,2,0.4065738872845076,0.4043685701168556,40,60,3.8709054999926593,5.8425966000068,0.25463709235191345,0.8223177194595337,0,False
jena/SPREAD30/HEAD/r3/s29000,jena,SPREAD30,29000,HEAD,3,0.4065738872845076,0.40551674858658215,10,60,4.055522700000438,6.042967699992005,0.2818976044654846,0.9817498922348022,0,False
jena/SPREAD30/WIDE/r0/s29000,jena,SPREAD30,29000,WIDE,0,0.4065738872845076,0.4043208495130127,60,60,4.425848800005042,6.453204700010247,0.34315070509910583,0.9861838817596436,0,False
jena/SPREAD30/WIDE/r1/s29000,jena,SPREAD30,29000,WIDE,1,0.4065738872845076,0.40341950781650693,60,60,4.28763560000516,6.362761700002011,0.35976967215538025,1.0140665769577026,1,True
jena/SPREAD30/WIDE/r2/s29000,jena,SPREAD30,29000,WIDE,2,0.4065738872845076,0.40454099202410054,20,60,4.309876300001633,6.346947800004273,0.38182899355888367,1.1112388372421265,1,False
jena/SPREAD30/WIDE/r3/s29000,jena,SPREAD30,29000,WIDE,3,0.4065738872845076,0.4065738872845076,0,60,4.616221400006907,6.676999299990712,0.38137704133987427,1.3706974983215332,4,False
jena/SPREAD30/JOINT/r0/s29000,jena,SPREAD30,29000,JOINT,0,0.4065738872845076,0.4030069430173149,60,60,11.339617599995108,13.641676500003086,1.82526433467865,5.083047866821289,60,False
jena/SPREAD30/JOINT/r1/s29000,jena,SPREAD30,29000,JOINT,1,0.4065738872845076,0.40024152078311104,60,60,11.284175299995695,13.608602599997539,1.8421717882156372,4.730833053588867,60,True
jena/SPREAD30/JOINT/r2/s29000,jena,SPREAD30,29000,JOINT,2,0.4065738872845076,0.40138249380027,60,60,11.28559949999908,13.534788799996022,1.7589750289916992,4.24330472946167,60,False
jena/SPREAD30/JOINT/r3/s29000,jena,SPREAD30,29000,JOINT,3,0.4065738872845076,0.40417128971058097,20,60,11.144456299996818,13.449279799999204,1.7399171590805054,4.520297050476074,60,False
bmra/FULL90/HEAD/r0/s29001,bmra,FULL90,29001,HEAD,0,0.3906323829908134,0.3804809212696474,180,180,9.660153400007403,12.093904599998496,0.20913492143154144,1.2183607816696167,2,False
bmra/FULL90/HEAD/r1/s29001,bmra,FULL90,29001,HEAD,1,0.3906323829908134,0.3733321312402209,180,180,9.489627899994957,11.543061500007752,0.2426454871892929,1.415397047996521,11,False
bmra/FULL90/HEAD/r2/s29001,bmra,FULL90,29001,HEAD,2,0.3906323829908134,0.3649484548292651,60,180,9.292292400001315,11.254773100008606,0.2567403316497803,2.4276227951049805,31,True
bmra/FULL90/HEAD/r3/s29001,bmra,FULL90,29001,HEAD,3,0.3906323829908134,0.365100066041411,60,180,9.43131510000967,11.39331040000252,0.24406500160694122,3.336872100830078,76,False
bmra/FULL90/WIDE/r0/s29001,bmra,FULL90,29001,WIDE,0,0.3906323829908134,0.3757190669770404,180,180,10.376946999997017,12.431422500012559,0.35604554414749146,1.6873894929885864,23,False
bmra/FULL90/WIDE/r1/s29001,bmra,FULL90,29001,WIDE,1,0.3906323829908134,0.37203388614856026,120,180,9.939134699990973,11.94105129998934,0.389794260263443,1.8929424285888672,38,False
bmra/FULL90/WIDE/r2/s29001,bmra,FULL90,29001,WIDE,2,0.3906323829908134,0.36267577426539627,60,180,9.661254399994505,11.669188300002133,0.38130223751068115,3.0483057498931885,67,True
bmra/FULL90/WIDE/r3/s29001,bmra,FULL90,29001,WIDE,3,0.3906323829908134,0.36707785273003,30,180,10.204329200001666,12.203770000007353,0.3565591275691986,3.863823413848877,112,False
bmra/FULL90/JOINT/r0/s29001,bmra,FULL90,29001,JOINT,0,0.3906323829908134,0.3770530512919543,180,180,32.233800100002554,34.516152399999555,1.4538377523422241,6.820969104766846,180,False
bmra/FULL90/JOINT/r1/s29001,bmra,FULL90,29001,JOINT,1,0.3906323829908134,0.3723430593886575,60,180,29.843645299988566,32.10244699999748,1.6515568494796753,8.4221830368042,180,False
bmra/FULL90/JOINT/r2/s29001,bmra,FULL90,29001,JOINT,2,0.3906323829908134,0.3671188224537668,60,180,32.74501689999306,35.1191198000015,1.5728856325149536,8.450318336486816,180,True
bmra/FULL90/JOINT/r3/s29001,bmra,FULL90,29001,JOINT,3,0.3906323829908134,0.3717049191485559,30,180,32.26112560000911,34.55114739999408,1.9165349006652832,17.28193473815918,180,False
bmra/SPREAD30/HEAD/r0/s29001,bmra,SPREAD30,29001,HEAD,0,0.3906323829908134,0.3880105822050061,60,60,3.965365900003235,6.1757979999965755,0.22927452623844147,1.6256412267684937,1,False
bmra/SPREAD30/HEAD/r1/s29001,bmra,SPREAD30,29001,HEAD,1,0.3906323829908134,0.3812529894502207,60,60,4.320229799996014,6.318083700010902,0.23900887370109558,2.1501083374023438,2,False
bmra/SPREAD30/HEAD/r2/s29001,bmra,SPREAD30,29001,HEAD,2,0.3906323829908134,0.3718212991681505,60,60,3.954820800005109,5.940638200001558,0.28380751609802246,3.038747549057007,7,False
bmra/SPREAD30/HEAD/r3/s29001,bmra,SPREAD30,29001,HEAD,3,0.3906323829908134,0.3621783030751595,20,60,4.014278699993156,6.010539799986873,0.3810874819755554,3.7325379848480225,21,True
bmra/SPREAD30/WIDE/r0/s29001,bmra,SPREAD30,29001,WIDE,0,0.3906323829908134,0.3846126140049254,60,60,4.536719900002936,6.618798499999684,0.3928470313549042,2.623562812805176,9,False
bmra/SPREAD30/WIDE/r1/s29001,bmra,SPREAD30,29001,WIDE,1,0.3906323829908134,0.3752828463086346,60,60,4.537055600012536,6.581259700004011,0.44070857763290405,3.0931053161621094,15,False
bmra/SPREAD30/WIDE/r2/s29001,bmra,SPREAD30,29001,WIDE,2,0.3906323829908134,0.36623406703418215,20,60,4.47440849999839,6.5089978000032715,0.5104084014892578,3.6103599071502686,24,False
bmra/SPREAD30/WIDE/r3/s29001,bmra,SPREAD30,29001,WIDE,3,0.3906323829908134,0.36216806350252667,20,60,4.487314600002719,6.523248199999216,0.5666372179985046,3.850637197494507,36,True
bmra/SPREAD30/JOINT/r0/s29001,bmra,SPREAD30,29001,JOINT,0,0.3906323829908134,0.38555537284223323,60,60,12.25599279999733,14.544188200001372,1.8050178289413452,9.576971054077148,60,False
bmra/SPREAD30/JOINT/r1/s29001,bmra,SPREAD30,29001,JOINT,1,0.3906323829908134,0.3794572902899209,40,60,12.045754699996905,14.321025800003554,1.5948671102523804,15.084607124328613,60,False
bmra/SPREAD30/JOINT/r2/s29001,bmra,SPREAD30,29001,JOINT,2,0.3906323829908134,0.37358988679073346,20,60,11.142156599991722,13.398143700003857,1.51192307472229,12.68106746673584,60,False
bmra/SPREAD30/JOINT/r3/s29001,bmra,SPREAD30,29001,JOINT,3,0.3906323829908134,0.37019029320742125,10,60,12.322190999999293,14.67141610001272,1.4454835653305054,8.969666481018066,60,True
jena/FULL90/HEAD/r0/s29001,jena,FULL90,29001,HEAD,0,0.4065738872845076,0.40468708157120625,180,180,9.424972199994954,11.904699999999139,0.19185206294059753,0.7330578565597534,0,False
jena/FULL90/HEAD/r1/s29001,jena,FULL90,29001,HEAD,1,0.4065738872845076,0.40340506502637985,180,180,10.241741699996055,12.308848100001342,0.19717250764369965,0.8369700312614441,0,False
jena/FULL90/HEAD/r2/s29001,jena,FULL90,29001,HEAD,2,0.4065738872845076,0.3991052119641893,180,180,9.989032500001485,12.038569399999687,0.20962479710578918,1.1767598390579224,5,True
jena/FULL90/HEAD/r3/s29001,jena,FULL90,29001,HEAD,3,0.4065738872845076,0.4027596395954054,120,180,9.417572499995003,11.379264500006684,0.20429077744483948,2.154494285583496,63,False
jena/FULL90/WIDE/r0/s29001,jena,FULL90,29001,WIDE,0,0.4065738872845076,0.40379452926346127,180,180,10.1580607000069,12.385101699997904,0.32626229524612427,1.1407794952392578,2,False
jena/FULL90/WIDE/r1/s29001,jena,FULL90,29001,WIDE,1,0.4065738872845076,0.4023393833178863,180,180,10.243335999999545,12.287654300002032,0.33415648341178894,1.1398404836654663,6,False
jena/FULL90/WIDE/r2/s29001,jena,FULL90,29001,WIDE,2,0.4065738872845076,0.39882030213649694,180,180,10.287427599992952,12.32522670000617,0.3331280052661896,1.5954073667526245,22,True
jena/FULL90/WIDE/r3/s29001,jena,FULL90,29001,WIDE,3,0.4065738872845076,0.40641389930377986,30,180,10.327681399998255,12.366055999998935,0.29283106327056885,2.413679361343384,104,False
jena/FULL90/JOINT/r0/s29001,jena,FULL90,29001,JOINT,0,0.4065738872845076,0.39499297372278824,180,180,30.286396800001967,32.5595381000021,1.289474368095398,5.561264991760254,180,False
jena/FULL90/JOINT/r1/s29001,jena,FULL90,29001,JOINT,1,0.4065738872845076,0.39313551840912453,60,180,29.224551300008898,31.474618599997484,1.403527855873108,5.3127570152282715,180,True
jena/FULL90/JOINT/r2/s29001,jena,FULL90,29001,JOINT,2,0.4065738872845076,0.3946890867126357,60,180,29.23736729999655,31.487100300000748,1.4067597389221191,5.1964545249938965,180,False
jena/FULL90/JOINT/r3/s29001,jena,FULL90,29001,JOINT,3,0.4065738872845076,0.3936413760923144,15,180,32.528706400000374,34.815045099996496,1.5650334358215332,11.465197563171387,180,False
jena/SPREAD30/HEAD/r0/s29001,jena,SPREAD30,29001,HEAD,0,0.4065738872845076,0.40561348286078003,60,60,3.9400232000043616,6.068430699990131,0.23016349971294403,0.6095713376998901,0,False
jena/SPREAD30/HEAD/r1/s29001,jena,SPREAD30,29001,HEAD,1,0.4065738872845076,0.4042838191100524,60,60,4.533454800010077,6.5435013999958755,0.24510668218135834,0.728253185749054,0,False
jena/SPREAD30/HEAD/r2/s29001,jena,SPREAD30,29001,HEAD,2,0.4065738872845076,0.4040986645092509,40,60,3.888911400004872,5.832216199996765,0.25853121280670166,0.9990084767341614,0,True
jena/SPREAD30/HEAD/r3/s29001,jena,SPREAD30,29001,HEAD,3,0.4065738872845076,0.4045396819196164,10,60,3.9291799000056926,5.89881030000106,0.2751007676124573,1.2937562465667725,2,False
jena/SPREAD30/WIDE/r0/s29001,jena,SPREAD30,29001,WIDE,0,0.4065738872845076,0.40465644319938887,60,60,4.455868599994574,6.521245500000077,0.37197089195251465,0.9787695407867432,0,False
jena/SPREAD30/WIDE/r1/s29001,jena,SPREAD30,29001,WIDE,1,0.4065738872845076,0.40376933994670305,40,60,4.309886799994274,6.446114200007287,0.40189242362976074,1.1353479623794556,1,True
jena/SPREAD30/WIDE/r2/s29001,jena,SPREAD30,29001,WIDE,2,0.4065738872845076,0.4044129748415193,20,60,3.919617699997616,5.918563700004597,0.393766850233078,1.1588832139968872,3,False
jena/SPREAD30/WIDE/r3/s29001,jena,SPREAD30,29001,WIDE,3,0.4065738872845076,0.4053550315825266,10,60,4.310573700000532,6.3986332999920705,0.39398902654647827,1.5010099411010742,7,False
jena/SPREAD30/JOINT/r0/s29001,jena,SPREAD30,29001,JOINT,0,0.4065738872845076,0.40339454703796307,60,60,11.746516100000008,14.10224159999052,1.59783136844635,5.980040550231934,60,False
jena/SPREAD30/JOINT/r1/s29001,jena,SPREAD30,29001,JOINT,1,0.4065738872845076,0.4018701827453559,40,60,13.25614769999811,15.667339199993876,1.6481523513793945,5.76654052734375,60,False
jena/SPREAD30/JOINT/r2/s29001,jena,SPREAD30,29001,JOINT,2,0.4065738872845076,0.4019497285342423,40,60,11.062288999994053,13.298464999999851,1.576766014099121,5.263318061828613,60,False
jena/SPREAD30/JOINT/r3/s29001,jena,SPREAD30,29001,JOINT,3,0.4065738872845076,0.40115089497129275,20,60,12.098794199991971,14.391845499994815,1.9560997486114502,6.67263650894165,60,True
