dataset,condition,seed,family,D_score,F0_score,D_over_F0,improvement_pct_F0,forecast_key,recipe,best_V,best_step,trainable
bmra,FULL90,29000,F0,0.3575362242876733,0.3575362242876733,1.0,0.0,bmra/FULL90/HEAD/r2/s29000,identity,,0,0
bmra,FULL90,29000,HEAD,0.35690616424621957,0.3575362242876733,0.9982377728502644,0.17622271497356629,bmra/FULL90/HEAD/r2/s29000,2,0.3664073676130163,120,589301
bmra,FULL90,29000,WIDE,0.36487272032826634,0.3575362242876733,1.020519588064705,-2.0519588064705068,bmra/FULL90/WIDE/r3/s29000,3,0.36459624459784834,15,1768949
bmra,FULL90,29000,JOINT,0.3548216660434764,0.3575362242876733,0.9924075993988997,0.7592400601100302,bmra/FULL90/JOINT/r3/s29000,3,0.3712761095449335,15,1768949
bmra,FULL90,29000,CORRECTION,0.35806737057950205,0.3575362242876733,1.001485573365012,-0.14855733650121167,bmra/FULL90/HEAD/r2/s29000,bias_s0.5,0.3902101949353607,0,2
bmra,FULL90,29001,F0,0.3575362242876733,0.3575362242876733,1.0,0.0,bmra/FULL90/HEAD/r2/s29001,identity,,0,0
bmra,FULL90,29001,HEAD,0.36035557210575575,0.3575362242876733,1.007885488592658,-0.7885488592658008,bmra/FULL90/HEAD/r2/s29001,2,0.3649484548292651,60,589301
bmra,FULL90,29001,WIDE,0.35812751871406384,0.3575362242876733,1.00165380284912,-0.1653802849119979,bmra/FULL90/WIDE/r2/s29001,2,0.36267577426539627,60,1768949
bmra,FULL90,29001,JOINT,0.3558332612240735,0.3575362242876733,0.9952369495790457,0.47630504209542457,bmra/FULL90/JOINT/r2/s29001,2,0.3671188224537668,60,1768949
bmra,FULL90,29001,CORRECTION,0.35806737057950205,0.3575362242876733,1.001485573365012,-0.14855733650121167,bmra/FULL90/HEAD/r2/s29001,bias_s0.5,0.3902101949353607,0,2
bmra,SPREAD30,29000,F0,0.3575362242876733,0.3575362242876733,1.0,0.0,bmra/SPREAD30/HEAD/r3/s29000,identity,,0,0
bmra,SPREAD30,29000,HEAD,0.3650553491292347,0.3575362242876733,1.021030386100155,-2.10303861001551,bmra/SPREAD30/HEAD/r3/s29000,3,0.36324095952479196,40,589301
bmra,SPREAD30,29000,WIDE,0.3702013508384364,0.3575362242876733,1.0354233380855216,-3.5423338085521596,bmra/SPREAD30/WIDE/r3/s29000,3,0.35829493544549096,40,1768949
bmra,SPREAD30,29000,JOINT,0.3581193317070088,0.3575362242876733,1.0016309044503036,-0.16309044503036713,bmra/SPREAD30/JOINT/r2/s29000,2,0.37790563045071557,40,1768949
bmra,SPREAD30,29000,CORRECTION,0.3575362242876733,0.3575362242876733,1.0,0.0,bmra/SPREAD30/HEAD/r3/s29000,identity,0.39063238299081326,0,0
bmra,SPREAD30,29001,F0,0.3575362242876733,0.3575362242876733,1.0,0.0,bmra/SPREAD30/HEAD/r3/s29001,identity,,0,0
bmra,SPREAD30,29001,HEAD,0.36728095540288097,0.3575362242876733,1.0272552274517703,-2.7255227451770265,bmra/SPREAD30/HEAD/r3/s29001,3,0.3621783030751595,20,589301
bmra,SPREAD30,29001,WIDE,0.36887212053965684,0.3575362242876733,1.0317055880829091,-3.1705588082909064,bmra/SPREAD30/WIDE/r3/s29001,3,0.36216806350252667,20,1768949
bmra,SPREAD30,29001,JOINT,0.3586180406053243,0.3575362242876733,1.0030257530402866,-0.30257530402866295,bmra/SPREAD30/JOINT/r3/s29001,3,0.37019029320742125,10,1768949
bmra,SPREAD30,29001,CORRECTION,0.3575362242876733,0.3575362242876733,1.0,0.0,bmra/SPREAD30/HEAD/r3/s29001,identity,0.39063238299081326,0,0
jena,FULL90,29000,F0,0.5584878619218103,0.5584878619218103,1.0,0.0,jena/FULL90/HEAD/r3/s29000,identity,,0,0
jena,FULL90,29000,HEAD,0.561324427015853,0.5584878619218103,1.0050790093884614,-0.5079009388461421,jena/FULL90/HEAD/r3/s29000,3,0.39652487816139304,120,589301
jena,FULL90,29000,WIDE,0.5496680031497574,0.5584878619218103,0.9842076088427366,1.5792391157263392,jena/FULL90/WIDE/r3/s29000,3,0.3986524944473666,15,1768949
jena,FULL90,29000,JOINT,0.5300710486110967,0.5584878619218103,0.949118297373682,5.0881702626317935,jena/FULL90/JOINT/r3/s29000,3,0.3884205346014349,30,1768949
jena,FULL90,29000,CORRECTION,0.5584878619218103,0.5584878619218103,1.0,0.0,jena/FULL90/HEAD/r3/s29000,identity,0.40657388728450755,0,0
jena,FULL90,29001,F0,0.5584878619218103,0.5584878619218103,1.0,0.0,jena/FULL90/HEAD/r2/s29001,identity,,0,0
jena,FULL90,29001,HEAD,0.5540613511598171,0.5584878619218103,0.9920741146517291,0.7925885348270841,jena/FULL90/HEAD/r2/s29001,2,0.3991052119641893,180,589301
jena,FULL90,29001,WIDE,0.5635701319337715,0.5584878619218103,1.0091000545552997,-0.9100054555299689,jena/FULL90/WIDE/r2/s29001,2,0.39882030213649694,180,1768949
jena,FULL90,29001,JOINT,0.5399695878851074,0.5584878619218103,0.9668421190516482,3.3157880948351792,jena/FULL90/JOINT/r1/s29001,1,0.39313551840912453,60,1768949
jena,FULL90,29001,CORRECTION,0.5584878619218103,0.5584878619218103,1.0,0.0,jena/FULL90/HEAD/r2/s29001,identity,0.40657388728450755,0,0
jena,SPREAD30,29000,F0,0.5584878619218103,0.5584878619218103,1.0,0.0,jena/SPREAD30/HEAD/r1/s29000,identity,,0,0
jena,SPREAD30,29000,HEAD,0.5574054097610359,0.5584878619218103,0.9980618161385825,0.19381838614174773,jena/SPREAD30/HEAD/r1/s29000,1,0.40362109465387697,60,589301
jena,SPREAD30,29000,WIDE,0.5580193755242044,0.5584878619218103,0.9991611520508363,0.08388479491636151,jena/SPREAD30/WIDE/r1/s29000,1,0.40341950781650693,60,1768949
jena,SPREAD30,29000,JOINT,0.552883370922144,0.5584878619218103,0.9899648830676808,1.003511693231921,jena/SPREAD30/JOINT/r1/s29000,1,0.40024152078311104,60,1768949
jena,SPREAD30,29000,CORRECTION,0.5584878619218103,0.5584878619218103,1.0,0.0,jena/SPREAD30/HEAD/r1/s29000,identity,0.40657388728450755,0,0
jena,SPREAD30,29001,F0,0.5584878619218103,0.5584878619218103,1.0,0.0,jena/SPREAD30/HEAD/r2/s29001,identity,,0,0
jena,SPREAD30,29001,HEAD,0.5584279632207035,0.5584878619218103,0.9998927484280488,0.010725157195121347,jena/SPREAD30/HEAD/r2/s29001,2,0.4040986645092509,40,589301
jena,SPREAD30,29001,WIDE,0.5579210353438357,0.5584878619218103,0.9989850691185587,0.10149308814413131,jena/SPREAD30/WIDE/r1/s29001,1,0.40376933994670305,40,1768949
jena,SPREAD30,29001,JOINT,0.5519604428471983,0.5584878619218103,0.9883123349321316,1.1687665067868436,jena/SPREAD30/JOINT/r3/s29001,3,0.40115089497129275,20,1768949
jena,SPREAD30,29001,CORRECTION,0.5584878619218103,0.5584878619218103,1.0,0.0,jena/SPREAD30/HEAD/r2/s29001,identity,0.40657388728450755,0,0
