dataset,operation,r,seed,role,M,O,R,O_vs_M_pct,O_vs_R_pct,M_vs_R_pct
uci,END_BIN,3,2026090602,UNSEEN_INTERPOLATION,0.43768533448367114,0.4373884481683176,0.4486215568375116,0.06783099454400476,2.5039163852000446,2.437738933218825
uci,END_BIN,4,2026090602,SEEN,0.4391513294027958,0.4396432052832899,0.45197743765817683,-0.11200600967393726,2.728948692393607,2.8377762221576286
uci,END_BIN,6,2026090602,UNSEEN_INTERPOLATION,0.452151744943233,0.4522427575310704,0.461128709549714,-0.020128770673832896,1.9270003872282504,1.9467373036146207
uci,END_BIN,8,2026090602,SEEN,0.4534267191476835,0.4535667864380374,0.463897531714002,-0.03089083294807171,2.2269455148413275,2.257139098721017
uci,END_BIN,12,2026090602,UNSEEN_EXTRAPOLATION,0.46930343315913664,0.470368504935169,0.47313867805938375,-0.22694736513277913,0.5854886215552746,0.8105963596080734
uci,INTERVAL_MEAN,2,2026090602,SEEN,0.4430942401605996,0.44391484921467717,0.4498442729058576,-0.18519966627870144,1.318105853138496,1.5005265492555542
uci,INTERVAL_MEAN,3,2026090602,UNSEEN_INTERPOLATION,0.4444762494636996,0.44511145452378076,0.45244254405862144,-0.14291091162859093,1.620336025228175,1.7607306606183482
uci,INTERVAL_MEAN,4,2026090602,SEEN,0.4485270494904157,0.448765705198002,0.4546170569889121,-0.05320876586092371,1.2870946439329845,1.339590630152021
uci,INTERVAL_MEAN,6,2026090602,UNSEEN_INTERPOLATION,0.4531550428412055,0.4546479515441776,0.45912444116149626,-0.32944766400739844,0.975005731778078,1.3001700160395147
uci,INTERVAL_MEAN,8,2026090602,SEEN,0.45711076992671096,0.45952390854158026,0.4631214755598109,-0.5279111264992142,0.7768085066411579,1.2978680433323397
uci,INTERVAL_MEAN,12,2026090602,UNSEEN_EXTRAPOLATION,0.4676873293358044,0.4690633653881064,0.468800336704038,-0.29422136671013455,-0.05610676091183375,0.23741607697185252
MACRO,MACRO,-1,2026090601,SEEN,,,,-0.3004431988155189,-0.06307542745935257,0.24659835265420746
MACRO,MACRO,-1,2026090601,UNSEEN_INTERPOLATION,,,,-0.30011560603113163,-0.22536905754012726,0.08755886785909306
MACRO,MACRO,-1,2026090601,UNSEEN_EXTRAPOLATION,,,,1.149661702101065,-1.1518601466603937,-2.3927314603792387
MACRO,MACRO,-1,2026090602,SEEN,,,,-0.06409243589835338,1.2398387904453967,1.3024565020233063
MACRO,MACRO,-1,2026090602,UNSEEN_INTERPOLATION,,,,0.2020593487196659,1.3383403542682095,1.13496618457926
MACRO,MACRO,-1,2026090602,UNSEEN_EXTRAPOLATION,,,,2.324234463567071,-0.9038641939379422,-3.5908148132102524
