dataset,operation,r,seed,R,M,O,O_vs_M_pct,O_vs_R_pct,M_vs_R_pct
jena,END_BIN,12,2026090601,0.14457276472449063,0.1514776321019702,0.15231768281394628,-0.5545707972320013,-5.357107269972317,-4.776049894762724
jena,END_BIN,12,2026090602,0.14935811617900457,0.1511366854777936,0.1517415526688664,-0.4002120260614639,-1.5957863896765456,-1.190808604373017
jena,INTERVAL_MEAN,12,2026090601,0.16107990741251021,0.1756820162352136,0.167822178495807,4.473900008571952,-4.185668586231839,-9.065133608072419
jena,INTERVAL_MEAN,12,2026090602,0.1637616852812687,0.18704935528414385,0.16793605619919522,10.218318612172661,-2.549052246718664,-14.220463085047918
uci,END_BIN,12,2026090601,0.4903076427950003,0.4763761408761197,0.4748472301793304,0.3209461107723466,3.1532065312173674,2.841379718142678
uci,END_BIN,12,2026090602,0.47313867805938375,0.46930343315913664,0.470368504935169,-0.22694736513277913,0.5854886215552746,0.8105963596080734
uci,INTERVAL_MEAN,12,2026090601,0.47373808451886984,0.4669689455207576,0.4652954619701729,0.358371486291964,1.7821287383452122,1.4288779431755105
uci,INTERVAL_MEAN,12,2026090602,0.468800336704038,0.4676873293358044,0.4690633653881064,-0.29422136671013455,-0.05610676091183375,0.23741607697185252
