dataset,arm,model_seed,best_update,best_val_primary,final_val_primary,best_is_first,best_is_last,last_interval_improving,final_over_best
jena,R,2026090601,4500,0.176027625799179,0.179077776769797,False,False,False,1.0173276834063407
jena,M,2026090601,4500,0.1804229468107223,0.1820297315716743,False,False,False,1.0089056563444652
jena,O,2026090601,4500,0.180712287624677,0.1823232844471931,False,False,False,1.0089147054895458
jena,R,2026090602,2500,0.1793877432743708,0.1822292208671569,False,False,False,1.0158398647584306
jena,M,2026090602,4000,0.1838361447056134,0.1843273217479387,False,False,False,1.0026718197507452
jena,O,2026090602,4000,0.183967538177967,0.1847425873080889,False,False,False,1.0042129667972843
uci,R,2026090601,2500,0.4710746620409665,0.4754080688225404,False,False,False,1.0091989808214246
uci,M,2026090601,3000,0.4675163678237197,0.4721866846463759,False,False,False,1.0099896327574507
uci,O,2026090601,3000,0.4670509381489899,0.4715076238106528,False,False,False,1.009542183298733
uci,R,2026090602,2000,0.4678943680442926,0.4753104595623854,False,False,False,1.0158499268736458
uci,M,2026090602,3000,0.4688137509781895,0.4717374444955785,False,False,False,1.0062363646784862
uci,O,2026090602,3000,0.4685111372677121,0.4708086469852894,False,False,False,1.0049038529392835
