dataset,block_id,operation,r,arm,primary_sum,n_keys
jena,83,END_BIN,3,M,3.162030532721676,21
jena,83,END_BIN,3,O,3.1202163302255537,21
jena,83,END_BIN,3,R,3.1282541226763794,21
jena,83,END_BIN,6,M,3.062587902223135,21
jena,83,END_BIN,6,O,3.0411108467119954,21
jena,83,END_BIN,6,R,3.0379980780093723,21
jena,83,END_BIN,12,M,3.260258832393447,21
jena,83,END_BIN,12,O,3.303545406838465,21
jena,83,END_BIN,12,R,2.9825036702677608,21
jena,83,INTERVAL_MEAN,3,M,3.0388264318009734,21
jena,83,INTERVAL_MEAN,3,O,2.9106762004359754,21
jena,83,INTERVAL_MEAN,3,R,3.2093163655437014,21
jena,83,INTERVAL_MEAN,6,M,3.149533133669239,21
jena,83,INTERVAL_MEAN,6,O,3.0477647985616283,21
jena,83,INTERVAL_MEAN,6,R,3.3262739055854684,21
jena,83,INTERVAL_MEAN,12,M,3.607788445259858,21
jena,83,INTERVAL_MEAN,12,O,3.385278216931814,21
jena,83,INTERVAL_MEAN,12,R,3.7074940112910957,21
jena,84,END_BIN,3,M,3.603448981108765,42
jena,84,END_BIN,3,O,3.576263177228005,42
jena,84,END_BIN,3,R,3.451208480798717,42
jena,84,END_BIN,6,M,3.759783278206467,42
jena,84,END_BIN,6,O,3.796296151018598,42
jena,84,END_BIN,6,R,3.5345522263443048,42
jena,84,END_BIN,12,M,4.195507598407049,42
jena,84,END_BIN,12,O,4.246789981986189,42
jena,84,END_BIN,12,R,3.471053440345309,42
jena,84,INTERVAL_MEAN,3,M,3.3118583425077506,42
jena,84,INTERVAL_MEAN,3,O,3.2354521170879402,42
jena,84,INTERVAL_MEAN,3,R,3.6150791157035402,42
jena,84,INTERVAL_MEAN,6,M,3.5950810913539804,42
jena,84,INTERVAL_MEAN,6,O,3.374489781925351,42
jena,84,INTERVAL_MEAN,6,R,3.791236425030446,42
jena,84,INTERVAL_MEAN,12,M,4.23828617674816,42
jena,84,INTERVAL_MEAN,12,O,4.146518505644053,42
jena,84,INTERVAL_MEAN,12,R,4.498366645293168,42
jena,85,END_BIN,3,M,7.147706944087986,42
jena,85,END_BIN,3,O,7.082826590113756,42
