panel,method,seed,lr,source_path,raw_rescue_used,penaltyboundary,raw_source_candidate_count,raw_unique_penalty_count,raw_total_candidates_executed,raw_total_search_wall_seconds,lr_definition,selected_step,val_score,eval_score,coverage80,crossing_rate,median_mae_raw_macro,quantile_average_proxy_mse,proxy_mse_definition,trainable_parameters,ridge_coefficient_count,empirical_quantile_offset_count,parameter_count_definition,wall_seconds,wall_seconds_scope,peak_vram_gib
ettm2,RAW_VARX_RIDGE,0,1000.0,E:\CODING\proj\mltimeseries\runs\peft_adaptation_scope_v1\raw_rescue\ettm2,True,True,4,4,7,1.031575200000134,ridge regularization lambda,0,0.4414909261524655,0.4324153249634941,0.8179408482142857,0.0,2.054856538772583,11.396334648132324,Arithmetic mean of 21 quantiles; not an identified conditional mean,,90048,14112,RAW closed-form coefficients/intercepts and empirical offsets are reported separately; no optimizer trainable-parameter count,0.5719890000000305,Selected RAW source run: 4 penalties including OOF calibration; all original/rescue costs recorded separately,
ettm2,F0,0,0,E:\CODING\proj\mltimeseries\runs\peft_adaptation_scope_v1\trials\ettm2_F0_lr0_seed0,,,,,,,optimizer learning rate,0,0.38353856143542087,0.35781345271155185,0.7570219494047619,0.001953125,1.6697100400924683,7.129462242126465,Arithmetic mean of 21 quantiles; not an identified conditional mean,0,,,Registered trainable neural-network scalars,25.49415910000016,One selected trial; cache-generation inclusion is recorded in trial metadata,0.46456432342529297
ettm2,AFF,0,0.01,E:\CODING\proj\mltimeseries\runs\peft_adaptation_scope_v1\trials\ettm2_AFF_lr0.01_seed0,,,,,,,optimizer learning rate,500,0.38029849441451347,0.3567787265080607,0.7299107142857143,0.001953125,1.669533371925354,7.07953405380249,Arithmetic mean of 21 quantiles; not an identified conditional mean,14,,,Registered trainable neural-network scalars,11.22833780000019,One selected trial; cache-generation inclusion is recorded in trial metadata,0.4484868049621582
ettm2,AFF,1,0.01,E:\CODING\proj\mltimeseries\runs\peft_adaptation_scope_v1\trials\ettm2_AFF_lr0.01_seed1,,,,,,,optimizer learning rate,500,0.37960880103657996,0.35669564671134024,0.7336309523809523,0.001953125,1.6690499782562256,7.080588340759277,Arithmetic mean of 21 quantiles; not an identified conditional mean,14,,,Registered trainable neural-network scalars,11.13383580000027,One selected trial; cache-generation inclusion is recorded in trial metadata,0.4484868049621582
ettm2,AFF,2,0.01,E:\CODING\proj\mltimeseries\runs\peft_adaptation_scope_v1\trials\ettm2_AFF_lr0.01_seed2,,,,,,,optimizer learning rate,450,0.3803942638653498,0.3577409685855022,0.7271205357142857,0.001953125,1.6818969249725342,7.137186527252197,Arithmetic mean of 21 quantiles; not an identified conditional mean,14,,,Registered trainable neural-network scalars,11.12273710000045,One selected trial; cache-generation inclusion is recorded in trial metadata,0.4484868049621582
ettm2,H_LIN,0,0.0003,E:\CODING\proj\mltimeseries\runs\peft_adaptation_scope_v1\trials\ettm2_H_LIN_lr0.0003_seed0,,,,,,,optimizer learning rate,400,0.37184108709608404,0.34889274566770395,0.8020368303571429,0.010270182291666667,1.6142884492874146,6.7028679847717285,Arithmetic mean of 21 quantiles; not an identified conditional mean,258384,,,Registered trainable neural-network scalars,10.668842599999607,One selected trial; cache-generation inclusion is recorded in trial metadata,0.4690742492675781
ettm2,H_LIN,1,0.0003,E:\CODING\proj\mltimeseries\runs\peft_adaptation_scope_v1\trials\ettm2_H_LIN_lr0.0003_seed1,,,,,,,optimizer learning rate,350,0.3721052080233566,0.3489510280252985,0.8013857886904762,0.010591052827380952,1.6125749349594116,6.647507667541504,Arithmetic mean of 21 quantiles; not an identified conditional mean,258384,,,Registered trainable neural-network scalars,10.647642900000392,One selected trial; cache-generation inclusion is recorded in trial metadata,0.4690742492675781
ettm2,H_LIN,2,0.0003,E:\CODING\proj\mltimeseries\runs\peft_adaptation_scope_v1\trials\ettm2_H_LIN_lr0.0003_seed2,,,,,,,optimizer learning rate,450,0.3726871425353661,0.3500948232637141,0.7978515625,0.011186290922619047,1.6144880056381226,6.6909871101379395,Arithmetic mean of 21 quantiles; not an identified conditional mean,258384,,,Registered trainable neural-network scalars,10.644892199999958,One selected trial; cache-generation inclusion is recorded in trial metadata,0.4690742492675781
ettm2,H_MLP,0,0.001,E:\CODING\proj\mltimeseries\runs\peft_adaptation_scope_v1\trials\ettm2_H_MLP_lr0.001_seed0,,,,,,,optimizer learning rate,200,0.36804489990022365,0.3495865637010319,0.7752976190476191,0.009556361607142858,1.6061383485794067,6.451948642730713,Arithmetic mean of 21 quantiles; not an identified conditional mean,589301,,,Registered trainable neural-network scalars,11.317308900000171,One selected trial; cache-generation inclusion is recorded in trial metadata,0.4775686264038086
ettm2,H_MLP,1,0.001,E:\CODING\proj\mltimeseries\runs\peft_adaptation_scope_v1\trials\ettm2_H_MLP_lr0.001_seed1,,,,,,,optimizer learning rate,200,0.3645559106169207,0.3439499557074429,0.7772042410714286,0.0091796875,1.5764847993850708,6.247561454772949,Arithmetic mean of 21 quantiles; not an identified conditional mean,589301,,,Registered trainable neural-network scalars,10.93489899999986,One selected trial; cache-generation inclusion is recorded in trial metadata,0.4775686264038086
