dataset,arm,seed,procedure,split,score,improvement_over_f0,coverage80,width80_scaled,median_mse_scaled,median_mse_raw,crossing_before_sort,lr,best_step,trainable,checkpoint_bytes,optimizer_seconds_per_step,fit_seconds,hpo_fit_seconds,selected_fit_seconds,selected_fit_time_unavailable,peak_cuda_allocated_bytes,peak_cuda_reserved_bytes,rss_sample_max_bytes,path
bike,F0,,SORT,E,0.18379705839224367,0.0,0.8071614583333333,0.815569112740855,0.20796366258186327,2026.2054308294669,0.0009309895833333334,,0,0,0,0.0,0.0,,,,513735168,578813952,1511776256,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\bike\F0
bike,F0,,QCAL,E,0.1839977422022439,0.0,0.7731770833333333,0.767125702963075,0.20881427962051302,2039.4490608390695,0.020826822916666668,,0,0,0,0.0,0.0,,,,513735168,578813952,1511776256,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\bike\F0
bike,HEAD_ONLY,20000,SORT,E,0.180579242950568,0.01750743711473608,0.8200520833333333,0.8743925798676468,0.20624818259687605,2032.3120237283697,0.03194661458333334,3e-05,40,3653280,14616397,0.08855031700033578,27.812587699998403,,,,565695488,645922816,1766961152,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\bike\HEAD_ONLY_seed_20000
bike,HEAD_ONLY,20000,QCAL,E,0.1805436495433332,0.018772473061729623,0.76875,0.8335942158351296,0.20628591840652644,2029.7376574646423,0.06201822916666667,3e-05,40,3653280,14616397,0.08855031700033578,27.812587699998403,,,,565695488,645922816,1766961152,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\bike\HEAD_ONLY_seed_20000
bike,HEAD_ONLY,20001,SORT,E,0.18160044439513695,0.011951301159667607,0.7942708333333334,0.9014813272852873,0.2069080562898311,2052.812197092133,0.03288411458333333,3e-05,40,3653280,14616397,0.08995844599950942,28.196461800005636,,,,565695488,645922816,1767321600,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\bike\HEAD_ONLY_seed_20001
bike,HEAD_ONLY,20001,QCAL,E,0.18125129327116019,0.014926536044474512,0.7770833333333333,0.8804733914154634,0.2067611942534387,2043.1803739079112,0.05662760416666667,3e-05,40,3653280,14616397,0.08995844599950942,28.196461800005636,,,,565695488,645922816,1767321600,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\bike\HEAD_ONLY_seed_20001
bike,HEAD_ONLY,20002,SORT,E,0.18379705839224367,0.0,0.8071614583333333,0.815569112740855,0.20796366258186327,2026.2054308294669,0.0009309895833333334,3e-05,0,3653280,14616397,0.09202017250056088,28.72140889998991,,,,565695488,645922816,1766223872,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\bike\HEAD_ONLY_seed_20002
bike,HEAD_ONLY,20002,QCAL,E,0.1839977422022439,0.0,0.7731770833333333,0.767125702963075,0.20881427962051302,2039.4490608390695,0.020826822916666668,3e-05,0,3653280,14616397,0.09202017250056088,28.72140889998991,,,,565695488,645922816,1766223872,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\bike\HEAD_ONLY_seed_20002
bike,LORA,20000,SORT,E,0.17619351378884604,0.04136923991009043,0.83515625,0.8315931381579342,0.1992669630055693,2019.1407533756328,0.005260416666666667,0.0001,40,1206912,4897099,0.3618668840004102,84.67194040000322,,,,1050484736,1103101952,1716477952,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\bike\LORA_seed_20000
bike,LORA,20000,QCAL,E,0.17629782536175034,0.04184788763348022,0.7649739583333333,0.7773820596685737,0.19893652619080243,2017.7697415920345,0.04171223958333334,0.0001,40,1206912,4897099,0.3618668840004102,84.67194040000322,,,,1050484736,1103101952,1716477952,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\bike\LORA_seed_20000
bike,LORA,20001,SORT,E,0.17350261050917282,0.05600986203544856,0.8147135416666667,0.7992858286991904,0.192351395348075,1948.5735983231416,0.00859375,0.0001,80,1206912,4897099,0.3668612124998617,85.67814260000887,,,,1050484736,1103101952,1718124544,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\bike\LORA_seed_20001
