method,procedure,corpus,lr,best_step,source_path,score,coverage80,width80,median_mse,crossing,native_score,native_coverage80,native_width80,score_change_from_native_over_F0,F0_denominator,calibration_labels,offset_parameters
F0,SORT,0,0.001,0,runs/peft_trainlag_v1/trials/Q00_c0/F0/lr_1e-03,0.5369669456085747,0.7943115234375,2.512340777278723,0.9847581488260762,0.0,0.5369669456085747,0.7943115234375,2.512340777278723,0.0,0.5369669456085747,0,0
F0,QCAL,0,0.001,0,runs/peft_trainlag_v1/trials/Q00_c0/F0/lr_1e-03,0.5375722814093787,0.807861328125,2.5945012931030993,0.9859581755663975,0.0,0.5369669456085747,0.7943115234375,2.512340777278723,0.001127324141187048,0.5369669456085747,2048,21
ATTN,SORT,0,3e-05,120,runs/peft_trainlag_v1/trials/Q00_c0/ATTN/lr_3e-05,0.5028127208940127,0.7520751953125,2.1742562250547053,0.8614747788905689,0.0,0.5028127208940127,0.7520751953125,2.1742562250547053,0.0,0.5369669456085747,0,0
ATTN,QCAL,0,3e-05,120,runs/peft_trainlag_v1/trials/Q00_c0/ATTN/lr_3e-05,0.5019360490782749,0.7896728515625,2.337834397986743,0.8607914237122976,0.0,0.5028127208940127,0.7520751953125,2.1742562250547053,-0.0016326364646975149,0.5369669456085747,2048,21
ALIGN_F0,SORT,0,0.001,0,runs/peft_trainlag_v1/trials/Q00_c0/ALIGN_F0/lr_1e-03,0.4605718030721859,0.8101806640625,2.2445324224835304,0.7318306123048244,0.0,0.4605718030721859,0.8101806640625,2.2445324224835304,0.0,0.5369669456085747,0,0
ALIGN_F0,QCAL,0,0.001,0,runs/peft_trainlag_v1/trials/Q00_c0/ALIGN_F0/lr_1e-03,0.46094794582877086,0.812744140625,2.2738284103770074,0.7318067440990903,0.0,0.4605718030721859,0.8101806640625,2.2445324224835304,0.0007004951788207855,0.5369669456085747,2048,21
ALIGN_ATTN,SORT,0,0.0001,80,runs/peft_trainlag_v1/trials/Q00_c0/ALIGN_ATTN/lr_1e-04,0.3704869247293928,0.716064453125,1.4620804142496127,0.4624015198875492,0.0,0.3704869247293928,0.716064453125,1.4620804142496127,0.0,0.5369669456085747,0,0
ALIGN_ATTN,QCAL,0,0.0001,80,runs/peft_trainlag_v1/trials/Q00_c0/ALIGN_ATTN/lr_1e-04,0.3674363147644497,0.8023681640625,1.7687649648674866,0.4613539418106931,0.0,0.3704869247293928,0.716064453125,1.4620804142496127,-0.0056811876222393545,0.5369669456085747,2048,21
F0,SORT,1,0.001,0,runs/peft_trainlag_v1/trials/Q00_c1/F0/lr_1e-03,0.5369669456085747,0.7943115234375,2.512340777278723,0.9847581488260762,0.0,0.5369669456085747,0.7943115234375,2.512340777278723,0.0,0.5369669456085747,0,0
F0,QCAL,1,0.001,0,runs/peft_trainlag_v1/trials/Q00_c1/F0/lr_1e-03,0.5375722814093787,0.807861328125,2.5945012931030993,0.9859581755663975,0.0,0.5369669456085747,0.7943115234375,2.512340777278723,0.001127324141187048,0.5369669456085747,2048,21
ATTN,SORT,1,3e-05,120,runs/peft_trainlag_v1/trials/Q00_c1/ATTN/lr_3e-05,0.4967690359193791,0.7598876953125,2.1523476262411236,0.8403089314256816,0.0,0.4967690359193791,0.7598876953125,2.1523476262411236,0.0,0.5369669456085747,0,0
ATTN,QCAL,1,3e-05,120,runs/peft_trainlag_v1/trials/Q00_c1/ATTN/lr_3e-05,0.49617313972933497,0.78759765625,2.2974155557365323,0.8403247984017023,0.0,0.4967690359193791,0.7598876953125,2.1523476262411236,-0.0011097446405546791,0.5369669456085747,2048,21
ALIGN_F0,SORT,1,0.001,0,runs/peft_trainlag_v1/trials/Q00_c1/ALIGN_F0/lr_1e-03,0.4605718030721859,0.8101806640625,2.2445324224835304,0.7318306123048244,0.0,0.4605718030721859,0.8101806640625,2.2445324224835304,0.0,0.5369669456085747,0,0
ALIGN_F0,QCAL,1,0.001,0,runs/peft_trainlag_v1/trials/Q00_c1/ALIGN_F0/lr_1e-03,0.46094794582877086,0.812744140625,2.2738284103770074,0.7318067440990903,0.0,0.4605718030721859,0.8101806640625,2.2445324224835304,0.0007004951788207855,0.5369669456085747,2048,21
ALIGN_ATTN,SORT,1,0.0001,80,runs/peft_trainlag_v1/trials/Q00_c1/ALIGN_ATTN/lr_1e-04,0.37472777468960355,0.677490234375,1.3500088612072076,0.4682405779189468,0.0,0.37472777468960355,0.677490234375,1.3500088612072076,0.0,0.5369669456085747,0,0
ALIGN_ATTN,QCAL,1,0.0001,80,runs/peft_trainlag_v1/trials/Q00_c1/ALIGN_ATTN/lr_1e-04,0.36878508568410284,0.78955078125,1.7270216399211038,0.46691252139552053,0.0,0.37472777468960355,0.677490234375,1.3500088612072076,-0.011067141197612321,0.5369669456085747,2048,21
F0,SORT,2,0.001,0,runs/peft_trainlag_v1/trials/Q00_c2/F0/lr_1e-03,0.5369669456085747,0.7943115234375,2.512340777278723,0.9847581488260762,0.0,0.5369669456085747,0.7943115234375,2.512340777278723,0.0,0.5369669456085747,0,0
F0,QCAL,2,0.001,0,runs/peft_trainlag_v1/trials/Q00_c2/F0/lr_1e-03,0.5375722814093787,0.807861328125,2.5945012931030993,0.9859581755663975,0.0,0.5369669456085747,0.7943115234375,2.512340777278723,0.001127324141187048,0.5369669456085747,2048,21
ATTN,SORT,2,3e-05,160,runs/peft_trainlag_v1/trials/Q00_c2/ATTN/lr_3e-05,0.49206105739216466,0.7425537109375,2.0628435617068135,0.8222931610614781,0.0,0.49206105739216466,0.7425537109375,2.0628435617068135,0.0,0.5369669456085747,0,0
ATTN,QCAL,2,3e-05,160,runs/peft_trainlag_v1/trials/Q00_c2/ATTN/lr_3e-05,0.48877195049109295,0.796142578125,2.3233648383231222,0.8157667717119081,0.0,0.49206105739216466,0.7425537109375,2.0628435617068135,-0.0061253433343908615,0.5369669456085747,2048,21
ALIGN_F0,SORT,2,0.001,0,runs/peft_trainlag_v1/trials/Q00_c2/ALIGN_F0/lr_1e-03,0.4605718030721859,0.8101806640625,2.2445324224835304,0.7318306123048244,0.0,0.4605718030721859,0.8101806640625,2.2445324224835304,0.0,0.5369669456085747,0,0
ALIGN_F0,QCAL,2,0.001,0,runs/peft_trainlag_v1/trials/Q00_c2/ALIGN_F0/lr_1e-03,0.46094794582877086,0.812744140625,2.2738284103770074,0.7318067440990903,0.0,0.4605718030721859,0.8101806640625,2.2445324224835304,0.0007004951788207855,0.5369669456085747,2048,21
ALIGN_ATTN,SORT,2,0.0001,80,runs/peft_trainlag_v1/trials/Q00_c2/ALIGN_ATTN/lr_1e-04,0.36014871705940427,0.7054443359375,1.382840456199034,0.4365185124122809,0.0,0.36014871705940427,0.7054443359375,1.382840456199034,0.0,0.5369669456085747,0,0
ALIGN_ATTN,QCAL,2,0.0001,80,runs/peft_trainlag_v1/trials/Q00_c2/ALIGN_ATTN/lr_1e-04,0.3550859321883972,0.802734375,1.6991823276731997,0.4321363996665461,0.0,0.36014871705940427,0.7054443359375,1.382840456199034,-0.009428485146826215,0.5369669456085747,2048,21
