kind,contrast,arm_a,arm_b,loss_a,loss_b,ri_percent,ci_lower,ci_upper,share_positive
primary,P over D,P,D,0.8286693096160889,0.8277673125267029,-0.10896746896572929,-0.18634520397540158,-0.046877919556141824,0.0
primary,P over S,P,S,0.8286693096160889,0.8114065527915955,-2.127510156912331,-2.853634289182775,-1.4904963554852715,0.0
secondary,P over P_BROKEN,P,P_BROKEN,0.8286693096160889,0.8286018371582031,-0.008142928830226551,-0.013859476951139618,-0.004164239618965352,0.0
secondary,S over M,S,M,0.8114065527915955,0.8278888463973999,1.990882432771981,1.3658145683019771,2.6715078238907206,1.0
secondary,M over H,M,H,0.8278888463973999,0.8712341785430908,4.975164337351244,4.366282830197272,5.683373558833131,1.0
secondary,P over MC,P,MC,0.8286693096160889,0.8198480606079102,-1.0759614411526244,-1.3044942848315362,-0.8650313732910717,0.0
