arm,batch,adapter_peak_mb,end_to_end_peak_mb
H,1,498.7,502.2
H,64,519.4,744.9
M,1,498.8,502.3
M,64,519.5,744.6
S,1,498.8,502.3
S,64,519.5,744.6
D,1,498.8,502.3
D,64,519.5,744.6
P,1,499.4,502.3
P,64,577.4,744.6
P_BROKEN,1,499.4,502.3
P_BROKEN,64,577.4,744.6
MC,1,498.9,502.3
MC,64,524.3,744.6
