arm,seed,batch,adapter_only_ms,end_to_end_ms,adapter_peak_mb,end_to_end_peak_mb,warmup,timed
H,2026090601,1,0.7766,39.563,498.7,502.2,20,100
H,2026090601,64,0.7876,157.989,519.4,744.9,20,100
M,2026090601,1,1.4517,41.065,498.8,502.3,20,100
M,2026090601,64,1.5195,158.533,519.5,744.6,20,100
S,2026090601,1,1.8794,40.599,498.8,502.3,20,100
S,2026090601,64,2.0224,159.514,519.5,744.6,20,100
D,2026090601,1,1.3992,38.829,498.8,502.3,20,100
D,2026090601,64,1.4381,158.938,519.5,744.6,20,100
P,2026090601,1,1.4712,41.221,499.4,502.3,20,100
P,2026090601,64,1.7352,159.96,577.4,744.6,20,100
P_BROKEN,2026090601,1,1.4656,40.719,499.4,502.3,20,100
P_BROKEN,2026090601,64,1.5013,159.724,577.4,744.6,20,100
MC,2026090601,1,73.2727,115.859,498.9,502.3,20,100
MC,2026090601,64,78.4736,236.024,524.3,744.6,20,100
