arm,seed,split,macro_scaled_crps,macro_crps_mw,mean_rmse_mw,median_mae_mw,coverage_90,width_90_mw,n_examples
H,2026090601,val,0.86121666431427,24.924301147460938,35.0999755859375,25.152490615844727,0.00040453075780533254,0.21298731863498688,206
H,2026090602,val,0.9076731204986572,26.11253547668457,36.441402435302734,26.34271240234375,0.0024271844886243343,0.21971110999584198,206
H,2026090603,val,0.8537039756774902,24.72764015197754,34.88175582885742,24.956974029541016,0.0012135922443121672,0.23514901101589203,206
H,2026090601,test,0.8677312731742859,26.601686477661133,39.26023864746094,26.88697052001953,0.003683241317048669,0.21347077190876007,181
H,2026090602,test,0.8822942972183228,26.765705108642578,39.213470458984375,27.059965133666992,0.0004604051646310836,0.21870750188827515,181
H,2026090603,test,0.8636767864227295,26.505462646484375,39.143192291259766,26.79242515563965,0.0023020259104669094,0.2347828596830368,181
M,2026090601,val,0.8311305642127991,24.187908172607422,34.05198669433594,24.408924102783203,0.002831715391948819,0.21956197917461395,206
M,2026090602,val,0.8464869260787964,24.552719116210938,34.46238327026367,24.77277374267578,0.002022653818130493,0.19917574524879456,206
M,2026090603,val,0.8215076923370361,23.919315338134766,33.749237060546875,24.141101837158203,0.0012135922443121672,0.23876944184303284,206
M,2026090601,test,0.8241857290267944,25.360523223876953,37.787315368652344,25.65536880493164,0.0013812155229970813,0.21202881634235382,181
M,2026090602,test,0.837044894695282,25.664779663085938,38.010990142822266,25.947546005249023,0.0009208103292621672,0.19737890362739563,181
M,2026090603,test,0.8224359154701233,25.332277297973633,37.700443267822266,25.621145248413086,0.0023020259104669094,0.23618939518928528,181
S,2026090601,val,0.8015567064285278,23.37173080444336,33.0461540222168,23.58498764038086,0.002022653818130493,0.20004625618457794,206
S,2026090602,val,0.8099329471588135,23.62186050415039,33.4461555480957,23.840015411376953,0.00040453075780533254,0.23457516729831696,206
S,2026090603,val,0.7875524163246155,22.997495651245117,32.528785705566406,23.208084106445312,0.0008090615156106651,0.19618545472621918,206
S,2026090601,test,0.8178083896636963,25.247901916503906,37.758235931396484,25.532983779907227,0.0018416206585243344,0.19801634550094604,181
S,2026090602,test,0.8217610120773315,25.397178649902344,37.90235900878906,25.686809539794922,0.0009208103292621672,0.23493078351020813,181
S,2026090603,test,0.7946501970291138,24.54220962524414,36.915191650390625,24.833553314208984,0.0018416206585243344,0.20037296414375305,181
D,2026090601,val,0.8306121826171875,24.175296783447266,34.03548812866211,24.39604949951172,0.002831715391948819,0.21986590325832367,206
D,2026090602,val,0.8472830057144165,24.57328224182129,34.48398208618164,24.79371452331543,0.0008090615156106651,0.19896619021892548,206
D,2026090603,val,0.8219234347343445,23.932167053222656,33.762630462646484,24.153879165649414,0.002022653818130493,0.23750390112400055,206
D,2026090601,test,0.8234730958938599,25.34018325805664,37.757469177246094,25.634796142578125,0.0013812155229970813,0.21220490336418152,181
D,2026090602,test,0.8372187614440918,25.665435791015625,38.009681701660156,25.94826889038086,0.0004604051646310836,0.19661404192447662,181
D,2026090603,test,0.822610080242157,25.339319229125977,37.70718765258789,25.62765884399414,0.0023020259104669094,0.23499906063079834,181
P,2026090601,val,0.8310701847076416,24.185871124267578,34.053810119628906,24.407068252563477,0.002022653818130493,0.2227330505847931,206
P,2026090602,val,0.8468509912490845,24.561019897460938,34.471378326416016,24.7811336517334,0.002022653818130493,0.19972142577171326,206
P,2026090603,val,0.821991503238678,23.930152893066406,33.759525299072266,24.152353286743164,0.0016181230312213302,0.23708315193653107,206
P,2026090601,test,0.8251484036445618,25.388765335083008,37.81522750854492,25.683523178100586,0.0023020259104669094,0.21509237587451935,181
P,2026090602,test,0.8375304937362671,25.673664093017578,38.00998306274414,25.955516815185547,0.0018416206585243344,0.1978963017463684,181
P,2026090603,test,0.8233288526535034,25.354196548461914,37.7164192199707,25.64226531982422,0.0023020259104669094,0.2345249056816101,181
P_BROKEN,2026090601,val,0.830941915512085,24.18260955810547,34.04952621459961,24.403779983520508,0.002022653818130493,0.22283299267292023,206
P_BROKEN,2026090602,val,0.8467673659324646,24.558807373046875,34.46847915649414,24.778911590576172,0.002022653818130493,0.19968996942043304,206
P_BROKEN,2026090603,val,0.8219935894012451,23.93047332763672,33.760009765625,24.152698516845703,0.0016181230312213302,0.23704558610916138,206
P_BROKEN,2026090601,test,0.8250323534011841,25.385438919067383,37.8115119934082,25.680194854736328,0.0023020259104669094,0.2151600867509842,181
P_BROKEN,2026090602,test,0.8374876379966736,25.672775268554688,38.00973892211914,25.954668045043945,0.0018416206585243344,0.19786337018013,181
P_BROKEN,2026090603,test,0.8232853412628174,25.352914810180664,37.71478271484375,25.641050338745117,0.0023020259104669094,0.23449106514453888,181
MC,2026090601,val,0.8227713704109192,23.950658798217773,34.058170318603516,24.398075103759766,0.012135922908782959,1.6411749124526978,206
MC,2026090602,val,0.838970422744751,24.34341049194336,34.4459114074707,24.74858856201172,0.009708737954497337,1.3498079776763916,206
MC,2026090603,val,0.8144510388374329,23.71870994567871,33.75651168823242,24.143047332763672,0.012135922908782959,1.4650245904922485,206
MC,2026090601,test,0.8150575160980225,25.1050968170166,37.82804489135742,25.679285049438477,0.01565377600491047,1.9720407724380493,181
MC,2026090602,test,0.8297371864318848,25.458932876586914,38.023109436035156,25.950485229492188,0.01151012908667326,1.5153186321258545,181
MC,2026090603,test,0.8147495985031128,25.110944747924805,37.726898193359375,25.637996673583984,0.015193370170891285,1.7271687984466553,181
