kind,contrast,seed,loss_a,loss_b,ri_percent
primary,P over D,2026090601,0.8251484036445618,0.8234730958938599,-0.20344413910492107
primary,P over D,2026090602,0.8375304937362671,0.8372187614440918,-0.03723426976691205
primary,P over D,2026090603,0.8233288526535034,0.822610080242157,-0.08737704881209891
primary,P over S,2026090601,0.8251484036445618,0.8178083896636963,-0.8975224604731531
primary,P over S,2026090602,0.8375304937362671,0.8217610120773315,-1.9189863509187224
primary,P over S,2026090603,0.8233288526535034,0.7946501970291138,-3.608966024498317
secondary,P over P_BROKEN,2026090601,0.8251484036445618,0.8250323534011841,-0.014066144545637522
secondary,P over P_BROKEN,2026090602,0.8375304937362671,0.8374876379966736,-0.0051171787676794435
secondary,P over P_BROKEN,2026090603,0.8233288526535034,0.8232853412628174,-0.005285092361694925
secondary,S over M,2026090601,0.8178083896636963,0.8241857290267944,0.7737745435884411
secondary,S over M,2026090602,0.8217610120773315,0.837044894695282,1.8259334373593412
secondary,S over M,2026090603,0.7946501970291138,0.8224359154701233,3.378466080864983
secondary,M over H,2026090601,0.8241857290267944,0.8677312731742859,5.01832139669181
secondary,M over H,2026090602,0.837044894695282,0.8822942972183228,5.128606482633068
secondary,M over H,2026090603,0.8224359154701233,0.8636767864227295,4.775035244772773
secondary,P over MC,2026090601,0.8251484036445618,0.8150575160980225,-1.238058339103241
secondary,P over MC,2026090602,0.8375304937362671,0.8297371864318848,-0.9392500941045984
secondary,P over MC,2026090603,0.8233288526535034,0.8147495985031128,-1.0529927435561477
