arm,seed,split,lead_group,scaled_crps
H,2026090601,val,6-24h,0.8476105332374573
H,2026090601,val,30-48h,0.858677864074707
H,2026090601,val,54-72h,0.8773616552352905
H,2026090602,val,6-24h,0.892282247543335
H,2026090602,val,30-48h,0.9068641662597656
H,2026090602,val,54-72h,0.9238730669021606
H,2026090603,val,6-24h,0.8384562730789185
H,2026090603,val,30-48h,0.8515737056732178
H,2026090603,val,54-72h,0.8710819482803345
H,2026090601,test,6-24h,0.8961056470870972
H,2026090601,test,30-48h,0.8855411410331726
H,2026090601,test,54-72h,0.8215470314025879
H,2026090602,test,6-24h,0.9121091365814209
H,2026090602,test,30-48h,0.8970319628715515
H,2026090602,test,54-72h,0.8377418518066406
H,2026090603,test,6-24h,0.8900984525680542
H,2026090603,test,30-48h,0.8824780583381653
H,2026090603,test,54-72h,0.8184539079666138
M,2026090601,val,6-24h,0.8210026025772095
M,2026090601,val,30-48h,0.8247249126434326
M,2026090601,val,54-72h,0.8476642370223999
M,2026090602,val,6-24h,0.8312169313430786
M,2026090602,val,30-48h,0.8438606858253479
M,2026090602,val,54-72h,0.8643830418586731
M,2026090603,val,6-24h,0.8061412572860718
M,2026090603,val,30-48h,0.8174958825111389
M,2026090603,val,54-72h,0.8408860564231873
M,2026090601,test,6-24h,0.8519104719161987
M,2026090601,test,30-48h,0.8301383256912231
M,2026090601,test,54-72h,0.7905086278915405
M,2026090602,test,6-24h,0.8646286129951477
M,2026090602,test,30-48h,0.8481089472770691
M,2026090602,test,54-72h,0.7983971238136292
M,2026090603,test,6-24h,0.8511941432952881
M,2026090603,test,30-48h,0.8336005806922913
M,2026090603,test,54-72h,0.782512903213501
S,2026090601,val,6-24h,0.7888491153717041
S,2026090601,val,30-48h,0.7893919348716736
S,2026090601,val,54-72h,0.8264291286468506
S,2026090602,val,6-24h,0.7964979410171509
S,2026090602,val,30-48h,0.8030804395675659
S,2026090602,val,54-72h,0.8302204608917236
S,2026090603,val,6-24h,0.7727789282798767
S,2026090603,val,30-48h,0.7797750234603882
S,2026090603,val,54-72h,0.8101034164428711
S,2026090601,test,6-24h,0.8434704542160034
S,2026090601,test,30-48h,0.8251733183860779
S,2026090601,test,54-72h,0.7847815155982971
S,2026090602,test,6-24h,0.8497555255889893
S,2026090602,test,30-48h,0.8339576125144958
S,2026090602,test,54-72h,0.7815699577331543
S,2026090603,test,6-24h,0.8247321248054504
S,2026090603,test,30-48h,0.8026306629180908
S,2026090603,test,54-72h,0.7565877437591553
D,2026090601,val,6-24h,0.8208903074264526
D,2026090601,val,30-48h,0.8241562843322754
D,2026090601,val,54-72h,0.8467899560928345
D,2026090602,val,6-24h,0.8318052887916565
D,2026090602,val,30-48h,0.8446099162101746
D,2026090602,val,54-72h,0.8654338121414185
D,2026090603,val,6-24h,0.8062174320220947
D,2026090603,val,30-48h,0.8178318738937378
D,2026090603,val,54-72h,0.8417211174964905
D,2026090601,test,6-24h,0.8514306545257568
D,2026090601,test,30-48h,0.8292940258979797
D,2026090601,test,54-72h,0.7896944880485535
D,2026090602,test,6-24h,0.8647992610931396
D,2026090602,test,30-48h,0.84810471534729
D,2026090602,test,54-72h,0.7987522482872009
D,2026090603,test,6-24h,0.8511157035827637
D,2026090603,test,30-48h,0.833713948726654
D,2026090603,test,54-72h,0.7830005884170532
P,2026090601,val,6-24h,0.8199581503868103
P,2026090601,val,30-48h,0.8245899677276611
P,2026090601,val,54-72h,0.8486624360084534
P,2026090602,val,6-24h,0.8309431076049805
P,2026090602,val,30-48h,0.8441716432571411
P,2026090602,val,54-72h,0.8654382824897766
P,2026090603,val,6-24h,0.8058274984359741
P,2026090603,val,30-48h,0.8179829716682434
P,2026090603,val,54-72h,0.8421640396118164
P,2026090601,test,6-24h,0.8518903255462646
P,2026090601,test,30-48h,0.8317675590515137
P,2026090601,test,54-72h,0.7917873859405518
P,2026090602,test,6-24h,0.8645514249801636
P,2026090602,test,30-48h,0.8489398956298828
P,2026090602,test,54-72h,0.7991002202033997
P,2026090603,test,6-24h,0.8512606024742126
P,2026090603,test,30-48h,0.8348690271377563
P,2026090603,test,54-72h,0.7838568687438965
P_BROKEN,2026090601,val,6-24h,0.8199694156646729
P_BROKEN,2026090601,val,30-48h,0.8244587182998657
P_BROKEN,2026090601,val,54-72h,0.8483977317810059
P_BROKEN,2026090602,val,6-24h,0.8309215307235718
P_BROKEN,2026090602,val,30-48h,0.844068706035614
P_BROKEN,2026090602,val,54-72h,0.8653118014335632
P_BROKEN,2026090603,val,6-24h,0.8058629631996155
P_BROKEN,2026090603,val,30-48h,0.8179900646209717
P_BROKEN,2026090603,val,54-72h,0.8421278595924377
P_BROKEN,2026090601,test,6-24h,0.8518356680870056
P_BROKEN,2026090601,test,30-48h,0.8316293954849243
P_BROKEN,2026090601,test,54-72h,0.7916320562362671
P_BROKEN,2026090602,test,6-24h,0.8645330667495728
P_BROKEN,2026090602,test,30-48h,0.8488760590553284
P_BROKEN,2026090602,test,54-72h,0.7990538477897644
P_BROKEN,2026090603,test,6-24h,0.8512731790542603
P_BROKEN,2026090603,test,30-48h,0.8348193168640137
P_BROKEN,2026090603,test,54-72h,0.7837635278701782
MC,2026090601,val,6-24h,0.8154037594795227
MC,2026090601,val,30-48h,0.8155357837677002
MC,2026090601,val,54-72h,0.8373746871948242
MC,2026090602,val,6-24h,0.8265002965927124
MC,2026090602,val,30-48h,0.8357712030410767
MC,2026090602,val,54-72h,0.8546397089958191
MC,2026090603,val,6-24h,0.8016060590744019
MC,2026090603,val,30-48h,0.8098492622375488
MC,2026090603,val,54-72h,0.8318976759910583
MC,2026090601,test,6-24h,0.8466612100601196
MC,2026090601,test,30-48h,0.8218603134155273
MC,2026090601,test,54-72h,0.7766509056091309
MC,2026090602,test,6-24h,0.8604018092155457
MC,2026090602,test,30-48h,0.8415031433105469
MC,2026090602,test,54-72h,0.7873067259788513
MC,2026090603,test,6-24h,0.8467774391174316
MC,2026090603,test,30-48h,0.8264678716659546
MC,2026090603,test,54-72h,0.7710034847259521
