seed,series_id,full12_alpha,lomo_alpha_mean,lomo_alpha_std,lomo_alpha_min,lomo_alpha_max,changed_months,changed_month_fraction,mean_abs_delta_alpha,max_abs_delta_alpha,endpoint_flip_months,endpoint_flip_month_fraction
24000,T1,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T10,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T100,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
24000,T101,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T102,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T103,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T104,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T105,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T106,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T107,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T108,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T109,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T11,0.9,0.6833333333333332,0.3484090826727812,0.0,1.0,10,0.8333333333333334,0.2833333333333334,0.9,0,0.0
24000,T110,1.0,0.9249999999999999,0.1299038105676658,0.7,1.0,3,0.25,0.07500000000000001,0.30000000000000004,0,0.0
24000,T111,1.0,0.9583333333333334,0.06400954789890505,0.8,1.0,4,0.3333333333333333,0.04166666666666666,0.19999999999999996,0,0.0
24000,T112,1.0,0.8750000000000001,0.1479019945774904,0.5,1.0,6,0.5,0.12499999999999999,0.5,0,0.0
24000,T113,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T114,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T115,0.0,0.08333333333333333,0.2763853991962833,0.0,1.0,1,0.08333333333333333,0.08333333333333333,1.0,1,0.08333333333333333
24000,T116,1.0,0.9500000000000001,0.08660254037844384,0.8,1.0,3,0.25,0.04999999999999999,0.19999999999999996,0,0.0
24000,T117,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T118,1.0,0.8666666666666667,0.10274023338281627,0.7,1.0,8,0.6666666666666666,0.1333333333333333,0.30000000000000004,0,0.0
24000,T119,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T12,1.0,0.8250000000000001,0.20052015692526606,0.5,1.0,7,0.5833333333333334,0.17500000000000002,0.5,0,0.0
24000,T120,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
24000,T121,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T122,0.6,0.6166666666666667,0.3050500869620521,0.0,1.0,11,0.9166666666666666,0.25,0.6,0,0.0
24000,T123,0.0,0.21666666666666667,0.37822685726367394,0.0,1.0,3,0.25,0.21666666666666667,1.0,1,0.08333333333333333
24000,T124,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
24000,T125,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T126,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T127,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T128,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T129,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T13,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T130,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
24000,T131,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T132,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T133,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T134,1.0,0.9416666666666668,0.06400954789890506,0.8,1.0,6,0.5,0.05833333333333332,0.19999999999999996,0,0.0
24000,T135,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T136,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T137,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T138,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T139,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T14,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T140,1.0,0.9333333333333335,0.09428090415820632,0.8,1.0,4,0.3333333333333333,0.06666666666666665,0.19999999999999996,0,0.0
24000,T141,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T142,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T143,1.0,0.6666666666666666,0.4714045207910317,0.0,1.0,4,0.3333333333333333,0.3333333333333333,1.0,4,0.3333333333333333
24000,T144,0.0,0.08333333333333333,0.2763853991962833,0.0,1.0,1,0.08333333333333333,0.08333333333333333,1.0,1,0.08333333333333333
24000,T145,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T146,1.0,0.3333333333333333,0.4714045207910317,0.0,1.0,8,0.6666666666666666,0.6666666666666666,1.0,8,0.6666666666666666
24000,T147,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T148,0.0,0.08333333333333333,0.2763853991962833,0.0,1.0,1,0.08333333333333333,0.08333333333333333,1.0,1,0.08333333333333333
24000,T149,1.0,0.9916666666666667,0.02763853991962832,0.9,1.0,1,0.08333333333333333,0.008333333333333331,0.09999999999999998,0,0.0
24000,T15,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T150,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
24000,T151,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
24000,T152,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
24000,T153,1.0,0.7999999999999998,0.14142135623730953,0.7,1.0,8,0.6666666666666666,0.20000000000000004,0.30000000000000004,0,0.0
24000,T154,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T155,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
24000,T156,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
24000,T157,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
24000,T158,1.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0
