dataset,condition,arm,seed,lr,score,f0_score,gain_pct_F0,best_step,fit_seconds,internal_fit_seconds,trainable
bike,FULL90,MLP,26000,0.0001,0.16527224020547976,0.168012163988169,1.6307889367356703,180,48.906,43.92457030000514,589301
bike,FULL90,MLP,26001,0.0001,0.16663835778769012,0.168012163988169,0.8176825819442625,15,48.813,44.3225919999968,589301
bike,FULL90,ALL,26000,0.0001,0.15860284494337817,0.168012163988169,5.600379651947949,30,127.985,124.14295839999977,1768949
bike,FULL90,ALL,26001,0.0001,0.1571159146133218,0.168012163988169,6.485393150233154,60,128.031,124.19630700000562,1768949
bike,SPREAD30,MLP,26000,1e-05,0.16701336707353998,0.168012163988169,0.5944789299299592,60,28.485,24.41516099999717,589301
bike,SPREAD30,MLP,26001,1e-05,0.16705709310108266,0.168012163988169,0.5684534169523612,60,32.609,28.084732500006794,589301
bike,SPREAD30,ALL,26000,0.0001,0.16391937848252602,0.168012163988169,2.436005470372485,20,58.968,55.0619882999963,1768949
bike,SPREAD30,ALL,26001,0.0001,0.16316132443179418,0.168012163988169,2.8871954513462574,20,63.063,58.104194900006405,1768949
bike,RECENT30,MLP,26000,1e-05,0.16696118578661107,0.168012163988169,0.6255369710207126,40,32.578,27.30151019999903,589301
bike,RECENT30,MLP,26001,1e-05,0.16680587091246807,0.168012163988169,0.7179796075871547,60,30.5,26.42604140000185,589301
bike,RECENT30,ALL,26000,0.0001,0.16581397675347018,0.168012163988169,1.3083500518769728,20,56.937,53.7402421999941,1768949
bike,RECENT30,ALL,26001,0.0001,0.16521528071115116,0.168012163988169,1.6646909429812489,20,56.922,53.43251529999543,1768949
household,FULL90,MLP,26000,0.0001,0.41143320282210916,0.41873548676005384,1.743889440669518,180,46.765,43.23717580000084,589301
household,FULL90,MLP,26001,0.0001,0.4110951250817964,0.41873548676005384,1.8246272216798185,180,46.797,43.45947879999585,589301
household,FULL90,ALL,26000,0.0001,0.40771226907909264,0.41873548676005384,2.6325014309756343,60,121.891,117.87191220000386,1768949
household,FULL90,ALL,26001,0.0001,0.40735851993003314,0.41873548676005384,2.716981767666613,60,121.907,116.52420510000229,1768949
household,SPREAD30,MLP,26000,0.0001,0.4168976596145659,0.41873548676005384,0.4388993060292239,20,28.516,23.899571699999797,589301
household,SPREAD30,MLP,26001,0.0001,0.41619532522790514,0.41873548676005384,0.60662676378424,20,26.485,22.945692599998438,589301
household,SPREAD30,ALL,26000,0.0001,0.411977341827154,0.41873548676005384,1.6139412938680366,20,52.907,48.73922109999694,1768949
household,SPREAD30,ALL,26001,0.0001,0.4089834763291608,0.41873548676005384,2.328919028656669,20,56.875,53.686927800001286,1768949
household,RECENT30,MLP,26000,0.0001,0.41401423833701695,0.41873548676005384,1.1275013874671411,60,28.468,24.140978299998096,589301
household,RECENT30,MLP,26001,0.0001,0.41520345610664494,0.41873548676005384,0.8434992411887091,60,28.547,23.867299899997306,589301
household,RECENT30,ALL,26000,0.0001,0.4095453590744924,0.41873548676005384,2.1947334238780702,20,56.922,52.0284055000011,1768949
household,RECENT30,ALL,26001,0.0001,0.4103626226174847,0.41873548676005384,1.9995592461851757,20,54.922,49.99235700000281,1768949
