rule,dataset,condition,seed,arm,regret_pct_F0,fit_seconds,all_fit_seconds
ALWAYS_ALL,bike,FULL90,26000,ALL,0.0,127.985,127.985
ALWAYS_ALL,bike,SPREAD30,26000,ALL,0.0,58.968,58.968
ALWAYS_ALL,bike,RECENT30,26000,ALL,0.0,56.937,56.937
ALWAYS_ALL,household,FULL90,26000,ALL,0.0,121.891,121.891
ALWAYS_ALL,household,SPREAD30,26000,ALL,0.0,52.907,52.907
ALWAYS_ALL,household,RECENT30,26000,ALL,0.0,56.922,56.922
ALWAYS_ALL,bike,FULL90,26001,ALL,0.0,128.031,128.031
ALWAYS_ALL,bike,SPREAD30,26001,ALL,0.0,63.063,63.063
ALWAYS_ALL,bike,RECENT30,26001,ALL,0.0,56.922,56.922
ALWAYS_ALL,household,FULL90,26001,ALL,0.0,121.907,121.907
ALWAYS_ALL,household,SPREAD30,26001,ALL,0.0,56.875,56.875
ALWAYS_ALL,household,RECENT30,26001,ALL,0.0,54.922,54.922
ALWAYS_MLP,bike,FULL90,26000,MLP,3.969590715212279,48.906,127.985
ALWAYS_MLP,bike,SPREAD30,26000,MLP,1.8415265404425258,28.485,58.968
ALWAYS_MLP,bike,RECENT30,26000,MLP,0.6828130808562602,32.578,56.937
ALWAYS_MLP,household,FULL90,26000,MLP,0.8886119903061164,46.765,121.891
ALWAYS_MLP,household,SPREAD30,26000,MLP,1.1750419878388128,28.516,52.907
ALWAYS_MLP,household,RECENT30,26000,MLP,1.0672320364109291,28.468,56.922
ALWAYS_MLP,bike,FULL90,26001,MLP,5.667710568288891,48.813,128.031
ALWAYS_MLP,bike,SPREAD30,26001,MLP,2.3187420343938965,32.609,63.063
ALWAYS_MLP,bike,RECENT30,26001,MLP,0.9467113353940942,30.5,56.922
ALWAYS_MLP,household,FULL90,26001,MLP,0.8923545459867945,46.797,121.907
ALWAYS_MLP,household,SPREAD30,26001,MLP,1.722292264872429,26.485,56.875
ALWAYS_MLP,household,RECENT30,26001,MLP,1.1560600049964664,28.547,54.922
COUNT,bike,FULL90,26000,ALL,0.0,127.985,127.985
COUNT,bike,SPREAD30,26000,MLP,1.8415265404425258,28.485,58.968
COUNT,bike,RECENT30,26000,MLP,0.6828130808562602,32.578,56.937
COUNT,household,FULL90,26000,ALL,0.0,121.891,121.891
COUNT,household,SPREAD30,26000,MLP,1.1750419878388128,28.516,52.907
COUNT,household,RECENT30,26000,MLP,1.0672320364109291,28.468,56.922
COUNT,bike,FULL90,26001,ALL,0.0,128.031,128.031
COUNT,bike,SPREAD30,26001,MLP,2.3187420343938965,32.609,63.063
COUNT,bike,RECENT30,26001,MLP,0.9467113353940942,30.5,56.922
COUNT,household,FULL90,26001,ALL,0.0,121.907,121.907
COUNT,household,SPREAD30,26001,MLP,1.722292264872429,26.485,56.875
COUNT,household,RECENT30,26001,MLP,1.1560600049964664,28.547,54.922
OVERLAP,bike,FULL90,26000,ALL,0.0,127.985,127.985
OVERLAP,bike,SPREAD30,26000,MLP,1.8415265404425258,28.485,58.968
OVERLAP,bike,RECENT30,26000,ALL,0.0,56.937,56.937
OVERLAP,household,FULL90,26000,ALL,0.0,121.891,121.891
OVERLAP,household,SPREAD30,26000,MLP,1.1750419878388128,28.516,52.907
OVERLAP,household,RECENT30,26000,ALL,0.0,56.922,56.922
OVERLAP,bike,FULL90,26001,ALL,0.0,128.031,128.031
OVERLAP,bike,SPREAD30,26001,MLP,2.3187420343938965,32.609,63.063
OVERLAP,bike,RECENT30,26001,ALL,0.0,56.922,56.922
OVERLAP,household,FULL90,26001,ALL,0.0,121.907,121.907
OVERLAP,household,SPREAD30,26001,MLP,1.722292264872429,26.485,56.875
OVERLAP,household,RECENT30,26001,ALL,0.0,54.922,54.922
