condition,seed,split,predictor,mse,normalized_mse_train_var,oracle_population_mse,population_mse,population_excess_over_oracle_pct,train_examples_origins,train_transitions_full
ar_rho_neg06,36000,val,train_mean,1.000699624582191,1.0050226413750942,0.64,,,1024,32704
ar_rho_neg06,36000,val,lag1_linear,0.6365250936266698,0.639274878478444,0.64,0.6403237813478155,0.05059083559617594,1024,32704
ar_rho_neg06,36000,val,lag1_quadratic,0.6363234629804381,0.639072376788946,0.64,0.6403395999946556,0.05306249916494643,1024,32704
ar_rho_neg06,36000,devtest,train_mean,0.9830419986149027,0.9872887345621811,0.64,,,1024,32704
ar_rho_neg06,36000,devtest,lag1_linear,0.6513635478785063,0.6541774347698293,0.64,0.6403237813478155,0.05059083559617594,1024,32704
ar_rho_neg06,36000,devtest,lag1_quadratic,0.6514635113332666,0.6542778300661564,0.64,0.6403395999946556,0.05306249916494643,1024,32704
ar_rho_neg06,36001,val,train_mean,0.9570233317658036,0.9237429902264634,0.64,,,1024,32704
ar_rho_neg06,36001,val,lag1_linear,0.60806216502547,0.586916895252517,0.64,0.6407279415788183,0.11374087169035985,1024,32704
ar_rho_neg06,36001,val,lag1_quadratic,0.608061538361207,0.5869162903804089,0.64,0.6407282654470816,0.1137914761065062,1024,32704
ar_rho_neg06,36001,devtest,train_mean,1.0369830996554903,1.0009221692878034,0.64,,,1024,32704
ar_rho_neg06,36001,devtest,lag1_linear,0.6444558666121041,0.6220450113738007,0.64,0.6407279415788183,0.11374087169035985,1024,32704
ar_rho_neg06,36001,devtest,lag1_quadratic,0.6444689965719268,0.6220576847412574,0.64,0.6407282654470816,0.1137914761065062,1024,32704
ar_rho_zero,36000,val,train_mean,0.9943364596214359,1.0011025189661507,1.0,,,1024,32704
ar_rho_zero,36000,val,lag1_linear,0.992171185228272,0.998922510752357,1.0,1.0009799816221332,0.0979981622133197,1024,32704
ar_rho_zero,36000,val,lag1_quadratic,0.9925386929824016,0.9992925192488159,1.0,1.0015085621976791,0.1508562197679142,1024,32704
ar_rho_zero,36000,devtest,train_mean,1.01817617251701,1.0251044515114738,1.0,,,1024,32704
