update,train_loss,primary,mse10,mse60,dataset,arm,seed
30,0.4472190737724304,0.5172717074553171,0.5275182823340098,0.5070251127084097,jena,M,2026090601
60,0.5311964750289917,0.5124767025311788,0.5168377657731374,0.5081156392892202,jena,M,2026090601
30,0.5770447254180908,0.5260315537452698,0.5328362484773,0.519226868947347,jena,M,2026090602
60,0.4570756554603576,0.5141668121019999,0.5183645685513815,0.5099690357844034,jena,M,2026090602
30,0.4486696124076843,0.5173985660076141,0.5276837050914764,0.5071134269237518,jena,O,2026090601
60,0.531234622001648,0.5124287406603495,0.5167984366416931,0.5080590347448984,jena,O,2026090601
30,0.5783711671829224,0.5263366003831228,0.5331662694613138,0.5195069213708242,jena,O,2026090602
60,0.4567492604255676,0.5140975813070933,0.5183047751585642,0.5098903874556223,jena,O,2026090602
30,0.4151215553283691,0.50810174147288,0.5121803879737854,0.5040230949719747,jena,R,2026090601
60,0.5323925614356995,0.5028284986813863,0.5060830314954122,0.4995739708344142,jena,R,2026090601
30,0.586501955986023,0.5430310070514679,0.5589652856191,0.5270967384179434,jena,R,2026090602
60,0.4570039510726928,0.5127793153127035,0.5189749896526337,0.5065836310386658,jena,R,2026090602
30,0.8101726770401001,0.553463449156618,0.6951476796210267,0.4117791995064903,uci,M,2026090601
60,0.6775228977203369,0.5283967163271577,0.6664271975367427,0.3903662401415009,uci,M,2026090601
30,0.7072991132736206,0.537503325795096,0.6759385433967483,0.3990681080228196,uci,M,2026090602
60,0.7182241082191467,0.5285782900854528,0.6659210784593005,0.3912354869241933,uci,M,2026090602
30,0.8097658157348633,0.5544075236748193,0.6960716450032387,0.4127433780798779,uci,O,2026090601
60,0.6785106658935547,0.5283241285622575,0.6663482938786499,0.3902999537667548,uci,O,2026090601
30,0.7074496746063232,0.5372035394567266,0.6756366477288666,0.3987704408343208,uci,O,2026090602
60,0.717965841293335,0.528605402918869,0.6659469877869725,0.3912638032064789,uci,O,2026090602
30,0.7967286109924316,0.5362270475571392,0.674410124543969,0.3980439900972764,uci,R,2026090601
60,0.6688050031661987,0.5270989042808688,0.664754821788567,0.3894429820904901,uci,R,2026090601
30,0.7177513837814331,0.5367572668551185,0.6818251811138546,0.3916893571084389,uci,R,2026090602
60,0.7060431241989136,0.5346654037786197,0.6731707207650022,0.3961601013521505,uci,R,2026090602
