dataset,arm,model_seed,n_parameters,wall_seconds,best_update,best_val_primary
jena,R,2026090601,407041,1.354224443435669,60,0.5028284986813863
jena,M,2026090601,411585,0.5675299167633057,60,0.5124767025311788
jena,O,2026090601,411585,0.566699743270874,60,0.5124287406603495
jena,R,2026090602,407041,1.3485028743743896,60,0.5127793153127035
jena,M,2026090602,411585,0.5286948680877686,60,0.5141668121019999
jena,O,2026090602,411585,0.5654301643371582,60,0.5140975813070933
uci,R,2026090601,407041,1.431128740310669,60,0.5270989042808688
uci,M,2026090601,411585,0.6146364212036133,60,0.5283967163271577
uci,O,2026090601,411585,0.6042039394378662,60,0.5283241285622575
uci,R,2026090602,407041,1.4328529834747314,60,0.5346654037786197
uci,M,2026090602,411585,0.5872502326965332,60,0.5285782900854528
uci,O,2026090602,411585,0.6015596389770508,60,0.528605402918869
