arm,dataset,model_seed,tier,lambda,schedule_sha,n_parameters,best_update,best_val_primary,final_val_primary,wall_seconds,n_curve_points,best_is_first,best_is_last,last_interval_improving
R,jena,2026090601,DRY,100.0,e863ea5503ced6bd357f695c30a0b3b3f3f2d94854b8eb4c8a50c1fc3a3afa9f,407041,60,0.5028284986813863,0.5028284986813863,1.354224443435669,2,False,True,True
M,jena,2026090601,DRY,,e863ea5503ced6bd357f695c30a0b3b3f3f2d94854b8eb4c8a50c1fc3a3afa9f,411585,60,0.5124767025311788,0.5124767025311788,0.5675299167633057,2,False,True,True
O,jena,2026090601,DRY,,e863ea5503ced6bd357f695c30a0b3b3f3f2d94854b8eb4c8a50c1fc3a3afa9f,411585,60,0.5124287406603495,0.5124287406603495,0.566699743270874,2,False,True,True
R,jena,2026090602,DRY,100.0,7207f163e5308b91d052a3db5347d345dad70ff0fca07feb707cc37db012de86,407041,60,0.5127793153127035,0.5127793153127035,1.3485028743743896,2,False,True,True
M,jena,2026090602,DRY,,7207f163e5308b91d052a3db5347d345dad70ff0fca07feb707cc37db012de86,411585,60,0.5141668121019999,0.5141668121019999,0.5286948680877686,2,False,True,True
O,jena,2026090602,DRY,,7207f163e5308b91d052a3db5347d345dad70ff0fca07feb707cc37db012de86,411585,60,0.5140975813070933,0.5140975813070933,0.5654301643371582,2,False,True,True
R,uci,2026090601,DRY,100.0,8dc918a0cc4db94e05a98dcd60a1136b39005245713f595e9cd2d08491164cb2,407041,60,0.5270989042808688,0.5270989042808688,1.431128740310669,2,False,True,True
M,uci,2026090601,DRY,,8dc918a0cc4db94e05a98dcd60a1136b39005245713f595e9cd2d08491164cb2,411585,60,0.5283967163271577,0.5283967163271577,0.6146364212036133,2,False,True,True
O,uci,2026090601,DRY,,8dc918a0cc4db94e05a98dcd60a1136b39005245713f595e9cd2d08491164cb2,411585,60,0.5283241285622575,0.5283241285622575,0.6042039394378662,2,False,True,True
R,uci,2026090602,DRY,100.0,d52005fd2d2d727e91fcfd11a647fc79cdbec1ffff585edb22bc8f85942afd10,407041,60,0.5346654037786197,0.5346654037786197,1.4328529834747314,2,False,True,True
M,uci,2026090602,DRY,,d52005fd2d2d727e91fcfd11a647fc79cdbec1ffff585edb22bc8f85942afd10,411585,60,0.5285782900854528,0.5285782900854528,0.5872502326965332,2,False,True,True
O,uci,2026090602,DRY,,d52005fd2d2d727e91fcfd11a647fc79cdbec1ffff585edb22bc8f85942afd10,411585,60,0.528605402918869,0.528605402918869,0.6015596389770508,2,False,True,True
